MDTU,|det-1|^2,1-Re(det),Im(det)
1254,1,1,1.87521e-09
1256,1,1,1.55813e-09
1258,1,1,-1.33429e-09
1260,1,1,4.18664e-10
1262,1,1,6.05773e-10
1264,1,1,6.44062e-10
1266,1,1,2.1227e-09
1268,1,1,4.69933e-10
1270,1,1,-2.25597e-09
1272,1,1,2.7885e-09
1274,1,1,2.7885e-09
1276,1,1,-3.10601e-10
1278,1,1,-2.68639e-09
1280,1,1,1.05036e-09
1282,1,1,-1.33515e-10
1284,1,1,-1.33515e-10
1286,1,1,1.23386e-09
1288,1,1,1.23386e-09
1290,1,1,-4.5568e-10
1292,1,1,-4.5568e-10
1294,1,1,-4.5568e-10
1296,1,1,8.64628e-10
1298,1,1,1.02575e-10
1300,1,1,-1.50353e-09
1302,1,1,-1.38436e-10
1304,1,1,-1.33594e-09
1306,1,1,-1.33594e-09
1308,1,1,-1.33594e-09
1310,1,1,-1.33594e-09
1312,1,1,-1.33594e-09
1314,1,1,-1.33594e-09
1316,1,1,-1.37592e-10
1318,1,1,2.37981e-09
1320,1,1,2.7413e-10
1322,1,1,2.7413e-10
1324,1,1,2.7413e-10
1326,1,1,-4.60609e-09
1328,1,1,-4.60609e-09
1330,1,1,-1.91463e-09
1332,1,1,-8.00037e-10
1334,1,1,-1.31885e-09
1336,1,1,6.13214e-09
1338,1,1,1.97911e-10
1340,1,1,1.97911e-10
1342,1,1,1.49387e-09
1344,1,1,-4.11338e-10
1346,1,1,2.80204e-09
1348,1,1,-1.42943e-09
1350,1,1,1.45493e-09
1352,1,1,-1.54579e-09
1354,1,1,-6.4836e-09
1356,1,1,-6.4836e-09
1358,1,1,-6.4836e-09
1360,1,1,-6.4836e-09
1362,1,1,-2.21402e-09
1364,1,1,1.98493e-09
1366,1,1,1.98493e-09
1368,1,1,8.61401e-10
1370,1,1,-6.88746e-10
1372,1,1,-6.88746e-10
1374,1,1,-6.88746e-10
1376,1,1,5.36996e-10
1378,1,1,-5.09643e-09
1380,1,1,9.74084e-10
1382,1,1,-2.22914e-09
1384,1,1,4.35884e-09
1386,1,1,-2.44031e-09
1388,1,1,-6.64482e-09
1390,1,1,-9.43941e-10
1392,1,1,9.19695e-10
1394,1,1,-2.26538e-09
1396,1,1,-2.62645e-10
1398,1,1,-1.09865e-09
1400,1,1,-7.23737e-10
1402,1,1,2.66868e-10
1404,1,1,2.66868e-10
1406,1,1,2.66868e-10
1408,1,1,2.66868e-10
1410,1,1,3.56019e-09
1412,1,1,6.90037e-10
1414,1,1,4.38879e-10
1416,1,1,-6.79418e-09
1418,1,1,-4.53103e-10
1420,1,1,-4.53103e-10
1422,1,1,-4.53103e-10
1424,1,1,1.53667e-09
1426,1,1,-8.48553e-10
1428,1,1,-1.60397e-09
1430,1,1,3.01079e-10
1432,1,1,-4.91217e-09
1434,1,1,-1.85345e-09
1436,1,1,1.08253e-10
1438,1,1,-1.77922e-09
1440,1,1,1.47917e-09
1442,1,1,1.47917e-09
1444,1,1,1.47917e-09
1446,1,1,-3.458e-10
1448,1,1,2.9009e-09
1450,1,1,2.30774e-09
1452,1,1,-8.29447e-10
1454,1,1,1.82556e-10
1456,1,1,2.69675e-12
1458,1,1,2.9447e-10
1460,1,1,-5.64153e-10
1462,1,1,-5.64153e-10
1464,1,1,1.84939e-09
1466,1,1,1.14836e-09
1468,1,1,-1.83195e-10
1470,1,1,-1.83195e-10
1472,1,1,-7.91114e-10
1474,1,1,1.65328e-09
1476,1,1,-4.88395e-10
1478,1,1,4.50971e-10
1480,1,1,1.45637e-09
1482,1,1,3.31263e-09
1484,1,1,7.58538e-10
1486,1,1,8.91078e-10
1488,1,1,-1.16366e-09
1490,1,1,-2.09848e-10
1492,1,1,-8.07323e-11
1494,1,1,-3.91209e-09
1496,1,1,-3.55804e-10
1498,1,1,5.81679e-10
1500,1,1,2.72524e-10
1502,1,1,-3.01086e-09
1504,1,1,-1.1915e-09
1506,1,1,-1.1915e-09
1508,1,1,-1.49179e-09
1510,1,1,1.18367e-09
1512,1,1,-4.91835e-10
1514,1,1,-4.91835e-10
1516,1,1,6.11112e-10
1518,1,1,2.02306e-09
1520,1,1,-8.09234e-10
1522,1,1,9.8153e-09
1524,1,1,9.8153e-09
1526,1,1,9.8153e-09
1528,1,1,2.6199e-09
1530,1,1,1.53543e-09
1532,1,1,-5.23862e-10
1534,1,1,-5.23862e-10
1536,1,1,-5.23862e-10
1538,1,1,3.31793e-10
1540,1,1,4.4294e-09
1542,1,1,-3.40266e-10
1544,1,1,-5.02653e-10
1546,1,1,1.07157e-09
1548,1,1,-1.29141e-09
1550,1,1,-1.31776e-09
1552,1,1,3.3533e-09
1554,1,1,4.94109e-10
1556,1,1,-8.10296e-09
1558,1,1,-8.10296e-09
1560,1,1,6.40257e-10
1562,1,1,8.77995e-10
1564,1,1,-3.0548e-10
1566,1,1,1.37999e-09
1568,1,1,-3.38359e-10
1570,1,1,7.98403e-10
1572,1,1,9.41499e-11
1574,1,1,9.41499e-11
1576,1,1,-3.56326e-09
1578,1,1,-3.24231e-09
1580,1,1,1.61848e-09
1582,1,1,9.77599e-11
1584,1,1,-1.09661e-09
1586,1,1,-1.34515e-09
1588,1,1,-1.8744e-09
1590,1,1,-7.37497e-10
1592,1,1,-7.37497e-10
1594,1,1,-6.83255e-10
1596,1,1,1.41158e-09
1598,1,1,1.41158e-09
1600,1,1,-6.93511e-10
1602,1,1,3.07818e-10
1604,1,1,3.12389e-10
1606,1,1,-1.94147e-09
1608,1,1,2.74377e-10
1610,1,1,1.66822e-09
1612,1,1,9.08017e-10
1614,1,1,6.89815e-10
1616,1,1,6.89815e-10
1618,1,1,1.15946e-09
1620,1,1,4.46325e-09
1622,1,1,2.1032e-09
1624,1,1,-3.76941e-09
1626,1,1,5.45455e-10
1628,1,1,5.45455e-10
1630,1,1,5.45455e-10
1632,1,1,-1.79348e-09
1634,1,1,-3.38273e-09
1636,1,1,1.24789e-09
1638,1,1,-1.71142e-09
1640,1,1,-1.71142e-09
1642,1,1,-1.71142e-09
1644,1,1,3.92911e-10
1646,1,1,-7.26178e-10
1648,1,1,1.56168e-09
1650,1,1,2.12196e-09
1652,1,1,2.12196e-09
1654,1,1,-2.17071e-10
1656,1,1,-2.99313e-10
1658,1,1,5.16742e-10
