MDTU,link
1386,7.99401
1388,8.08548
1390,7.44219
1392,7.91932
1394,8.62262
1396,8.59106
1398,8.68505
1400,9.76459
1402,10.0166
1404,10.0166
1406,10.0166
1408,10.0166
1410,10.2989
1412,10.7492
1414,10.9136
1416,10.4897
1418,10.2496
1420,10.2496
1422,10.2496
1424,10.0898
1426,9.35745
1428,9.61598
1430,10.8712
1432,10.8647
1434,10.4979
1436,10.6022
1438,11.2373
1440,11.7188
1442,11.7188
1444,11.7188
1446,12.2086
1448,13.0494
1450,13.644
1452,13.4238
1454,13.204
1456,13.6443
1458,14.2352
1460,13.9424
1462,13.9424
1464,14.2375
1466,13.7957
1468,13.8364
1470,13.8364
1472,13.673
1474,13.3874
1476,13.3628
1478,13.8495
1480,14.511
1482,14.0785
1484,14.1083
1486,13.6376
1488,14.2471
1490,14.1202
1492,13.9637
1494,13.9447
1496,13.4984
1498,14.1407
1500,13.7605
1502,14.5579
1504,14.2302
1506,14.2302
1508,14.8504
1510,15.7557
1512,15.3347
1514,15.3347
1516,15.8901
1518,16.4209
1520,16.9822
1522,17.2914
1524,17.2914
1526,17.2914
1528,17.0268
1530,17.1402
1532,16.5433
1534,16.5433
1536,16.5433
1538,16.539
1540,16.9698
1542,17.1087
1544,17.1331
1546,17.2382
1548,17.0025
1550,17.4065
1552,16.5364
1554,15.9375
1556,15.3263
1558,15.3263
1560,15.4245
1562,16.034
1564,15.3059
1566,15.6082
1568,15.5472
1570,15.4664
1572,15.5293
1574,15.5293
1576,15.0568
1578,15.4461
1580,15.2865
1582,15.5265
1584,15.1442
1586,13.7463
1588,14.4203
1590,14.1097
1592,14.1097
1594,15.065
1596,14.9328
1598,14.9328
1600,15.1682
1602,15.4786
1604,15.6307
1606,15.8433
1608,16.7974
1610,16.7917
1612,18.1504
1614,17.323
1616,17.323
1618,16.4189
1620,15.3911
1622,15.1671
1624,14.6015
1626,14.8142
1628,14.8142
1630,14.8142
1632,14.4177
1634,14.3474
1636,13.6746
1638,13.1003
1640,13.1003
1642,13.1003
1644,13.4761
1646,13.9988
1648,13.4085
1650,12.9806
1652,12.9806
1654,12.9058
1656,12.6697
1658,12.4293
1660,12.7405
1662,12.6109
1664,12.7156
1666,12.7156
1668,12.2832
1670,11.2367
1672,10.9713
1674,10.9602
1676,10.4984
1678,10.797
1680,10.7768
1682,10.9354
1684,10.9354
1686,9.74522
1688,9.74522
1690,9.75882
1692,9.61941
1694,9.35411
1696,9.35411
1698,8.92958
1700,9.1905
1702,9.06298
1704,8.88948
1706,8.93424
1708,8.93424
1710,8.56423
1712,8.56423
1714,8.3359
1716,8.87807
1718,8.5994
1720,8.63598
1722,8.88009
1724,8.88009
1726,8.96441
1728,8.96441
1730,9.27599
1732,9.4936
1734,9.78585
1736,9.43708
1738,9.00207
1740,9.00822
1742,10.0375
1744,10.0375
1746,9.74499
1748,9.74499
1750,9.70011
1752,10.3279
1754,10.3783
1756,11.1403
1758,10.7023
1760,10.7113
1762,10.5914
1764,9.57488
1766,10.6905
1768,11.0668
1770,10.3476
1772,10.3497
1774,10.5389
1776,10.1627
1778,10.1627
1780,9.86197
1782,9.85545
1784,10.363
1786,10.3534
1788,9.91464
1790,10.1912
1792,9.46097
1794,8.83057
1796,9.59298
1798,9.59298
1800,9.59298
1802,10.8125
1804,10.5386
1806,10.5315
1808,11.0952
1810,11.7112
1812,11.4106
1814,12.1643
1816,11.3874
1818,11.3874
1820,11.7534
1822,11.2201
1824,11.2201
1826,11.6402
1828,11.478
1830,11.7451
1832,12.7509
1834,12.7509
1836,12.6113
1838,12.8462
1840,12.8462
1842,13.6476
1844,13.255
1846,12.7894
1848,11.9059
1850,12.1956
1852,11.4192
1854,11.506
1856,11.4989
1858,11.9706
1860,11.924
1862,11.6883
1864,10.4587
1866,10.4587
1868,9.77944
1870,9.77944
1872,9.77944
1874,9.77944
1876,9.77944
1878,9.67884
1880,8.95479
1882,9.41924
1884,9.42812
1886,8.74897
1888,8.56252
1890,9.0057
1892,8.68454
1894,8.89059
1896,9.32215
1898,9.20204
1900,9.28304
1902,9.36479
1904,9.36479
1906,9.36479
1908,9.36479
1910,9.89663
1912,9.35026
1914,9.58798
1916,9.58798
