MDTU,plaq,Re(det),Im(det),link
356,0.15667,1.77453e-08,1.7058e-08,0.793625
358,0.158453,1.37064e-08,1.76849e-08,0.866177
360,0.150408,7.66415e-09,5.51262e-09,0.854563
362,0.17171,6.27745e-09,4.11121e-09,0.851311
364,0.183924,5.95681e-09,9.98511e-09,0.898626
366,0.15408,8.12841e-09,1.80908e-08,0.893032
368,0.15323,1.52074e-08,1.51641e-08,0.93616
370,0.177984,3.50888e-08,1.87646e-08,0.884442
372,0.180819,4.74096e-09,7.67975e-09,0.921158
374,0.18942,1.70626e-08,4.05748e-08,0.938147
376,0.155751,4.52204e-09,1.86502e-08,0.970975
378,0.175313,7.66035e-09,1.40599e-08,0.998014
380,0.127048,6.88748e-09,8.46037e-09,1.00926
382,0.143616,6.09423e-09,4.80134e-09,1.01762
384,0.165844,1.4777e-08,1.54511e-08,1.03643
386,0.140922,7.46204e-09,1.66192e-08,1.04899
388,0.150692,8.44927e-09,2.37684e-08,1.03094
390,0.218265,1.44755e-08,1.1484e-08,1.10978
392,0.218265,1.44755e-08,1.1484e-08,1.10978
394,0.159423,7.46265e-09,7.51436e-09,1.07282
396,0.177181,6.10453e-09,1.30943e-08,1.03429
398,0.159101,1.4947e-08,1.53627e-08,1.04913
400,0.195022,7.11686e-08,3.78625e-08,1.06512
402,0.156259,1.65694e-08,1.07138e-08,1.03327
404,0.154005,2.18211e-08,1.65749e-08,0.960024
406,0.151394,1.26413e-08,1.02488e-08,1.02873
408,0.1668,1.02156e-08,1.41687e-08,0.973879
410,0.1668,1.02156e-08,1.41687e-08,0.973879
412,0.168257,6.16617e-09,9.16905e-09,0.959569
414,0.181364,8.92077e-09,1.10534e-08,0.941414
416,0.129967,1.31838e-08,1.93223e-08,0.913133
418,0.147044,8.06239e-09,1.61468e-08,0.987143
420,0.174528,2.61924e-08,2.27384e-08,1.05477
422,0.174528,2.61924e-08,2.27384e-08,1.05477
424,0.14093,3.0829e-09,3.43152e-09,1.05512
426,0.155067,8.05878e-09,8.05142e-09,1.11375
428,0.160774,1.00719e-08,2.3626e-08,1.18386
430,0.156247,1.2156e-08,6.09313e-09,1.08521
432,0.161941,1.22052e-08,2.50968e-08,1.05279
434,0.150184,5.24242e-09,1.34855e-08,1.01154
436,0.153751,8.16856e-09,4.00145e-09,1.03249
438,0.13042,1.95968e-08,2.27159e-08,0.902489
440,0.153809,3.44015e-09,4.67218e-09,0.954734
442,0.17315,1.84961e-08,4.84324e-09,0.906635
444,0.17315,1.84961e-08,4.84324e-09,0.906635
446,0.197664,8.87527e-09,9.95349e-09,0.951386
448,0.232639,6.89003e-09,7.58745e-09,0.884125
450,0.164776,9.49402e-09,7.00951e-09,0.843717
452,0.142081,7.16529e-09,6.37341e-09,0.775983
454,0.133411,7.41636e-09,1.01161e-08,0.737012
456,0.175496,5.56259e-09,1.77355e-08,0.761202
458,0.162948,7.96003e-09,1.32411e-08,0.794962
460,0.162948,7.96003e-09,1.32411e-08,0.794962
462,0.174416,1.86157e-08,1.96821e-08,0.806732
464,0.191379,3.8792e-09,2.55479e-09,0.898838
466,0.203777,3.14817e-08,1.69862e-08,0.926643
468,0.159076,2.16047e-08,2.5843e-08,0.979381
470,0.129584,2.15463e-09,4.08777e-09,0.95755
472,0.169148,8.97047e-09,9.14235e-09,0.842036
474,0.152306,1.18475e-08,1.05251e-08,0.793311
476,0.188428,1.11778e-08,1.15541e-08,0.786122
478,0.188428,1.11778e-08,1.15541e-08,0.786122
480,0.146625,6.62677e-09,3.08183e-09,0.798526
482,0.146625,6.62677e-09,3.08183e-09,0.798526
484,0.127613,7.43249e-09,8.13632e-09,0.808885
486,0.148113,1.73812e-08,1.20225e-08,0.778049
488,0.179137,8.58516e-09,6.63028e-09,0.728015
490,0.162357,1.06878e-08,9.0024e-09,0.798259
492,0.154433,3.25592e-09,3.55006e-09,0.866142
494,0.147861,1.80934e-08,1.57539e-08,0.93524
496,0.147861,1.80934e-08,1.57539e-08,0.93524
498,0.152412,4.39694e-09,3.98541e-09,0.93392
500,0.211124,1.66725e-08,1.44272e-08,0.858691
502,0.169328,9.064e-09,4.09509e-08,0.908002
504,0.169328,9.064e-09,4.09509e-08,0.908002
506,0.164991,4.74469e-09,5.40268e-09,0.928741
508,0.153482,1.40154e-08,1.63813e-08,0.95014
510,0.140509,1.65617e-08,1.91331e-08,1.00569
512,0.140509,1.65617e-08,1.91331e-08,1.00569
514,0.117667,6.80866e-09,1.25791e-08,0.930748
516,0.139535,1.10729e-08,9.97969e-09,0.861095
518,0.144918,8.39051e-09,1.21028e-08,0.848389
520,0.147583,6.6764e-09,6.00701e-09,0.845258
522,0.139634,6.36964e-09,6.41535e-09,0.887045
524,0.139634,6.36964e-09,6.41535e-09,0.887045
526,0.192431,1.13226e-08,7.16663e-09,0.974596
528,0.192431,1.13226e-08,7.16663e-09,0.974596
530,0.192431,1.13226e-08,7.16663e-09,0.974596
532,0.170738,4.9151e-08,2.6721e-08,0.958976
534,0.160478,4.44949e-08,7.66701e-08,0.977961
536,0.156438,9.13633e-09,1.4945e-08,1.06414
538,0.134518,1.26405e-08,7.7129e-09,1.13943
540,0.140903,3.61588e-09,3.38982e-09,1.23383
542,0.158924,1.05678e-08,9.29118e-09,1.22406
544,0.153317,1.45557e-08,2.02688e-08,1.24566
546,0.16159,3.25125e-09,5.48303e-09,1.34771
548,0.13322,6.25428e-09,6.89756e-09,1.25765
550,0.155056,6.37296e-09,4.7731e-09,1.20178
552,0.13881,5.97649e-09,6.36183e-09,1.24351
554,0.16799,7.9211e-09,7.95417e-09,1.3279
556,0.191143,8.59515e-09,8.74757e-09,1.22179
558,0.164876,1.39719e-08,1.24771e-08,1.24964
560,0.130652,4.59719e-09,1.26188e-08,1.25225
562,0.162501,1.16058e-08,1.76111e-08,1.34951
564,0.173093,1.93433e-08,1.3216e-08,1.49736
566,0.149145,5.31707e-09,4.75772e-09,1.44934
568,0.182218,1.29166e-08,1.0237e-08,1.45006
570,0.179743,2.87102e-08,2.7977e-08,1.4484
572,0.146619,1.11076e-08,4.81925e-09,1.42022
574,0.172387,1.07977e-08,1.07716e-08,1.45196
576,0.17179,7.28765e-09,7.38422e-09,1.39993
578,0.15166,3.81057e-09,5.11354e-09,1.49923
580,0.136624,1.64496e-08,1.20447e-08,1.4561
582,0.168732,8.48318e-09,6.80591e-09,1.54563
584,0.16861,1.29215e-08,9.37751e-09,1.37257
586,0.16861,1.29215e-08,9.37751e-09,1.37257
588,0.199232,6.79998e-09,1.8606e-08,1.26682
590,0.146491,4.82269e-09,4.53523e-09,1.28134
592,0.16487,9.54247e-09,9.13205e-09,1.29181
594,0.19573,6.07677e-09,1.48201e-08,1.39834
596,0.143349,1.23844e-08,1.9089e-08,1.45905
598,0.170018,1.27202e-08,1.6201e-08,1.49586
600,0.148127,1.10158e-08,1.61434e-08,1.53753
602,0.172751,7.52637e-09,1.10794e-08,1.39503
604,0.172751,7.52637e-09,1.10794e-08,1.39503
606,0.15604,1.48144e-08,1.31205e-08,1.46788
608,0.153729,5.81204e-09,9.46435e-09,1.64336
610,0.158778,4.77683e-09,4.62444e-09,1.72653
612,0.166125,6.16238e-09,8.0259e-09,1.77834
614,0.174498,1.20368e-08,9.18892e-09,1.85814
616,0.145977,1.06743e-08,5.82275e-09,1.99299
618,0.146313,3.25378e-09,3.67388e-09,1.87531
620,0.178088,6.83425e-09,7.4995e-09,1.8349
622,0.144264,1.24113e-08,1.33541e-08,1.7728
624,0.167323,7.88891e-09,7.25292e-09,1.92735
626,0.172204,1.14417e-08,1.28414e-08,1.89136
628,0.143527,5.29804e-09,8.30987e-09,1.94336
630,0.163394,1.35152e-08,1.60514e-08,2.14048
632,0.169905,5.74037e-09,6.60659e-09,2.07841
634,0.156448,5.19123e-08,1.60687e-08,2.0122
636,0.166722,8.90292e-09,1.34913e-08,2.1621
638,0.166882,9.08573e-09,1.23362e-08,2.17657
640,0.122592,1.04306e-08,1.14452e-08,2.00088
642,0.122592,1.04306e-08,1.14452e-08,2.00088
644,0.139328,2.20779e-08,1.74599e-08,1.98658
646,0.157109,1.37354e-08,1.46909e-08,2.11723
648,0.157109,1.37354e-08,1.46909e-08,2.11723
650,0.157109,1.37354e-08,1.46909e-08,2.11723
652,0.1925,1.27125e-08,7.21977e-09,2.11248
654,0.13855,7.03926e-09,1.78964e-08,2.36772
656,0.177772,4.43802e-09,1.01218e-08,2.33328
658,0.142431,1.89303e-08,5.277e-09,2.17338
660,0.154366,5.90279e-09,3.57681e-09,2.20912
662,0.150329,2.05317e-08,1.63525e-08,2.08541
664,0.174435,6.80681e-08,3.27421e-08,2.15034
666,0.191913,3.26738e-08,1.8038e-08,2.05831
668,0.166317,1.49638e-08,1.23361e-08,2.01433
670,0.153305,7.29686e-09,7.30746e-09,2.0209
672,0.180436,6.98347e-09,7.55544e-09,2.03093
674,0.180436,6.98347e-09,7.55544e-09,2.03093
676,0.142976,9.24671e-09,1.68994e-08,1.93174
678,0.156962,5.81452e-09,1.45567e-08,1.97217
680,0.156537,1.12104e-08,7.95272e-09,1.99534
682,0.130731,7.9503e-09,1.37117e-08,2.04432
684,0.130731,7.9503e-09,1.37117e-08,2.04432
686,0.130731,7.9503e-09,1.37117e-08,2.04432
688,0.147966,3.46498e-09,5.13906e-09,2.11165
690,0.147966,3.46498e-09,5.13906e-09,2.11165
692,0.147966,3.46498e-09,5.13906e-09,2.11165
694,0.147966,3.46498e-09,5.13906e-09,2.11165
696,0.158372,1.10085e-08,6.94706e-09,2.17383
698,0.158372,1.10085e-08,6.94706e-09,2.17383
700,0.158626,4.30393e-09,9.36028e-09,2.15964
702,0.161702,7.41086e-09,7.35535e-09,2.11888
704,0.162424,1.00538e-08,5.75383e-09,1.919
706,0.14508,9.87942e-09,1.1027e-08,1.88825
708,0.152576,5.87507e-09,6.11543e-09,1.8873
710,0.17421,3.23591e-08,3.5399e-08,1.88317
712,0.163502,6.60357e-09,1.02938e-08,1.9421
714,0.144087,7.65281e-09,2.1833e-08,1.88113
716,0.135458,7.15278e-09,1.68302e-08,1.74435
718,0.170507,1.14316e-08,8.51843e-09,1.75295
720,0.191551,4.75069e-09,6.28699e-09,1.71411
722,0.156819,1.66607e-08,1.20211e-08,1.90787
724,0.138705,7.64746e-09,5.72335e-09,1.88324
726,0.189323,9.01419e-09,7.01847e-09,2.12557
728,0.149348,1.11776e-08,6.50306e-09,2.25801
730,0.186907,2.97046e-08,1.76966e-08,2.34642
732,0.169705,1.69361e-08,2.79908e-08,2.37037
734,0.15884,5.40908e-09,6.61464e-09,2.38437
736,0.14816,9.56017e-09,1.29418e-08,2.56936
738,0.151653,8.00346e-09,4.48743e-09,2.46957
740,0.15112,1.21856e-08,2.5152e-08,2.27401
742,0.165685,1.0251e-08,1.06291e-08,2.3949
744,0.156179,7.57153e-09,6.99204e-09,2.53707
746,0.147777,3.394e-09,2.29616e-09,2.50543
748,0.127133,4.9915e-09,3.14475e-09,2.57499
750,0.124048,3.1625e-09,3.42369e-09,2.61798
752,0.148921,7.25424e-09,5.77071e-09,2.46389
754,0.148921,7.25424e-09,5.77071e-09,2.46389
756,0.146058,1.16743e-08,1.65764e-08,2.47868
758,0.15046,4.01215e-09,6.78134e-09,2.33845
760,0.187902,2.2237e-08,2.83121e-08,2.17161
762,0.13729,6.96362e-09,3.42598e-08,2.26588
764,0.221853,7.19009e-09,3.23897e-09,2.42123
766,0.167872,7.09376e-09,9.56328e-09,2.41503
768,0.15876,3.03692e-08,1.20307e-08,2.26146
770,0.167199,3.43624e-09,5.9463e-09,2.27899
772,0.152122,1.3905e-08,8.19022e-09,2.27612
774,0.152122,1.3905e-08,8.19022e-09,2.27612
776,0.151526,7.56465e-09,5.98769e-09,2.26137
778,0.154209,2.97092e-08,5.83602e-09,2.18499
780,0.150562,6.92876e-09,5.89514e-09,2.29832
782,0.164234,7.77859e-09,7.46302e-09,2.42271
784,0.162382,1.06224e-08,9.09921e-09,2.42331
786,0.169567,2.29019e-08,1.57115e-08,2.5422
788,0.162246,5.38337e-09,5.35002e-09,2.61486
790,0.157149,1.52218e-08,1.2116e-08,2.65851
792,0.156088,1.63821e-08,7.77451e-09,2.49154
794,0.167689,1.74222e-08,1.14226e-08,2.64511
796,0.171032,7.05588e-09,8.75772e-09,2.76511
798,0.171032,7.05588e-09,8.75772e-09,2.76511
800,0.146278,5.74716e-09,8.18624e-09,2.74028
802,0.150855,6.23219e-09,4.11287e-09,2.83264
804,0.150855,6.23219e-09,4.11287e-09,2.83264
806,0.151332,9.8317e-09,8.69203e-09,2.86634
808,0.145484,8.23932e-09,1.43456e-08,2.83755
810,0.169867,7.70727e-09,6.98329e-09,2.80062
812,0.12922,1.356e-07,1.73651e-07,3.08357
814,0.159572,1.25813e-08,1.37447e-08,3.19377
816,0.142803,1.8754e-08,2.41126e-08,3.28854
818,0.158267,9.83394e-09,7.74526e-09,3.70115
820,0.154043,7.58459e-09,9.26479e-09,3.7888
822,0.147526,4.64363e-09,6.18245e-09,3.84314
824,0.171285,4.85198e-09,5.54251e-09,3.83271
826,0.172982,1.01969e-08,1.11105e-08,3.87928
828,0.158805,1.10711e-08,1.41544e-08,4.17191
830,0.181071,9.37743e-09,9.53025e-09,4.0849
832,0.129741,3.97124e-09,7.67109e-09,3.97064
834,0.129741,3.97124e-09,7.67109e-09,3.97064
836,0.147166,9.81619e-09,6.51435e-09,4.03188
838,0.147166,9.81619e-09,6.51435e-09,4.03188
840,0.169134,1.31404e-08,1.2029e-08,3.90111
842,0.169134,1.31404e-08,1.2029e-08,3.90111
844,0.169134,1.31404e-08,1.2029e-08,3.90111
846,0.151832,1.98784e-08,1.19005e-08,3.81934
848,0.166633,1.00925e-08,6.28933e-09,3.7912
850,0.166633,1.00925e-08,6.28933e-09,3.7912
852,0.148373,8.68612e-09,8.20425e-09,3.92545
854,0.173478,1.19057e-08,1.59571e-08,3.76633
856,0.164487,7.77464e-09,8.37992e-09,3.82804
858,0.154787,1.61472e-08,1.49954e-08,3.88179
860,0.156945,6.74516e-09,1.08992e-08,3.73241
862,0.155513,1.656e-08,1.78113e-08,3.63743
864,0.137232,1.16768e-08,9.63362e-09,3.64274
866,0.141783,5.6531e-09,9.32673e-09,3.63162
868,0.177917,7.43354e-09,7.14836e-09,3.70783
