t,deltaS
638,0.9424
639,0.8559
640,-0.8345
641,-0.01949
642,0.287
643,-0.05532
644,1.152
645,0.2291
646,0.6675
647,0.408
648,0.4691
649,-0.2969
650,-0.1765
651,-0.396
652,0.2613
653,0.7128
654,0.2318
655,0.2465
656,1.169
657,0.5663
658,0.2955
659,-0.07522
660,-0.7305
661,0.2299
662,0.8626
663,-0.5595
664,0.6269
665,0.8724
666,0.1615
667,-0.782
668,0.4894
669,-0.02722
670,0.3953
671,-0.1808
672,-0.1635
673,-0.252
674,0.07632
675,0.4949
676,0.1446
677,-1.612
678,0.5171
679,1.225
680,1.304
681,0.2037
682,0.4832
683,0.7274
684,0.1481
685,-0.1633
686,0.498
687,0.4163
688,0.2652
689,0.5166
690,-0.523
691,-0.2978
692,-0.1092
693,-0.03086
694,0.8447
695,-0.1413
696,0.1313
697,0.02822
698,-0.3678
699,0.2514
700,-0.3245
701,0.343
702,0.05634
703,0.7968
704,0.5084
705,0.7449
706,-0.01491
707,-0.06925
708,0.7175
709,-0.5114
710,0.8113
711,0.1544
712,-0.0697
713,0.09787
714,0.06327
715,-0.5836
716,-0.07081
717,-0.2065
718,-0.2567
719,0.05455
720,-0.9957
721,0.8866
722,0.3881
723,0.3608
724,0.4955
725,0.6522
726,-1.056
727,0.5023
728,0.3913
729,-0.6835
730,-0.8952
731,0.993
732,0.4079
733,0.3343
734,-0.4325
735,0.809
736,-0.3942
737,0.03201
738,-0.2696
739,0.2701
740,-0.6238
741,0.8603
742,0.2288
743,-0.4808
744,0.1615
745,0.4395
746,-0.002932
747,0.09009
748,-0.1979
749,-0.1015
750,0.01315
751,0.1352
752,-0.02137
753,0.8745
754,0.135
755,1.113
756,-0.5129
757,0.3852
758,0.3857
759,-0.744
760,-0.09649
761,-0.2874
762,0.3131
763,1.311
764,-0.1688
765,-0.2801
766,-0.9295
767,0.6565
768,1.134
769,0.7895
770,0.2172
771,-0.5411
772,-0.4086
773,0.5996
774,-0.393
775,0.6134
776,-0.1537
777,-0.5624
778,-0.08481
779,0.1821
780,0.3961
781,-0.01961
782,0.08831
783,0.004137
784,0.4889
785,0.2865
786,-1.611
787,0.7988
788,0.8457
789,0.1972
790,-0.7538
791,0.3886
792,0.134
793,0.4759
794,-0.7169
795,-0.01191
796,1.002
797,-0.08439
798,-0.5458
799,1.041
800,0.291
801,0.5456
802,-0.3173
803,-0.107
804,0.2467
805,0.394
806,-0.1011
807,0.1385
808,1.529
809,-0.08619
810,0.8213
811,-0.09024
812,0.3853
813,-0.567
814,0.6077
815,0.5244
816,0.8095
817,-0.9512
818,-0.3074
819,-0.1223
820,0.5265
821,0.9391
822,0.1772
823,0.1955
824,0.8247
825,-0.3256
826,0.2696
827,0.4723
828,-0.5392
829,0.1611
830,-0.4446
831,-0.5232
832,0.8319
833,0.2935
834,0.1395
835,0.9481
836,0.1006
837,-0.5368
838,0.1219
839,-0.3496
840,0.06262
841,-0.6519
842,0.249
843,0.3233
844,1.199
845,-0.4457
846,0.04194
