MDTU,min_ave,max_ave
828,-1.34324,0.563539
830,-1.36369,0.571603
832,-1.35441,0.548856
834,-1.35441,0.548856
836,-1.35822,0.555292
838,-1.35822,0.555292
840,-1.30284,0.554504
842,-1.30284,0.554504
844,-1.30284,0.554504
846,-1.29816,0.549064
848,-1.35733,0.564104
850,-1.35733,0.564104
852,-1.34725,0.565141
854,-1.40787,0.563861
856,-1.45553,0.554819
858,-1.35533,0.560808
860,-1.39736,0.547945
862,-1.33568,0.546745
864,-1.36508,0.536773
866,-1.34681,0.543384
868,-1.42151,0.55517
870,-1.39005,0.536764
872,-1.40519,0.531763
874,-1.40169,0.530074
876,-1.40169,0.530074
878,-1.43698,0.526733
880,-1.43698,0.526733
882,-1.39753,0.520634
884,-1.40464,0.537482
886,-1.43861,0.524806
888,-1.43861,0.524806
890,-1.36167,0.518788
892,-1.34218,0.535947
894,-1.42898,0.533798
896,-1.422,0.537025
898,-1.31905,0.548775
900,-1.37183,0.548405
902,-1.29306,0.550073
904,-1.29306,0.550073
906,-1.29306,0.550073
908,-1.40796,0.541212
910,-1.46324,0.528458
912,-1.32598,0.540339
914,-1.35651,0.540673
916,-1.34289,0.542282
918,-1.42075,0.525279
920,-1.43721,0.533582
922,-1.43721,0.533582
924,-1.43721,0.533582
926,-1.40357,0.535534
928,-1.4066,0.529547
930,-1.39168,0.548315
932,-1.33688,0.549322
934,-1.33688,0.549322
936,-1.40884,0.549204
938,-1.40884,0.549204
940,-1.43018,0.537074
942,-1.43018,0.537074
944,-1.43018,0.537074
946,-1.43018,0.537074
948,-1.32891,0.533416
950,-1.34564,0.532761
952,-1.329,0.537891
954,-1.37539,0.527925
956,-1.42146,0.535736
958,-1.40826,0.532035
960,-1.33212,0.553397
962,-1.33766,0.536579
964,-1.38798,0.543088
966,-1.36828,0.546404
968,-1.2939,0.549658
970,-1.41903,0.541372
972,-1.42273,0.553243
974,-1.39915,0.522185
976,-1.32731,0.549455
978,-1.41184,0.537846
980,-1.3388,0.542092
982,-1.41142,0.553838
984,-1.41142,0.553838
986,-1.43723,0.537125
988,-1.35229,0.543117
990,-1.35229,0.543117
992,-1.37148,0.534992
994,-1.4452,0.51233
996,-1.42652,0.520832
998,-1.44253,0.524165
1000,-1.44253,0.524165
1002,-1.30764,0.529206
1004,-1.30764,0.529206
1006,-1.32765,0.539634
1008,-1.37019,0.548151
1010,-1.31534,0.554621
1012,-1.34904,0.553606
1014,-1.32644,0.546732
1016,-1.39895,0.530107
1018,-1.37239,0.539861
1020,-1.3496,0.547852
1022,-1.29792,0.557137
1024,-1.34971,0.534557
1026,-1.34971,0.534557
1028,-1.34971,0.534557
1030,-1.35698,0.529037
1032,-1.42304,0.535574
1034,-1.44441,0.52595
1036,-1.46701,0.504788
1038,-1.46568,0.498636
1040,-1.48296,0.506845
1042,-1.48296,0.506845
1044,-1.48296,0.506845
1046,-1.44314,0.50632
1048,-1.45407,0.51207
1050,-1.48716,0.495633
1052,-1.4552,0.478117
1054,-1.52648,0.48018
1056,-1.52648,0.48018
1058,-1.45489,0.497473
1060,-1.45489,0.497473
1062,-1.45489,0.497473
1064,-1.46139,0.486759
1066,-1.46139,0.486759
1068,-1.45275,0.48464
1070,-1.48258,0.476926
1072,-1.54648,0.484797
1074,-1.5117,0.478406
1076,-1.50603,0.467493
1078,-1.42748,0.473214
1080,-1.46839,0.471073
1082,-1.47601,0.483051
1084,-1.47601,0.483051
1086,-1.47601,0.483051
1088,-1.47601,0.483051
1090,-1.49981,0.483486
1092,-1.51879,0.475081
1094,-1.49538,0.473801
1096,-1.44746,0.474388
1098,-1.44746,0.474388
1100,-1.48081,0.493337
1102,-1.39135,0.478947
1104,-1.39135,0.478947
1106,-1.53383,0.486272
1108,-1.53383,0.486272
1110,-1.47287,0.4802
1112,-1.5204,0.468167
1114,-1.43793,0.467128
1116,-1.48479,0.478897
1118,-1.44637,0.467274
1120,-1.49661,0.467674
1122,-1.56297,0.455248
1124,-1.54347,0.458431
1126,-1.48315,0.468932
1128,-1.4353,0.469076
1130,-1.48982,0.470357
1132,-1.52927,0.471471
1134,-1.51367,0.482605
1136,-1.51367,0.482605
1138,-1.48077,0.470071
1140,-1.40592,0.489865
1142,-1.49097,0.478659
1144,-1.47924,0.487864
1146,-1.47924,0.487864
1148,-1.46923,0.491067
1150,-1.46502,0.501721
1152,-1.46502,0.501721
1154,-1.44895,0.489716
1156,-1.44975,0.50403
1158,-1.45625,0.512828
1160,-1.46208,0.511676
1162,-1.37565,0.503934
1164,-1.39014,0.524176
1166,-1.39014,0.524176
1168,-1.36415,0.522532
1170,-1.41119,0.515697
1172,-1.3672,0.518258
1174,-1.40757,0.501667
1176,-1.46468,0.501427
1178,-1.42565,0.514711
1180,-1.46178,0.513008
1182,-1.42417,0.519985
1184,-1.46989,0.52865
1186,-1.43848,0.529774
1188,-1.43848,0.529774
1190,-1.43848,0.529774
1192,-1.43848,0.529774
1194,-1.43848,0.529774
1196,-1.42476,0.527099
1198,-1.38572,0.531542
1200,-1.35089,0.531102
1202,-1.43673,0.542209
1204,-1.34126,0.548621
1206,-1.42291,0.552916
1208,-1.45127,0.538881
1210,-1.39275,0.54545
1212,-1.37817,0.551983
1214,-1.43017,0.535741
1216,-1.38115,0.548643
1218,-1.38115,0.548643
1220,-1.316,0.54926
1222,-1.41453,0.537831
1224,-1.37326,0.544278
1226,-1.37326,0.544278
1228,-1.37495,0.548835
1230,-1.33234,0.562043
1232,-1.32105,0.561581
1234,-1.36175,0.562551
1236,-1.30624,0.561753
1238,-1.34929,0.559183
1240,-1.37397,0.548126
1242,-1.39338,0.562735
1244,-1.32312,0.567715
1246,-1.31015,0.567094
1248,-1.31015,0.567094
1250,-1.38894,0.553019
1252,-1.35761,0.560963
1254,-1.35761,0.560963
1256,-1.44723,0.545838
1258,-1.35468,0.553529
1260,-1.36654,0.532447
1262,-1.38286,0.532073
1264,-1.41069,0.522968
1266,-1.33655,0.531916
1268,-1.35876,0.532076
1270,-1.3768,0.537529
1272,-1.37932,0.538195
1274,-1.37932,0.538195
1276,-1.41114,0.525538
1278,-1.36254,0.519469
1280,-1.37915,0.512174
1282,-1.42562,0.527842
1284,-1.42562,0.527842
1286,-1.37541,0.534704
1288,-1.37541,0.534704
1290,-1.41829,0.524534
1292,-1.41829,0.524534
1294,-1.41829,0.524534
1296,-1.41263,0.523519
1298,-1.38555,0.521458
1300,-1.37725,0.526298
1302,-1.37281,0.537501
1304,-1.38986,0.52181
1306,-1.38986,0.52181
1308,-1.38986,0.52181
1310,-1.38986,0.52181
1312,-1.38986,0.52181
1314,-1.38986,0.52181
1316,-1.43458,0.507809
1318,-1.45269,0.494483
1320,-1.46098,0.494891
1322,-1.46098,0.494891
1324,-1.46098,0.494891
1326,-1.39238,0.521565
1328,-1.39238,0.521565
1330,-1.43468,0.502632
1332,-1.39267,0.505821
1334,-1.44637,0.518281
1336,-1.37884,0.527033
1338,-1.40097,0.521788
1340,-1.40097,0.521788
1342,-1.4142,0.515977
1344,-1.39104,0.524033
1346,-1.36221,0.528349
1348,-1.39353,0.509101
1350,-1.50759,0.518479
1352,-1.41159,0.516723
1354,-1.44545,0.536492
1356,-1.44545,0.536492
1358,-1.44545,0.536492
1360,-1.44545,0.536492
1362,-1.39843,0.524627
1364,-1.50114,0.535577
1366,-1.50114,0.535577
1368,-1.42111,0.52469
1370,-1.39004,0.528611
1372,-1.39004,0.528611
1374,-1.39004,0.528611
1376,-1.4685,0.515015
1378,-1.38401,0.507313
1380,-1.40467,0.505894
1382,-1.45581,0.49612
1384,-1.3842,0.514642
1386,-1.39387,0.515896
1388,-1.40408,0.507093
1390,-1.40892,0.508191
1392,-1.4029,0.516318
1394,-1.39817,0.515525
1396,-1.35609,0.526709
1398,-1.40414,0.526382
1400,-1.36873,0.539856
1402,-1.41655,0.53778
1404,-1.41655,0.53778
1406,-1.41655,0.53778
1408,-1.41655,0.53778
1410,-1.41505,0.546634
1412,-1.40812,0.559923
1414,-1.37377,0.553987
1416,-1.31413,0.558823
1418,-1.35156,0.546638
1420,-1.35156,0.546638
1422,-1.35156,0.546638
1424,-1.33495,0.538286
1426,-1.33117,0.532442
1428,-1.38243,0.53744
1430,-1.30681,0.564384
1432,-1.26473,0.564503
1434,-1.33714,0.560413
1436,-1.42778,0.555603
1438,-1.33297,0.561839
1440,-1.30523,0.5602
1442,-1.30523,0.5602
1444,-1.30523,0.5602
1446,-1.30172,0.57503
1448,-1.34344,0.580606
1450,-1.25013,0.588629
1452,-1.32304,0.581015
1454,-1.35221,0.582543
1456,-1.26538,0.584913
1458,-1.31186,0.598597
1460,-1.29323,0.585267
1462,-1.29323,0.585267
1464,-1.24237,0.601251
1466,-1.23689,0.586599
1468,-1.35072,0.584902
1470,-1.35072,0.584902
1472,-1.35203,0.590937
1474,-1.27631,0.590798
1476,-1.32305,0.589659
1478,-1.31064,0.58964
1480,-1.32173,0.603024
1482,-1.21255,0.594177
1484,-1.33722,0.587224
1486,-1.32886,0.583481
1488,-1.27478,0.596328
1490,-1.34624,0.591719
1492,-1.32527,0.598233
1494,-1.23248,0.58982
1496,-1.36838,0.584041
1498,-1.26205,0.598423
1500,-1.34341,0.596068
1502,-1.31973,0.595463
1504,-1.22067,0.601499
1506,-1.22067,0.601499
1508,-1.3369,0.604593
1510,-1.28291,0.583533
1512,-1.30757,0.601764
1514,-1.30757,0.601764
1516,-1.26718,0.603541
1518,-1.27522,0.611033
1520,-1.24093,0.624309
1522,-1.1791,0.630681
1524,-1.1791,0.630681
1526,-1.1791,0.630681
1528,-1.21116,0.615004
1530,-1.24192,0.610056
1532,-1.29314,0.610106
1534,-1.29314,0.610106
1536,-1.29314,0.610106
1538,-1.32341,0.611009
1540,-1.27128,0.611849
1542,-1.27613,0.619053
1544,-1.31329,0.627952
1546,-1.20886,0.62621
1548,-1.19981,0.613555
1550,-1.30544,0.621476
1552,-1.2281,0.619459
1554,-1.28555,0.616038
1556,-1.22702,0.609189
1558,-1.22702,0.609189
1560,-1.3291,0.603898
1562,-1.27051,0.616155
1564,-1.28247,0.608285
1566,-1.27728,0.613972
1568,-1.2478,0.609073
1570,-1.23532,0.600058
1572,-1.31803,0.617342
1574,-1.31803,0.617342
1576,-1.17625,0.617755
1578,-1.22817,0.611922
1580,-1.26729,0.60251
1582,-1.33805,0.602419
1584,-1.29308,0.60102
1586,-1.29974,0.587467
1588,-1.30099,0.607111
1590,-1.20457,0.602084
1592,-1.20457,0.602084
1594,-1.28857,0.601154
1596,-1.23931,0.61188
1598,-1.23931,0.61188
1600,-1.20957,0.606036
1602,-1.36718,0.603162
1604,-1.30043,0.602615
1606,-1.20738,0.618546
1608,-1.22745,0.632478
1610,-1.2136,0.619568
1612,-1.23859,0.641101
1614,-1.23879,0.628089
1616,-1.23879,0.628089
1618,-1.27251,0.621541
1620,-1.24838,0.601815
1622,-1.30225,0.605042
1624,-1.30236,0.599374
1626,-1.27779,0.595073
1628,-1.27779,0.595073
1630,-1.27779,0.595073
1632,-1.25634,0.6034
1634,-1.24838,0.595463
1636,-1.228,0.587335
1638,-1.36963,0.586763
1640,-1.36963,0.586763
1642,-1.36963,0.586763
1644,-1.27699,0.585367
1646,-1.2402,0.598681
1648,-1.31229,0.56511
1650,-1.283,0.581299
1652,-1.283,0.581299
1654,-1.25253,0.578967
1656,-1.38828,0.570305
1658,-1.27495,0.580105
1660,-1.28283,0.575633
1662,-1.27064,0.579698
1664,-1.277,0.580316
1666,-1.277,0.580316
1668,-1.28029,0.580375
1670,-1.33628,0.567552
1672,-1.37791,0.554009
1674,-1.36171,0.550624
1676,-1.3666,0.541081
1678,-1.3716,0.557904
1680,-1.34398,0.556145
1682,-1.34318,0.562573
1684,-1.34318,0.562573
1686,-1.35706,0.549109
1688,-1.35706,0.549109
1690,-1.39306,0.537915
1692,-1.36225,0.536028
1694,-1.36059,0.543948
1696,-1.36059,0.543948
1698,-1.37364,0.526254
1700,-1.37959,0.537175
1702,-1.44119,0.531714
1704,-1.38898,0.527657
1706,-1.3522,0.531907
1708,-1.3522,0.531907
1710,-1.404,0.526826
1712,-1.404,0.526826
1714,-1.42827,0.527124
1716,-1.45102,0.53228
1718,-1.39802,0.519597
1720,-1.50948,0.522723
1722,-1.36104,0.528179
1724,-1.36104,0.528179
1726,-1.40158,0.535269
1728,-1.40158,0.535269
1730,-1.38622,0.531689
1732,-1.34423,0.5306
1734,-1.33869,0.53728
1736,-1.439,0.527115
1738,-1.39647,0.53983
1740,-1.37189,0.538884
1742,-1.35339,0.560822
1744,-1.35339,0.560822
1746,-1.36982,0.551658
1748,-1.36982,0.551658
1750,-1.34087,0.556213
1752,-1.38909,0.543362
1754,-1.37946,0.550528
1756,-1.36581,0.556811
1758,-1.34741,0.569945
1760,-1.34683,0.548997
1762,-1.38374,0.547886
1764,-1.3685,0.53876
1766,-1.32171,0.56195
1768,-1.36328,0.555981
1770,-1.30619,0.544127
1772,-1.34732,0.55304
1774,-1.37285,0.559815
1776,-1.36365,0.54752
1778,-1.36365,0.54752
1780,-1.43889,0.545895
1782,-1.33673,0.542579
1784,-1.34835,0.538843
1786,-1.44723,0.546696
1788,-1.35074,0.545756
1790,-1.35815,0.549582
1792,-1.38175,0.535849
1794,-1.35288,0.530904
1796,-1.3711,0.553845
1798,-1.3711,0.553845
1800,-1.3711,0.553845
1802,-1.35953,0.561385
1804,-1.38166,0.547816
1806,-1.3539,0.545458
1808,-1.32293,0.549317
1810,-1.28998,0.566595
1812,-1.30659,0.560555
1814,-1.34412,0.566722
1816,-1.26216,0.566728
1818,-1.26216,0.566728
1820,-1.45637,0.567233
1822,-1.28818,0.559782
1824,-1.28818,0.559782
1826,-1.3686,0.564574
1828,-1.38775,0.565354
1830,-1.35482,0.57421
1832,-1.33037,0.57758
1834,-1.33037,0.57758
1836,-1.34874,0.567813
1838,-1.40487,0.566999
1840,-1.40487,0.566999
1842,-1.2815,0.590932
1844,-1.30945,0.584567
1846,-1.29453,0.574405
1848,-1.32383,0.578886
1850,-1.33614,0.572345
1852,-1.3879,0.563288
1854,-1.3553,0.554049
1856,-1.37497,0.552624
1858,-1.34241,0.572645
1860,-1.29971,0.566512
1862,-1.32201,0.564308
1864,-1.36178,0.560437
1866,-1.36178,0.560437
1868,-1.41821,0.549432
1870,-1.41821,0.549432
1872,-1.41821,0.549432
1874,-1.41821,0.549432
1876,-1.41821,0.549432
1878,-1.40501,0.539625
1880,-1.3646,0.531304
1882,-1.34348,0.535207
1884,-1.37838,0.539052
1886,-1.37282,0.523307
1888,-1.41757,0.521948
1890,-1.38566,0.52844
1892,-1.40377,0.531342
1894,-1.37102,0.531283
1896,-1.31906,0.553515
1898,-1.43059,0.533854
1900,-1.43998,0.528897
1902,-1.42287,0.551539
1904,-1.42287,0.551539
1906,-1.42287,0.551539
1908,-1.42287,0.551539
1910,-1.46796,0.543977
1912,-1.39042,0.542198
1914,-1.43718,0.544885
1916,-1.43718,0.544885
1918,-1.43718,0.544885
1920,-1.35573,0.537794
1922,-1.37723,0.536963
1924,-1.4066,0.541735
1926,-1.34145,0.544864
1928,-1.35239,0.533723
1930,-1.41564,0.546059
1932,-1.41564,0.546059
1934,-1.34945,0.531337
1936,-1.34945,0.531337
1938,-1.399,0.542259
1940,-1.35132,0.55001
1942,-1.35447,0.537258
1944,-1.32576,0.518573
1946,-1.42966,0.516472
1948,-1.4673,0.514083
1950,-1.51193,0.511312
