MDTU,min_min,min_max,max_min,max_max
352,-5.00196,-1.5728,0.017443,0.50231
354,-4.95973,-1.2598,0.00553362,0.520151
356,-4.95973,-1.2598,0.00553362,0.520151
358,-4.84039,-1.71056,-0.0660095,0.542078
360,-5.844,-1.38085,-0.0212408,0.605248
362,-4.84669,-1.40952,0.00785142,0.533498
364,-5.39924,-1.0295,0.00240627,0.58788
366,-5.11457,-1.44006,-0.0142806,0.518568
368,-5.1557,-1.41578,-0.0112762,0.542359
370,-5.29037,-1.31003,-0.0439354,0.530887
372,-5.16363,-1.45562,0.0227068,0.58906
374,-5.16363,-1.45562,0.0227068,0.58906
376,-5.16363,-1.45562,0.0227068,0.58906
378,-4.75078,-1.47615,0.00993386,0.560755
380,-4.75078,-1.47615,0.00993386,0.560755
382,-4.75078,-1.47615,0.00993386,0.560755
384,-4.70966,-1.40742,-0.0498616,0.434956
386,-5.23783,-1.49684,-0.0554821,0.592805
388,-5.95728,-1.47872,-0.00820896,0.47026
390,-4.68989,-1.63633,-0.0729726,0.522872
392,-4.68989,-1.63633,-0.0729726,0.522872
394,-4.68989,-1.63633,-0.0729726,0.522872
396,-5.04395,-1.41053,-0.0377199,0.496
398,-5.40687,-1.43495,0.00250019,0.515879
400,-5.25709,-1.62956,0.00773429,0.515298
402,-5.45438,-1.59874,0.0330398,0.472292
404,-5.26958,-1.58938,-0.0556717,0.439917
406,-4.59217,-1.46141,-0.0502136,0.568565
408,-5.22096,-1.5797,-0.164894,0.524648
410,-5.22096,-1.5797,-0.164894,0.524648
412,-4.29702,-1.24702,-0.115896,0.585139
414,-4.29702,-1.24702,-0.115896,0.585139
416,-4.29702,-1.24702,-0.115896,0.585139
418,-4.29702,-1.24702,-0.115896,0.585139
420,-5.16169,-1.43137,-0.0118561,0.543843
422,-5.16169,-1.43137,-0.0118561,0.543843
424,-4.31884,-1.51475,0.00853003,0.460448
426,-4.31884,-1.51475,0.00853003,0.460448
428,-5.2447,-1.37556,-0.060536,0.469838
430,-5.46507,-1.46288,-0.0683087,0.615677
432,-5.95466,-0.985035,0.00961899,0.546969
434,-6.06991,-1.35806,0.0202113,0.583741
436,-6.15344,-1.34389,-0.0851571,0.436409
438,-5.16644,-1.73086,-0.0514692,0.423065
440,-4.40681,-1.59877,-0.0104521,0.494729
442,-4.69675,-1.70175,-0.0460305,0.459871
444,-4.74921,-1.50439,-0.0289391,0.456569
446,-5.08852,-1.70786,-0.0300833,0.392102
448,-5.08852,-1.70786,-0.0300833,0.392102
450,-6.39308,-1.59009,-0.0749712,0.448826
452,-5.58968,-1.67999,-0.038636,0.448518
454,-5.25072,-1.45136,0.00866237,0.486464
456,-5.45789,-1.3353,-0.00803236,0.523831
