MDTU,link
1246,0.792145
1248,0.343113
1250,0.477449
1252,0.484295
1254,0.682924
1256,1.17171
1258,1.40766
1260,1.72804
1262,1.79361
1264,1.64488
1266,3.97753
1268,4.33624
1270,2.70879
1272,2.70879
1274,2.23729
1276,2.48206
1278,2.46731
1280,2.22822
1282,2.11877
1284,1.51154
1286,1.7581
1288,1.7581
1290,1.7581
1292,3.40079
1294,3.60231
1296,3.23852
1298,4.17973
1300,4.17973
1302,4.97779
1304,3.59718
1306,3.59718
1308,4.29779
1310,3.32165
1312,4.31865
1314,3.99801
1316,4.83095
1318,4.31925
1320,5.08781
1322,4.31439
1324,4.59965
1326,6.20346
1328,6.20346
1330,5.7879
1332,4.88785
1334,2.95651
1336,5.95399
1338,4.39324
1340,3.75216
1342,2.72035
1344,4.11769
1346,4.73278
1348,5.16537
1350,4.74983
1352,4.74983
1354,4.74983
1356,6.07691
1358,5.17875
1360,6.27142
1362,6.27142
1364,4.60561
1366,5.56941
1368,4.95328
1370,4.84523
1372,4.73071
1374,4.73071
1376,5.64288
1378,5.72409
1380,4.44873
1382,4.08386
1384,5.08584
1386,5.63748
1388,5.63748
1390,5.63748
1392,4.32577
1394,4.03552
1396,2.72902
1398,1.88318
1400,1.79622
1402,3.5182
1404,3.5182
1406,3.01534
1408,2.44408
1410,1.71269
1412,1.71269
1414,1.05263
1416,1.05263
1418,1.41324
1420,1.64533
1422,2.54772
1424,2.69764
1426,3.43202
1428,3.0561
1430,3.0561
1432,4.41096
1434,4.83612
1436,4.64069
1438,6.06953
1440,6.00972
1442,6.00972
1444,5.2925
1446,3.79173
1448,3.1946
1450,3.1946
1452,3.54393
1454,5.91328
1456,3.57714
1458,3.69754
1460,4.17128
1462,5.54322
1464,7.35937
1466,7.39069
1468,8.08453
1470,10.2981
1472,11.6871
1474,12.1232
1476,13.1593
1478,12.5274
1480,12.5274
1482,13.7803
1484,13.9334
1486,13.9334
1488,13.2872
1490,14.796
1492,14.796
1494,14.5481
1496,15.0244
1498,13.5889
1500,13.4902
1502,12.5742
1504,11.601
1506,15.8653
1508,18.0847
1510,15.6966
1512,18.7967
1514,18.1295
1516,19.9163
1518,23.9435
1520,23.2157
1522,24.509
1524,25.4377
1526,25.2794
1528,20.3095
1530,18.08
1532,17.8369
1534,18.8093
1536,20.2069
1538,20.2069
1540,17.6797
1542,17.6805
1544,15.0891
1546,15.5213
1548,15.642
1550,17.396
1552,17.0303
1554,20.2608
1556,18.5493
1558,17.6143
1560,14.5961
1562,14.1947
1564,16.0011
1566,16.7737
1568,17.6864
1570,17.6864
1572,16.6792
1574,16.6693
1576,16.8389
1578,17.5651
1580,19.5484
1582,16.0117
1584,16.0117
1586,16.8047
1588,19.5462
1590,18.8644
1592,21.2472
1594,19.8061
1596,21.8363
1598,23.1222
1600,28.0989
1602,29.731
1604,29.7792
1606,29.7792
1608,29.9519
1610,31.3829
1612,29.0808
1614,28.1379
1616,26.4661
1618,26.4661
1620,30.0699
1622,31.0053
