MDTU,|det-1|^2,1-Re(det),Im(det)
592,1,1,-1.15847e-09
594,1,1,6.91438e-08
596,1,1,1.30727e-07
598,1,1,1.64014e-07
600,1,1,2.97754e-08
602,0.999998,0.999999,-4.08979e-07
604,1,1,4.98495e-07
606,1,1,-3.41472e-07
608,0.999999,1,-3.43069e-07
610,0.999999,1,-2.43948e-07
612,1,1,-3.71426e-07
614,1,1,-2.35502e-07
616,1,1,-1.23424e-08
618,1,1,7.10977e-08
620,1,1,1.72575e-07
622,1,1,1.89593e-09
624,1,1,3.45934e-08
626,1,1,1.5783e-07
628,1,1,-9.35054e-08
630,1,1,3.05596e-07
632,1,1,2.01589e-07
634,1,1,1.60075e-07
636,0.999999,1,-2.99702e-07
638,1,1,-2.61071e-07
640,1,1,2.23762e-07
642,1,1,-3.18987e-08
644,1,1,-1.04884e-08
646,1,1,4.16151e-08
648,1,1,-2.28636e-08
650,1,1,1.31448e-07
652,1,1,-1.7397e-07
654,1,1,-3.28849e-07
656,1,1,2.04316e-07
658,1,1,8.9372e-08
660,1,1,-3.39386e-08
662,1,1,-3.10847e-09
664,1,1,-4.12679e-07
666,1,1,-1.82873e-07
668,1,1,2.77035e-07
670,1,1,-1.6758e-07
672,1,1,1.94073e-07
674,1,1,-1.00475e-08
676,0.999999,1,5.38614e-08
678,1,1,8.54585e-08
680,1,1,-1.98386e-07
682,1,1,-1.98386e-07
684,1,1,-1.98386e-07
686,1,1,1.5747e-08
688,1,1,-7.15338e-08
690,1,1,-4.4419e-08
692,1,1,4.35084e-08
694,1,1,1.05842e-07
696,1,1,1.30665e-08
698,1,1,2.25261e-07
700,1,1,-3.12128e-08
702,1,1,1.35537e-07
704,1,1,1.71242e-08
706,1,1,1.80481e-07
708,1,1,9.75847e-08
710,1,1,3.68514e-09
712,1,1,-2.57599e-07
714,1,1,2.16827e-07
716,1,1,1.44519e-07
718,1,1,1.85023e-07
720,1,1,2.9323e-07
722,1,1,1.99207e-07
724,1,1,4.68332e-07
726,1,1,1.18813e-07
728,1,1,-2.22209e-07
730,1,1,-1.25584e-07
732,1,1,-8.10529e-08
734,1,1,-8.10529e-08
736,1,1,-6.07473e-08
738,1,1,1.14554e-07
740,0.999999,1,-4.4968e-07
742,1,1,4.40754e-08
744,1,1,4.40754e-08
746,1,1,9.96802e-08
748,1,1,7.51357e-08
750,1,1,-2.99237e-08
752,1,1,-1.38645e-08
754,1,1,1.45655e-08
756,1,1,-8.2506e-09
758,1,1,-8.2506e-09
760,1,1,-4.10062e-08
762,1,1,-1.94802e-07
764,1,1,9.70807e-08
766,1,1,-1.42364e-08
768,1,1,2.27158e-09
770,1,1,-1.81501e-08
772,0.999999,1,4.77649e-07
774,1,1,-2.99664e-07
776,1,1,2.86175e-08
778,1,1,2.86175e-08
780,1,1,-2.18017e-08
782,1,1,2.43256e-10
784,1,1,-8.42545e-08
786,1,1,-8.42545e-08
788,1,1,-8.42545e-08
790,1,1,-8.42545e-08
792,1,1,-8.42545e-08
794,1,1,-8.42545e-08
796,1,1,-7.28528e-09
798,1,1,-5.85708e-08
800,1,1,-5.85708e-08
802,1,1,-5.0222e-08
804,1,1,-2.80723e-07
806,1,1,-1.56659e-08
808,0.999999,1,1.05066e-06
810,1,1,8.5277e-08
812,1,1,2.81776e-08
814,1,1,-4.83265e-07
816,0.999999,1,-6.48002e-08
818,1,1,-8.88636e-09
820,1,1,-3.27446e-08
822,1,1,-5.29613e-08
824,1,1,-5.29613e-08
826,1,1,-1.90336e-07
828,1,1,-1.29432e-07
830,1,1,-1.18963e-07
832,1,1,-2.69402e-08
834,1,1,-2.37819e-08
836,1,1,6.32041e-08
838,1,1,-2.56272e-08
840,1,1,2.66788e-07
842,1,1,-3.29666e-08
844,1,1,-9.69406e-08
846,1,1,-5.02265e-07
848,1,1,-1.28639e-07
850,1,1,-3.51322e-07
852,1,1,-3.7538e-08
854,1,1,2.34218e-07
856,1,1,-2.79843e-07
858,1,1,1.91011e-07
860,1,1,1.21458e-07
862,1,1,-2.37729e-07
