t,e^(-dS)
683,0.833101
684,0.88763
685,1.42248
686,1.05034
687,0.735136
688,0.658626
689,1.28505
690,0.793422
691,0.80493
692,1.02518
693,1.39682
694,0.682768
695,0.7455
696,0.95795
697,1.06437
698,0.870837
699,1.16614
700,0.721589
701,1.35527
702,0.752767
703,0.702156
704,1.06036
705,1.23011
706,0.672805
707,1.00209
708,0.683998
709,1.03557
710,0.713267
711,0.815952
712,1.58915
713,0.949775
714,1.1872
715,0.546238
716,0.861914
717,0.799955
718,0.950545
719,1.19125
720,1.32817
721,0.586607
722,0.533711
723,1.22728
724,1.27138
725,0.628764
726,0.875728
727,0.821437
728,1.06131
729,0.791837
730,0.873803
731,1.70199
732,1.01751
733,0.76575
734,0.748338
735,0.883468
736,1.06674
737,1.18365
738,0.979924
739,0.981327
740,0.751263
741,1.16056
742,1.15269
743,0.613117
744,1.47624
745,0.597142
746,0.62494
747,0.921723
748,1.14752
749,0.857615
750,1.18093
751,0.94765
752,1.02885
753,0.940325
754,1.63902
755,0.738747
756,0.789307
757,1.45922
758,0.762616
759,0.874765
760,0.736534
761,1.24907
762,1.09554
763,0.920508
764,1.22519
765,0.781531
766,0.988101
767,1.23825
768,1.48023
769,0.725206
770,0.577123
771,1.14191
772,0.801957
773,1.01407
774,1.21543
775,0.827869
776,0.950573
777,1.47536
778,1.6822
779,0.502078
780,1.14362
781,0.882409
782,0.873541
783,1.0295
784,1.14396
785,0.640568
786,0.640952
787,1.12356
788,1.18613
789,0.934952
790,1.01977
791,1.2743
792,0.639096
793,1.1378
794,0.587723
795,1.41666
796,0.594342
797,1.5952
798,1.32817
799,0.762464
800,1.20949
801,0.768434
802,1.04966
803,0.581933
804,0.941303
805,1.1146
806,1.35459
807,1.04945
808,1.21385
809,0.579784
810,0.763303
811,0.714123
812,1.7025
813,0.538375
814,0.989822
815,1.06518
816,1.20587
817,1.55675
818,1.15639
819,0.823987
820,1.42219
821,0.647977
822,0.880029
823,0.978455
824,1.12727
825,1.79805
826,0.65292
827,1.72271
828,0.529035
829,0.722672
830,0.675029
831,1.73066
832,1.08413
833,1.01346
834,0.63521
835,1.09092
836,0.884352
837,1.11617
838,0.95121
839,1.22937
840,0.648885
841,1.14419
842,1.11115
843,0.73125
844,1.01676
845,0.882938
846,0.807914
847,0.836022
848,1.63902
849,0.609693
850,1.3375
851,1.26428
852,1.14156
853,1.00268
854,0.543568
855,0.653116
856,0.983773
857,1.44701
