t,G,F1,F2,F3
364,0.4896,0,null,null
365,0.5069,0,null,null
366,0.5081,0,null,null
367,0.5168,0,null,null
368,0.4929,0,null,null
369,0.498,0,null,null
370,0.5042,0,null,null
371,0.5744,0,null,null
372,0.5433,0,null,null
373,0.5738,0,null,null
374,0.5683,0,null,null
375,0.5836,0,null,null
376,0.5377,0,null,null
377,0.5276,0,null,null
378,0.5469,0,null,null
379,0.5586,0,null,null
380,0.5438,0,null,null
381,0.5089,0,null,null
382,0.5072,0,null,null
383,0.5593,0,null,null
384,0.5408,0,null,null
385,0.5252,0,null,null
386,0.5728,0,null,null
387,0.5004,0,null,null
388,0.5803,0,null,null
389,0.6325,0,null,null
390,0.5874,0,null,null
391,0.5893,0,null,null
392,0.5433,0,null,null
393,0.5568,0,null,null
394,0.5569,0,null,null
395,0.6037,0,null,null
396,0.5859,0,null,null
397,0.5756,0,null,null
398,0.5918,0,null,null
399,0.5877,0,null,null
400,0.5799,0,null,null
401,0.557,0,null,null
402,0.5833,0,null,null
403,0.5463,0,null,null
404,0.5457,0,null,null
405,0.5322,0,null,null
406,0.5485,0,null,null
407,0.5456,0,null,null
408,0.5558,0,null,null
409,0.5581,0,null,null
410,0.5681,0,null,null
411,0.5768,0,null,null
412,0.5803,0,null,null
413,0.617,0,null,null
414,0.568,0,null,null
415,0.5693,0,null,null
416,0.5666,0,null,null
417,0.521,0,null,null
418,0.5381,0,null,null
419,0.5642,0,null,null
420,0.5398,0,null,null
421,0.5581,0,null,null
422,0.5624,0,null,null
423,0.5441,0,null,null
424,0.5364,0,null,null
425,0.5654,0,null,null
426,0.5092,0,null,null
427,0.5177,0,null,null
428,0.5289,0,null,null
429,0.5615,0,null,null
430,0.565,0,null,null
431,0.5706,0,null,null
432,0.5285,0,null,null
433,0.5443,0,null,null
434,0.5622,0,null,null
435,0.6148,0,null,null
436,0.5954,0,null,null
437,0.5901,0,null,null
438,0.5613,0,null,null
439,0.5855,0,null,null
440,0.6002,0,null,null
441,0.5264,0,null,null
442,0.5281,0,null,null
443,0.5558,0,null,null
444,0.5266,0,null,null
445,0.5519,0,null,null
446,0.5392,0,null,null
447,0.548,0,null,null
448,0.5299,0,null,null
449,0.5543,0,null,null
450,0.5192,0,null,null
451,0.5133,0,null,null
452,0.5913,0,null,null
453,0.5347,0,null,null
454,0.5751,0,null,null
455,0.5492,0,null,null
456,0.5583,0,null,null
457,0.5482,0,null,null
458,0.5733,0,null,null
459,0.5719,0,null,null
460,0.5547,0,null,null
461,0.5289,0,null,null
462,0.5037,0,null,null
463,0.5282,0,null,null
464,0.5347,0,null,null
465,0.4973,0,null,null
466,0.5117,0,null,null
467,0.5372,0,null,null
468,0.5523,0,null,null
469,0.5318,0,null,null
470,0.5266,0,null,null
471,0.5401,0,null,null
472,0.5592,0,null,null
473,0.5409,0,null,null
474,0.5338,0,null,null
475,0.5465,0,null,null
476,0.5393,0,null,null
477,0.5686,0,null,null
478,0.5952,0,null,null
479,0.5338,0,null,null
480,0.5457,0,null,null
481,0.546,0,null,null
482,0.5586,0,null,null
483,0.5362,0,null,null
484,0.5371,0,null,null
485,0.5334,0,null,null
486,0.538,0,null,null
487,0.5704,0,null,null
488,0.5268,0,null,null
489,0.5682,0,null,null
490,0.565,0,null,null
491,0.5445,0,null,null
492,0.5172,0,null,null
493,0.5531,0,null,null
494,0.5334,0,null,null
495,0.5669,0,null,null
496,0.5265,0,null,null
497,0.5987,0,null,null
498,0.5392,0,null,null
499,0.5344,0,null,null
500,0.5594,0,null,null
501,0.5488,0,null,null
502,0.5136,0,null,null
503,0.5235,0,null,null
504,0.5163,0,null,null
505,0.4948,0,null,null
506,0.4929,0,null,null
507,0.5806,0,null,null
508,0.5479,0,null,null
509,0.5679,0,null,null
510,0.546,0,null,null
511,0.5105,0,null,null
512,0.5397,0,null,null
513,0.558,0,null,null
514,0.5461,0,null,null
515,0.568,0,null,null
516,0.5593,0,null,null
517,0.5355,0,null,null
518,0.5298,0,null,null
519,0.5094,0,null,null
520,0.5311,0,null,null
521,0.5446,0,null,null
522,0.5272,0,null,null
523,0.5631,0,null,null
524,0.5723,0,null,null
525,0.6138,0,null,null
526,0.5564,0,null,null
527,0.5543,0,null,null
528,0.6091,0,null,null
529,0.5863,0,null,null
530,0.6088,0,null,null
531,0.5746,0,null,null
532,0.5801,0,null,null
533,0.5743,0,null,null
534,0.5797,0,null,null
535,0.587,0,null,null
536,0.5729,0,null,null
537,0.5742,0,null,null
538,0.5803,0,null,null
539,0.619,0,null,null
540,0.5484,0,null,null
541,0.5337,0,null,null
542,0.5198,0,null,null
543,0.5554,0,null,null
544,0.5256,0,null,null
545,0.5049,0,null,null
546,0.5627,0,null,null
547,0.5362,0,null,null
548,0.5268,0,null,null
549,0.5503,0,null,null
550,0.5724,0,null,null
551,0.6139,0,null,null
552,0.5298,0,null,null
553,0.547,0,null,null
554,0.5447,0,null,null
555,0.5326,0,null,null
556,0.5403,0,null,null
557,0.5461,0,null,null
558,0.5128,0,null,null
559,0.585,0,null,null
560,0.5561,0,null,null
561,0.5276,0,null,null
562,0.5216,0,null,null
563,0.5408,0,null,null
564,0.5375,0,null,null
565,0.5243,0,null,null
566,0.5452,0,null,null
567,0.5737,0,null,null
568,0.5185,0,null,null
569,0.5762,0,null,null
570,0.5494,0,null,null
571,0.5792,0,null,null
572,0.5419,0,null,null
573,0.5585,0,null,null
574,0.5743,0,null,null
575,0.5596,0,null,null
576,0.556,0,null,null
577,0.5342,0,null,null
578,0.5394,0,null,null
579,0.5446,0,null,null
580,0.4959,0,null,null
581,0.5297,0,null,null
582,0.5558,0,null,null
583,0.5537,0,null,null
584,0.5311,0,null,null
585,0.5633,0,null,null
586,0.5411,0,null,null
587,0.5446,0,null,null
588,0.5504,0,null,null
589,0.5292,0,null,null
590,0.5173,0,null,null
591,0.5258,0,null,null
592,0.4895,0,null,null
593,0.553,0,null,null
594,0.5704,0,null,null
595,0.5277,0,null,null
596,0.5263,0,null,null
597,0.5467,0,null,null
598,0.5084,0,null,null
599,0.542,0,null,null
600,0.5478,0,null,null
601,0.5429,0,null,null
602,0.558,0,null,null
603,0.5542,0,null,null
604,0.5288,0,null,null
605,0.5629,0,null,null
606,0.5458,0,null,null
607,0.5696,0,null,null
608,0.5327,0,null,null
609,0.5424,0,null,null
610,0.5332,0,null,null
611,0.5046,0,null,null
612,0.4984,0,null,null
613,0.4924,0,null,null
614,0.4903,0,null,null
615,0.5559,0,null,null
616,0.5908,0,null,null
617,0.5672,0,null,null
618,0.5869,0,null,null
619,0.5686,0,null,null
620,0.5673,0,null,null
621,0.5655,0,null,null
622,0.5503,0,null,null
623,0.5222,0,null,null
624,0.5428,0,null,null
625,0.5891,0,null,null
626,0.5396,0,null,null
627,0.5286,0,null,null
628,0.5397,0,null,null
629,0.5323,0,null,null
630,0.5357,0,null,null
631,0.5033,0,null,null
632,0.5237,0,null,null
633,0.5566,0,null,null
634,0.5814,0,null,null
635,0.5486,0,null,null
636,0.5416,0,null,null
637,0.5289,0,null,null
638,0.5076,0,null,null
639,0.5343,0,null,null
640,0.5102,0,null,null
641,0.5339,0,null,null
642,0.5666,0,null,null
643,0.5515,0,null,null
644,0.5463,0,null,null
645,0.5368,0,null,null
646,0.5519,0,null,null
647,0.5442,0,null,null
648,0.5568,0,null,null
649,0.5622,0,null,null
650,0.5066,0,null,null
651,0.5356,0,null,null
652,0.5445,0,null,null
653,0.5399,0,null,null
654,0.5487,0,null,null
655,0.5431,0,null,null
656,0.5541,0,null,null
657,0.5546,0,null,null
658,0.5317,0,null,null
659,0.5336,0,null,null
660,0.5267,0,null,null
661,0.523,0,null,null
662,0.5364,0,null,null
663,0.5512,0,null,null
664,0.5691,0,null,null
665,0.5538,0,null,null
666,0.5875,0,null,null
667,0.5566,0,null,null
668,0.539,0,null,null
669,0.5771,0,null,null
670,0.5326,0,null,null
671,0.5575,0,null,null
672,0.5534,0,null,null
673,0.5696,0,null,null
674,0.5511,0,null,null
675,0.5493,0,null,null
676,0.5842,0,null,null
677,0.5593,0,null,null
678,0.5436,0,null,null
679,0.551,0,null,null
680,0.5566,0,null,null
681,0.574,0,null,null
682,0.5479,0,null,null
683,0.545,0,null,null
684,0.5336,0,null,null
685,0.5392,0,null,null
686,0.5282,0,null,null
687,0.5168,0,null,null
688,0.5609,0,null,null
689,0.5804,0,null,null
690,0.5569,0,null,null
691,0.5012,0,null,null
692,0.5275,0,null,null
693,0.5412,0,null,null
694,0.5688,0,null,null
695,0.5734,0,null,null
696,0.6023,0,null,null
697,0.5629,0,null,null
698,0.5446,0,null,null
699,0.5659,0,null,null
700,0.5336,0,null,null
701,0.5397,0,null,null
702,0.5394,0,null,null
703,0.5979,0,null,null
704,0.5729,0,null,null
705,0.548,0,null,null
706,0.5512,0,null,null
707,0.5783,0,null,null
708,0.546,0,null,null
709,0.5481,0,null,null
710,0.5098,0,null,null
711,0.5175,0,null,null
712,0.5263,0,null,null
713,0.559,0,null,null
714,0.5721,0,null,null
715,0.5514,0,null,null
716,0.55,0,null,null
717,0.5398,0,null,null
718,0.5557,0,null,null
719,0.6001,0,null,null
720,0.5739,0,null,null
721,0.5767,0,null,null
722,0.5327,0,null,null
723,0.5158,0,null,null
724,0.5258,0,null,null
725,0.518,0,null,null
726,0.5344,0,null,null
727,0.5449,0,null,null
728,0.5425,0,null,null
729,0.5167,0,null,null
730,0.5097,0,null,null
731,0.5556,0,null,null
732,0.5852,0,null,null
733,0.5644,0,null,null
734,0.5277,0,null,null
735,0.5026,0,null,null
736,0.5159,0,null,null
737,0.534,0,null,null
738,0.535,0,null,null
739,0.5221,0,null,null
740,0.5202,0,null,null
741,0.5458,0,null,null
742,0.5422,0,null,null
743,0.5911,0,null,null
744,0.5809,0,null,null
745,0.5549,0,null,null
746,0.5307,0,null,null
747,0.5475,0,null,null
748,0.5434,0,null,null
749,0.5193,0,null,null
750,0.5194,0,null,null
751,0.516,0,null,null
752,0.5329,0,null,null
753,0.5446,0,null,null
754,0.5453,0,null,null
755,0.5357,0,null,null
756,0.5459,0,null,null
757,0.5741,0,null,null
758,0.5582,0,null,null
759,0.5641,0,null,null
760,0.5233,0,null,null
761,0.515,0,null,null
762,0.5625,0,null,null
763,0.5474,0,null,null
764,0.5421,0,null,null
765,0.587,0,null,null
766,0.5355,0,null,null
767,0.5674,0,null,null
768,0.5913,0,null,null
769,0.546,0,null,null
770,0.535,0,null,null
771,0.5217,0,null,null
772,0.5309,0,null,null
773,0.5277,0,null,null
774,0.519,0,null,null
775,0.5573,0,null,null
776,0.5324,0,null,null
777,0.5478,0,null,null
778,0.5781,0,null,null
779,0.5267,0,null,null
780,0.5711,0,null,null
781,0.537,0,null,null
782,0.5401,0,null,null
783,0.4997,0,null,null
784,0.5413,0,null,null
785,0.569,0,null,null
786,0.5156,0,null,null
787,0.5299,0,null,null
788,0.5299,0,null,null
789,0.5082,0,null,null
790,0.5245,0,null,null
791,0.5217,0,null,null
792,0.5427,0,null,null
793,0.5473,0,null,null
794,0.537,0,null,null
795,0.5415,0,null,null
796,0.561,0,null,null
797,0.544,0,null,null
798,0.5696,0,null,null
799,0.5794,0,null,null
800,0.5515,0,null,null
801,0.554,0,null,null
802,0.5357,0,null,null
803,0.5282,0,null,null
804,0.5149,0,null,null
805,0.5214,0,null,null
806,0.5759,0,null,null
807,0.5661,0,null,null
808,0.5651,0,null,null
809,0.552,0,null,null
810,0.5524,0,null,null
811,0.512,0,null,null
812,0.5705,0,null,null
813,0.5735,0,null,null
814,0.5125,0,null,null
815,0.5212,0,null,null
816,0.5186,0,null,null
817,0.5351,0,null,null
818,0.5456,0,null,null
819,0.5382,0,null,null
820,0.5562,0,null,null
821,0.5829,0,null,null
822,0.5238,0,null,null
823,0.5282,0,null,null
824,0.5298,0,null,null
825,0.5461,0,null,null
826,0.5701,0,null,null
827,0.5495,0,null,null
828,0.5238,0,null,null
829,0.5291,0,null,null
830,0.5058,0,null,null
831,0.5346,0,null,null
832,0.5863,0,null,null
833,0.5805,0,null,null
834,0.5273,0,null,null
835,0.5264,0,null,null
836,0.5241,0,null,null
837,0.5242,0,null,null
838,0.5335,0,null,null
839,0.5435,0,null,null
840,0.5534,0,null,null
841,0.5612,0,null,null
842,0.5531,0,null,null
843,0.5289,0,null,null
844,0.5365,0,null,null
845,0.5295,0,null,null
846,0.5191,0,null,null
847,0.4963,0,null,null
848,0.5209,0,null,null
849,0.5043,0,null,null
850,0.5262,0,null,null
851,0.5559,0,null,null
852,0.601,0,null,null
853,0.578,0,null,null
854,0.5383,0,null,null
855,0.5267,0,null,null
856,0.5347,0,null,null
857,0.5324,0,null,null
858,0.5648,0,null,null
859,0.5392,0,null,null
860,0.546,0,null,null
861,0.5347,0,null,null
862,0.5477,0,null,null
863,0.5568,0,null,null
864,0.5623,0,null,null
865,0.5497,0,null,null
866,0.5242,0,null,null
867,0.5307,0,null,null
868,0.5502,0,null,null
869,0.5429,0,null,null
870,0.5186,0,null,null
871,0.5572,0,null,null
872,0.5454,0,null,null
