MDTU,plaq,Re(det),Im(det),link
510,0.147656,1.31105e-11,1.92617e-11,0.539216
512,0.147656,1.31105e-11,1.92617e-11,0.539216
514,0.154821,1.48296e-11,1.31499e-11,0.520916
516,0.139615,1.31061e-11,6.6185e-12,0.527355
518,0.139615,1.31061e-11,6.6185e-12,0.527355
520,0.182018,2.00827e-11,1.31748e-11,0.519195
522,0.152671,2.42434e-11,1.65778e-11,0.538885
524,0.155726,1.36555e-11,6.81394e-12,0.55254
526,0.155726,1.36555e-11,6.81394e-12,0.55254
528,0.144972,2.55117e-11,1.95583e-11,0.550385
530,0.15835,1.06001e-11,1.32378e-11,0.524708
532,0.160172,6.88605e-12,6.74523e-12,0.520299
534,0.158003,1.69417e-11,1.31745e-11,0.52357
536,0.157384,7.43529e-12,5.94382e-12,0.525021
538,0.147088,1.78053e-11,1.27953e-11,0.535841
540,0.145962,1.54076e-11,1.32036e-11,0.540014
542,0.136454,1.13063e-11,2.04859e-11,0.518214
544,0.141801,9.53285e-12,2.67988e-12,0.514942
546,0.141801,9.53285e-12,2.67988e-12,0.514942
548,0.159435,9.909e-12,1.00196e-11,0.522321
550,0.188373,8.35378e-12,1.79972e-11,0.54017
552,0.171867,6.05356e-12,1.3557e-11,0.544796
554,0.152772,7.54697e-12,6.26432e-12,0.547926
556,0.160731,1.22812e-11,9.45277e-12,0.547536
558,0.15735,4.4053e-11,5.43945e-11,0.530715
560,0.124201,1.86357e-11,8.66003e-12,0.547896
562,0.157584,7.42037e-11,2.48735e-11,0.5918
564,0.128208,1.34762e-11,1.84799e-11,0.588556
566,0.128208,1.34762e-11,1.84799e-11,0.588556
568,0.190838,1.94931e-11,1.04038e-11,0.573237
570,0.166494,1.50705e-11,3.7756e-12,0.554588
572,0.147489,1.32836e-11,1.01318e-11,0.574596
574,0.136168,3.19073e-11,2.01794e-11,0.582542
576,0.145213,2.10561e-11,3.43537e-11,0.580595
578,0.144906,2.27536e-11,1.26184e-11,0.570488
580,0.173187,1.1969e-11,1.61929e-11,0.572627
582,0.173323,1.06564e-11,9.38766e-12,0.582775
584,0.173323,1.06564e-11,9.38766e-12,0.582775
586,0.173323,1.06564e-11,9.38766e-12,0.582775
588,0.139372,1.9737e-11,1.69518e-11,0.59169
590,0.166172,1.64023e-11,1.39873e-11,0.582634
592,0.192245,5.05648e-11,3.15983e-11,0.594929
594,0.153634,3.71999e-11,3.63396e-11,0.582855
596,0.166831,8.44175e-12,1.04164e-11,0.55596
598,0.159269,1.43088e-11,7.26066e-12,0.563651
600,0.194626,1.52877e-11,1.13732e-11,0.571239
602,0.16306,1.03757e-11,2.70721e-11,0.572903
604,0.16306,1.03757e-11,2.70721e-11,0.572903
606,0.1792,1.33597e-11,1.70174e-11,0.561119
608,0.157181,1.0318e-11,1.13366e-11,0.537891
610,0.159526,2.54987e-11,2.78384e-11,0.562157
612,0.164269,6.28056e-12,5.98821e-12,0.57847
614,0.159008,1.16198e-11,1.14082e-11,0.578529
616,0.164942,2.26209e-11,3.19216e-11,0.573811
618,0.146413,3.51444e-11,3.75793e-11,0.575597
620,0.160504,2.07994e-11,1.23615e-11,0.573899
622,0.180827,2.30892e-11,3.13017e-11,0.633705
624,0.153132,2.8043e-11,2.42597e-11,0.658541
626,0.172742,1.12939e-11,4.08576e-12,0.662396
628,0.201696,4.80777e-12,4.20838e-12,0.662489
630,0.155254,6.0472e-11,1.89085e-11,0.718628
632,0.155254,6.0472e-11,1.89085e-11,0.718628
634,0.17251,1.26696e-11,1.94085e-11,0.699547
636,0.158539,1.84466e-11,2.11555e-11,0.673502
638,0.165554,1.32797e-11,1.23793e-11,0.651774
640,0.185266,1.21771e-11,2.14157e-11,0.617387
642,0.185266,1.21771e-11,2.14157e-11,0.617387
644,0.11829,4.72689e-12,2.64571e-12,0.595551
646,0.15761,2.17348e-11,2.22602e-11,0.580502
648,0.159986,1.19666e-11,1.0357e-11,0.568586
650,0.159986,1.19666e-11,1.0357e-11,0.568586
652,0.170285,1.01706e-11,1.63791e-11,0.57142
654,0.173805,1.55215e-10,9.77567e-11,0.564723
656,0.156172,8.37224e-12,4.88336e-12,0.57836
658,0.131081,4.83877e-12,5.54507e-12,0.629458
660,0.189209,1.34024e-11,1.40336e-11,0.629392
662,0.170501,5.15158e-11,5.25462e-11,0.606004
664,0.133447,6.8101e-11,4.45908e-11,0.650203
666,0.159331,6.65675e-12,3.37408e-12,0.671548
668,0.154684,1.06425e-11,1.35069e-11,0.620092
670,0.154684,1.06425e-11,1.35069e-11,0.620092
672,0.182432,1.2534e-11,1.29561e-11,0.617324
674,0.145898,3.90521e-11,1.08901e-11,0.61155
676,0.16545,1.21174e-11,5.78177e-12,0.569011
678,0.15495,7.26892e-12,4.75692e-12,0.569491
680,0.191251,1.09323e-11,1.64138e-11,0.548764
682,0.152828,2.50523e-11,1.55321e-11,0.544521
684,0.152828,2.50523e-11,1.55321e-11,0.544521
686,0.152828,2.50523e-11,1.55321e-11,0.544521
688,0.176264,2.38811e-11,2.91748e-11,0.538183
690,0.181283,1.16235e-11,1.9291e-11,0.569299
692,0.195912,2.77126e-11,3.74889e-11,0.641599
694,0.195912,2.77126e-11,3.74889e-11,0.641599
696,0.170366,1.54813e-11,1.11481e-11,0.633941
698,0.170366,1.54813e-11,1.11481e-11,0.633941
700,0.153114,8.59666e-12,1.28719e-11,0.624066
702,0.153114,8.59666e-12,1.28719e-11,0.624066
704,0.156762,1.72458e-11,8.36251e-12,0.622701
706,0.155296,6.58641e-12,7.42538e-12,0.592322
708,0.158939,6.48752e-12,5.56527e-12,0.594343
710,0.148688,2.65547e-11,1.86535e-11,0.657444
712,0.167885,6.78741e-12,1.09715e-11,0.592044
714,0.167885,6.78741e-12,1.09715e-11,0.592044
716,0.15992,1.2549e-11,1.4469e-11,0.630806
718,0.154762,8.0437e-12,1.33184e-11,0.627151
720,0.154082,5.72528e-12,8.82187e-12,0.673338
722,0.174854,7.53697e-12,6.6998e-12,0.636079
724,0.174854,7.53697e-12,6.6998e-12,0.636079
726,0.155117,2.86173e-11,1.49236e-11,0.628525
728,0.160658,9.40448e-12,1.11047e-11,0.616376
730,0.16682,1.88489e-11,3.04714e-11,0.678068
