t,e^(-dS)
643,0.860192
644,1.54837
645,1.15685
646,0.868316
647,0.878183
648,1.20262
649,0.599715
650,1.70012
651,0.496635
652,1.42932
653,0.621388
654,0.933709
655,0.362765
656,0.560515
657,0.581875
658,0.776856
659,1.27992
660,0.636418
661,1.14878
662,1.02627
663,0.804849
664,0.618969
665,0.937255
666,2.23535
667,0.239548
668,0.26955
669,0.745426
670,1.49795
671,1.46653
672,0.961164
673,0.861741
674,1.06525
675,1.96915
676,0.604653
677,0.648301
678,1.46551
679,0.861569
680,1.05192
681,1.47639
682,0.975573
683,1.25609
684,1.34757
685,0.239548
686,1.29188
687,0.74067
688,0.62494
689,0.886034
690,1.88778
691,0.481572
692,0.496039
693,0.435657
694,0.496436
695,0.745948
696,0.476208
697,1.39752
698,0.604049
699,0.672805
700,1.67615
701,1.23986
702,1.30931
703,0.693295
704,0.703491
705,1.56252
706,1.31324
707,1.7037
708,0.365679
709,0.948655
710,1.25307
711,1.48483
712,0.852655
713,1.63624
714,0.499674
715,1.33189
716,0.550681
717,0.764678
718,1.44976
719,0.426945
720,1.04842
721,0.7333
722,1.09619
723,0.299392
724,0.925316
725,1.54435
726,2.3893
727,0.700333
728,0.954985
729,0.752842
730,1.24185
731,2.19219
732,0.721877
733,1.10628
734,0.683315
735,0.932422
736,1.71721
737,0.453346
738,0.707159
739,0.778022
740,0.891188
741,0.861655
742,0.717918
743,0.415696
744,0.793343
745,2.32635
746,0.355226
747,0.533285
748,0.762312
749,0.6812
750,1.43347
751,1.36152
752,0.707442
753,1.46243
754,1.07877
755,1.61446
756,1.23023
757,0.920011
758,0.834268
759,0.623691
760,1.74142
761,0.883292
762,1.12547
763,1.06204
764,0.762159
765,1.54728
766,1.59903
767,0.863035
768,1.38916
769,0.765673
770,0.378212
771,1.34959
772,0.995379
773,0.838031
774,0.712625
775,4.81627
776,0.359515
777,0.404178
778,1.25684
779,1.10849
780,0.599596
781,1.52913
782,1.17727
783,1.47639
