MDTU,link
1648,0.851517
1650,0.850044
1652,0.850044
1654,0.827004
1656,0.875991
1658,0.864849
1660,0.65277
1662,0.714194
1664,0.836958
1666,0.836958
1668,0.852279
1670,0.822123
1672,0.871399
1674,0.873998
1676,0.833579
1678,0.763165
1680,0.799406
1682,0.799406
1684,0.748453
1686,0.78186
1688,0.78186
1690,0.71178
1692,0.749112
1694,0.949458
1696,0.834928
1698,0.759099
1700,0.682097
1702,0.71592
1704,0.718665
1706,0.710736
1708,0.754376
1710,0.752634
1712,0.752634
1714,0.705092
1716,0.750688
1718,0.72888
1720,0.737223
1722,0.689723
1724,0.657518
1726,0.667838
1728,0.650843
1730,0.767412
1732,0.781539
1734,0.754495
1736,0.737642
1738,0.762327
1740,0.88622
1742,0.785596
1744,0.858843
1746,0.892545
1748,0.850986
1750,0.837098
1752,0.837066
1754,0.742279
1756,0.66689
1758,0.621397
1760,0.621397
1762,0.6631
1764,0.70924
1766,0.790486
1768,0.852527
1770,0.852527
1772,0.712559
1774,0.635008
1776,0.635008
1778,0.624933
1780,0.764232
1782,0.745663
1784,0.664569
1786,0.664425
1788,0.578514
1790,0.575959
1792,0.619308
1794,0.600521
1796,0.625868
1798,0.673409
1800,0.632219
1802,0.632219
1804,0.591585
1806,0.656094
1808,0.679679
1810,0.614083
1812,0.624322
1814,0.617177
1816,0.624911
1818,0.663433
1820,0.684937
1822,0.671832
1824,0.671832
1826,0.668096
1828,0.682895
1830,0.670659
1832,0.647981
1834,0.647981
1836,0.647981
1838,0.658992
1840,0.756673
1842,0.805177
1844,0.793969
1846,0.793969
1848,0.858175
1850,0.839073
1852,0.921265
1854,0.879186
1856,0.792101
1858,0.792101
1860,0.752754
1862,0.772504
1864,0.768993
1866,0.672965
1868,0.672965
1870,0.616332
1872,0.616332
1874,0.616332
1876,0.616332
1878,0.546107
1880,0.536316
1882,0.524277
1884,0.546652
1886,0.558398
1888,0.536336
1890,0.550306
1892,0.574583
1894,0.636547
1896,0.573867
1898,0.600662
1900,0.66699
1902,0.696965
1904,0.654703
1906,0.629022
1908,0.657551
1910,0.589175
1912,0.581797
1914,0.63943
1916,0.675296
1918,0.675296
1920,0.657486
1922,0.730279
1924,0.808442
1926,0.696682
1928,0.727585
1930,0.713616
1932,0.774901
1934,0.697632
1936,0.656991
1938,0.66014
1940,0.685162
1942,0.723769
1944,0.718094
1946,0.718094
1948,0.643882
1950,0.618407
1952,0.618407
1954,0.568453
1956,0.640197
1958,0.640197
1960,0.640197
1962,0.640197
1964,0.646538
1966,0.679744
1968,0.679744
1970,0.637802
1972,0.646534
1974,0.598522
1976,0.63066
1978,0.63066
1980,0.665812
1982,0.650548
1984,0.676297
1986,0.676297
1988,0.676297
1990,0.626047
1992,0.598275
1994,0.612444
1996,0.612444
1998,0.578956
2000,0.568645
