t,deltaS
745,-0.8443
746,1.035
747,0.6287
748,0.2714
749,0.3839
750,-0.3601
751,-0.3086
752,0.3461
753,-0.3801
754,-0.07582
755,-0.479
756,-0.2072
757,0.08337
758,0.1812
759,0.4721
760,-0.5547
761,0.1241
762,-0.1182
763,-0.06019
764,0.2716
765,-0.4365
766,-0.4694
767,0.1473
768,-0.3287
769,0.267
770,0.9723
771,-0.2998
772,0.004632
773,0.1767
774,0.3388
775,-1.572
776,1.023
777,0.9059
778,-0.2286
779,-0.103
780,0.5115
781,-0.4247
782,-0.1632
783,-0.3896
784,0.4
785,-0.8223
786,0.7089
787,0.001842
788,1.353
789,0.6078
790,0.4054
791,0.7579
792,-0.6063
793,0.655
794,0.322
795,0.5551
796,-0.1638
797,-0.1577
798,-0.2656
799,0.07743
800,0.2811
801,0.2677
802,-0.4141
803,-0.05766
804,0.7517
805,0.4565
806,-0.1741
807,-0.09886
808,0.585
809,-0.111
810,-0.4825
811,-0.5536
812,0.4599
813,0.229
814,0.6249
815,-0.09321
816,0.6074
817,-0.5582
818,0.37
819,-0.06929
820,0.5454
821,0.6085
822,-0.3325
823,0.04056
824,-0.07846
825,0.3105
826,0.911
827,0.5273
828,-0.1092
829,0.5469
830,0.2642
831,0.3206
832,0.3448
833,0.507
834,0.2456
835,0.08428
836,0.03249
837,-0.7607
838,-0.02673
839,-0.1507
840,-0.1331
841,0.4
842,-0.3988
843,-0.5518
844,0.7818
845,0.7423
846,0.8387
847,0.02486
848,-0.6787
849,-0.421
850,0.01693
851,0.1652
852,0.1864
853,0.5148
854,0.2145
855,-0.3666
856,0.8555
857,0.9022
858,0.3057
859,-0.296
860,0.5335
861,-0.4731
862,0.007272
863,0.02927
864,0.04351
865,0.09914
866,-0.02342
867,-0.1651
868,0.5178
869,0.2253
870,-0.1564
871,0.2235
872,-0.1759
873,0.3336
874,-0.3518
875,0.4044
876,-0.2046
877,-0.7058
878,0.4251
879,0.2782
880,0.2655
881,0.163
882,0.1742
883,-0.2726
884,0.02492
885,0.5414
886,0.5009
887,-0.1242
888,0.3497
889,-0.4042
890,0.2536
891,0.03457
892,0.05271
893,-0.04136
894,-0.5076
895,0.5526
896,-0.0007526
897,-0.4936
898,-0.008195
899,0.1785
900,0.2639
901,0.259
902,-0.3551
903,0.6907
904,0.3437
905,-0.3014
906,-0.148
907,-0.3288
908,0.1005
909,0.08705
910,-0.6749
911,-0.07397
912,1.065
913,-0.07731
