t,e^(-dS)
671,1.03171
672,0.946466
673,0.872581
674,0.893151
675,1.28069
676,1.03933
677,0.745798
678,1.11539
679,0.964467
680,1.38279
681,0.830689
682,0.808156
683,1.05552
684,0.6432
685,1.20454
686,0.994389
687,0.937021
688,0.904023
689,0.956036
690,0.690596
691,1.0044
692,0.852229
693,1.14077
694,0.783096
695,0.995484
696,0.957299
697,1.06667
698,1.0988
699,1.03785
700,1.21799
701,1.19566
702,0.87713
703,0.857615
704,0.688115
705,1.38874
706,1.15177
707,0.919128
708,0.810422
709,0.777945
710,1.55753
711,1.20732
712,1.01597
713,1.1827
714,0.699283
715,0.873366
716,0.631663
717,0.80501
718,0.959292
719,0.913036
720,1.03545
721,0.954126
722,1.00071
723,0.9089
724,1.45092
725,1.08738
726,0.691564
727,1.06906
728,0.97234
729,0.726585
730,1.04182
731,0.849761
732,0.816033
733,1.32923
734,1.10289
735,0.869445
736,0.803563
737,0.910601
738,1.58186
739,0.656128
740,1.33629
741,0.675907
742,1.12513
743,1.06399
744,1.16637
745,0.851462
746,1.04178
747,0.962655
748,1.35622
749,1.21179
750,0.837277
751,0.834853
752,0.830274
753,0.906277
754,0.990572
755,1.10583
756,1.09422
757,0.850952
758,0.943971
759,0.737123
760,1.07396
761,0.761169
762,1.11818
763,0.808399
764,1.05159
765,0.828698
766,1.03141
767,1.2457
768,0.679431
769,0.905
770,0.865368
771,1.00821
772,1.25696
773,0.722816
774,1.42006
775,0.87424
776,0.880117
777,0.855132
778,0.644874
779,0.717487
780,1.05592
781,1.13951
782,1.15246
783,1.56518
784,0.631789
785,0.69677
786,0.995609
787,0.887364
788,0.741337
789,1.18602
790,0.920011
791,1.26087
792,1.05698
793,1.3741
794,0.695517
795,1.59584
796,0.94968
797,0.903752
798,0.696074
799,1.09366
800,1.11016
801,0.796522
802,1.12942
803,0.918531
804,0.822999
805,1.07101
806,0.998938
807,1.00966
808,0.795806
809,1.34165
810,1.0396
811,1.03503
812,0.817177
813,1.14168
814,0.954755
815,1.07497
816,1.055
817,1.27571
818,0.672334
819,0.662457
820,1.34299
821,0.749087
822,0.949452
823,0.806541
824,1.21945
825,1.25045
826,1.24832
827,0.599356
828,1.2946
829,0.956045
830,1.2857
831,0.757373
832,0.824729
833,1.07365
834,1.6733
835,0.694961
836,0.947811
837,1.26541
838,0.747142
839,0.944613
840,1.58804
841,0.797878
842,0.562255
843,0.799795
844,1.04194
845,0.835939
846,1.25082
847,0.631789
848,1.47609
849,1.07686
850,1.22324
851,0.772286
852,1.07715
853,1.11684
854,0.900234
855,1.08067
856,1.49661
857,0.764602
858,1.16894
859,0.826215
860,1.19375
861,0.864071
862,0.680655
863,0.908346
864,0.912406
865,1.04358
866,0.854021
867,0.841558
868,1.4993
869,0.808965
870,1.19542
871,1.02573
872,0.729643
873,0.9464
874,0.898885
875,0.820698
876,0.980012
877,0.80638
878,1.3046
879,1.18424
880,0.911677
881,1.33136
882,0.887364
883,0.556215
884,0.835855
885,1.02232
886,0.680519
887,1.38694
888,1.27762
889,0.967877
890,0.711557
891,1.499
892,0.976911
893,0.985348
894,1.12885
895,0.899425
896,0.735283
897,0.900054
898,1.23097
899,0.922987
900,1.1394
901,0.901315
902,0.977028
903,1.05901
904,1.16032
905,0.814159
906,0.870315
907,1.12536
908,1.09956
909,1.21082
910,0.82961
911,1.13168
912,0.736608
913,0.734621
914,0.743936
915,1.32764
916,0.994852
917,0.990222
918,0.875027
919,0.978818
920,0.802439
921,1.04929
922,1.04843
923,1.03725
924,1.0876
925,1.10949
926,0.711486
927,0.755708
928,1.08253
929,1.24259
930,1.02423
931,0.875553
932,0.806864
933,1.16591
934,1.26516
935,0.842569
936,0.595592
937,1.07467
938,1.03436
939,1.07316
940,1.21507
941,1.31075
942,0.715624
943,0.823905
944,0.880117
945,0.895028
946,1.02359
947,1.49078
948,0.884794
949,1.09839
950,0.697676
951,1.09043
952,0.617424
953,1.00399
954,1.06964
955,1.15546
956,0.958946
957,0.987983
958,0.946637
959,1.12547
960,0.907193
961,0.915257
962,1.09974
963,0.849591
964,0.719499
965,0.996317
966,1.02581
967,0.902578
968,1.29279
969,0.848148
970,0.976579
971,1.26567
972,1.123
973,1.04564
974,0.930382
975,0.762616
976,1.30918
977,0.871796
978,1.302
979,0.559507
980,0.801396
981,0.612381
982,0.968875
983,0.838115
984,0.90312
985,0.827869
986,1.37823
987,0.715481
988,1.1
989,1.0159
990,0.79152
991,1.31259
992,1.01547
993,0.974286
994,0.834018
995,1.10098
996,0.637246
997,0.97696
998,1.22507
999,0.71799
1000,1.09264
