MDTU,|det-1|^2,1-Re(det),Im(det)
828,1,1,-1.03028e-06
830,1,1,-1.53718e-09
832,0.999999,0.999999,-4.12298e-06
834,0.999984,0.999992,2.19374e-06
836,1,1,-5.09505e-07
838,0.999998,0.999999,-1.15207e-06
840,0.999998,0.999999,2.43031e-06
842,1,1,-8.21037e-07
844,1,1,-3.14309e-07
846,1,1,7.69464e-07
848,1,1,1.91967e-06
850,1,1,1.91967e-06
852,0.999999,1,5.76707e-07
854,0.999999,1,-3.06486e-07
856,1,1,6.7889e-07
858,0.999999,0.999999,1.4008e-06
860,1,1,-4.44738e-07
862,0.999999,1,2.28915e-07
864,0.999999,1,2.28915e-07
866,0.999999,1,2.28915e-07
868,0.999997,0.999998,-6.88049e-07
870,0.999999,1,-2.66319e-07
872,0.999999,0.999999,1.78252e-06
874,0.999999,1,-2.02742e-07
876,0.999998,0.999999,7.97885e-07
878,0.999999,1,1.17876e-06
880,0.999999,0.999999,-5.99029e-06
882,1,1,-3.23997e-07
884,0.999999,0.999999,1.30217e-08
886,1,1,1.06157e-07
888,1,1,2.59041e-06
890,1,1,1.91439e-06
892,1,1,-6.78995e-07
894,1,1,1.6083e-06
896,0.999999,0.999999,-3.14987e-07
898,0.999997,0.999998,-5.23909e-07
900,0.999994,0.999997,1.83063e-06
902,0.999997,0.999999,-7.35187e-07
904,0.999999,1,1.76761e-06
906,1,1,2.36086e-07
908,1,1,8.3242e-07
910,0.999999,1,-8.87508e-07
912,1,1,-6.72938e-07
914,0.999997,0.999999,-6.49292e-07
916,1.00001,1,2.66314e-06
918,0.999996,0.999998,7.02578e-07
920,0.999996,0.999998,7.02578e-07
922,0.999996,0.999998,-1.00667e-06
924,1.00001,1,-6.73539e-07
926,1.00001,1,-2.20385e-06
928,1,1,1.3525e-07
930,0.999999,1,2.38019e-06
932,0.999999,1,-1.31338e-06
934,1,1,6.51021e-07
936,1,1,6.51021e-07
938,1,1,-5.763e-07
940,0.999999,1,-1.40973e-06
942,0.999996,0.999998,-7.088e-07
944,0.999996,0.999998,-7.088e-07
946,0.999999,0.999999,1.47998e-06
948,1,1,1.49632e-06
950,1,1,-5.20137e-07
952,1,1,-5.20137e-07
954,1.00001,1,-2.84561e-07
956,0.999998,0.999999,-1.64169e-06
958,0.999997,0.999999,-1.05894e-06
960,1,1,1.55438e-06
962,1,1,-5.55808e-07
964,1,1,-7.09e-07
966,1,1,1.44452e-06
968,0.999999,0.999999,1.09368e-06
970,0.999999,1,2.89632e-07
972,1,1,-8.68555e-07
974,1,1,-8.46869e-07
976,0.999994,0.999997,4.68026e-07
978,1,1,7.94168e-07
980,0.999999,0.999999,9.42819e-08
982,0.999999,1,1.71103e-07
984,0.999998,0.999999,-7.45375e-07
986,0.999992,0.999996,1.96806e-06
988,1,1,-1.62e-06
990,0.999996,0.999998,-2.09375e-06
992,1,1,9.24585e-07
994,1,1,4.96275e-07
996,1,1,4.18034e-07
998,1,1,-1.1353e-07
1000,1,1,-1.1353e-07
1002,1,1,2.34461e-06
1004,0.999997,0.999999,6.93679e-07
1006,1,1,-1.74526e-06
1008,1,1,7.61086e-07
1010,1,1,-2.93311e-07
1012,1,1,-2.93311e-07
1014,1,1,7.34221e-07
1016,1,1,1.0828e-06
1018,1,1,-6.93765e-07
1020,1.00001,1,-1.37674e-06
1022,0.999999,1,-1.97192e-06
1024,1,1,1.98272e-07
1026,1,1,1.67887e-07
1028,0.999997,0.999998,-9.26835e-07
1030,1,1,7.06992e-07
1032,0.999994,0.999997,1.94158e-06
1034,1,1,-6.96978e-07
1036,1.00002,1.00001,-3.50659e-05
1038,1,1,-6.5603e-07
1040,1,1,4.50127e-07
1042,1,1,4.50127e-07
1044,0.999996,0.999998,-4.13172e-07
1046,0.999999,1,2.54045e-07
1048,1,1,1.49954e-06
1050,0.999998,0.999999,-1.2004e-06
1052,1,1,-4.11132e-07
1054,0.999999,0.999999,-5.17906e-07
1056,1,1,2.72718e-07
1058,0.999996,0.999998,8.5603e-07
1060,1,1,-6.04763e-07
1062,1,1,-2.66056e-07
1064,1,1,-5.95807e-07
1066,1,1,-6.08754e-07
1068,1,1,-4.05345e-07
1070,0.999999,0.999999,-7.14652e-07
1072,0.999996,0.999998,-2.13645e-06
1074,1.00001,1,2.83159e-06
1076,1.00001,1,2.83159e-06
1078,1,1,-6.67173e-06
1080,1,1,4.74085e-07
1082,1,1,1.04201e-06
1084,0.999998,0.999999,1.38443e-06
1086,1,1,-1.06021e-06
1088,1,1,-8.6729e-09
1090,1.00001,1,-6.10609e-07
1092,0.999999,0.999999,-1.68259e-06
1094,0.999999,1,3.34933e-07
1096,0.999998,0.999999,1.08374e-06
1098,1,1,-9.02722e-07
1100,1,1,1.01153e-06
1102,1,1,-5.60654e-07
1104,0.999999,1,-1.61207e-06
1106,0.999999,1,-8.87701e-07
1108,0.999999,1,-8.87701e-07
1110,0.999999,1,-8.87701e-07
1112,1.00001,1,-4.82947e-07
1114,1,1,7.14497e-07
1116,1,1,5.49745e-08
1118,1,1,3.12132e-06
1120,0.999996,0.999998,-2.54203e-06
1122,0.999998,0.999999,-7.20854e-07
1124,1,1,-9.90083e-08
1126,1,1,9.82256e-07
1128,1,1,-7.69406e-07
1130,1,1,-9.16277e-07
1132,0.999997,0.999998,1.73791e-06
1134,0.999997,0.999998,1.73791e-06
1136,0.999997,0.999999,8.28811e-07
1138,1,1,-9.22065e-07
1140,0.999997,0.999999,3.9849e-07
1142,1,1,6.58543e-08
1144,0.999999,1,-8.93955e-07
1146,0.999983,0.999992,-8.40954e-06
1148,1,1,-2.46721e-07
1150,1,1,7.6317e-07
1152,0.999999,0.999999,-9.72299e-07
1154,0.999996,0.999998,-8.94936e-07
1156,0.999999,1,7.74434e-07
1158,0.999997,0.999998,-1.64102e-07
1160,0.999997,0.999999,-1.28871e-06
1162,1,1,5.03846e-07
1164,1,1,8.2133e-07
1166,1,1,-3.97613e-07
1168,1,1,1.08834e-06
1170,1,1,4.17015e-07
1172,1,1,-1.41396e-07
1174,1,1,2.4209e-06
1176,0.999998,0.999999,-5.03656e-07
1178,1,1,1.02503e-06
1180,1,1,-1.01039e-06
1182,1,1,1.89601e-06
1184,1,1,-3.02262e-06
1186,0.999999,1,-5.57023e-08
1188,0.999999,1,-5.57023e-08
1190,0.999999,1,-5.57023e-08
1192,0.999999,1,-2.47021e-06
1194,0.999999,1,-2.47021e-06
1196,0.999988,0.999994,3.33531e-08
1198,1,1,-9.57748e-07
1200,1,1,3.56102e-06
1202,0.999999,0.999999,9.47158e-07
1204,0.999997,0.999999,-7.94063e-07
1206,0.999995,0.999998,1.56647e-06
1208,1,1,5.56518e-08
1210,0.999999,1,9.37211e-07
1212,1,1,2.23387e-06
1214,1,1,-9.36574e-08
1216,1,1,1.20433e-06
1218,0.999998,0.999999,-9.42805e-07
1220,1,1,-7.64041e-07
1222,1,1,-2.98746e-07
1224,0.999999,1,8.71824e-07
1226,0.999999,1,8.71824e-07
1228,0.999998,0.999999,-5.79532e-07
1230,1,1,9.00756e-07
1232,1,1,2.31902e-07
1234,0.999999,1,6.97889e-07
1236,1.00001,1,-8.49135e-07
1238,1,1,-4.46935e-07
1240,1,1,-6.18661e-07
1242,0.999994,0.999997,2.00409e-07
1244,0.999998,0.999999,7.78859e-07
1246,1,1,9.38457e-07
1248,1,1,5.71683e-07
1250,1,1,1.98002e-07
1252,0.999997,0.999998,-9.98516e-07
1254,0.999997,0.999998,-9.98516e-07
1256,0.999997,0.999998,-2.7658e-06
1258,0.999999,0.999999,-1.65726e-07
1260,1,1,-4.24404e-07
1262,0.999999,1,-2.5985e-07
1264,1,1,-2.5815e-07
1266,1,1,7.593e-07
1268,0.999999,0.999999,3.0649e-07
1270,0.999997,0.999998,-4.54322e-07
1272,0.999999,1,-7.72262e-07
1274,1,1,8.96773e-07
1276,1,1,-2.79667e-07
1278,1,1,-7.79309e-07
1280,1,1,2.82526e-07
1282,1,1,8.74694e-07
1284,0.999996,0.999998,-8.81057e-07
1286,0.999997,0.999998,-2.71266e-07
1288,1,1,3.52461e-07
1290,1,1,-1.38669e-06
1292,0.999999,0.999999,2.04084e-06
1294,0.999996,0.999998,-1.36395e-06
1296,0.999999,0.999999,-2.73308e-07
1298,0.999999,1,-3.90304e-07
1300,1,1,1.85554e-07
1302,0.999998,0.999999,-2.21449e-08
1304,1,1,5.9104e-07
1306,1,1,8.54455e-07
1308,1,1,2.17201e-07
1310,1,1,6.56206e-08
1312,1,1,6.56206e-08
1314,0.999997,0.999999,1.19771e-06
1316,0.999998,0.999999,-2.06736e-06
1318,1,1,6.85615e-07
1320,1,1,6.85615e-07
1322,1,1,6.85615e-07
1324,1,1,-1.67732e-06
1326,1,1,-1.67732e-06
1328,1,1,2.20539e-07
1330,1,1,-8.51963e-07
1332,1,1,-1.6377e-06
1334,1,1,2.22831e-07
1336,1,1,8.99381e-07
1338,1,1,-2.39405e-07
1340,1,1,-2.39405e-07
1342,0.999998,0.999999,1.57705e-06
1344,0.999995,0.999998,1.03474e-06
1346,0.999999,0.999999,-3.61905e-07
1348,0.999999,0.999999,-9.77371e-08
1350,1,1,4.07127e-07
1352,1,1,1.02002e-06
1354,0.999994,0.999997,-1.27274e-06
1356,0.999999,1,-9.81625e-07
