MDTU,min_ave,max_ave
730,-2.02169,0.103595
732,-2.06456,0.1301
734,-1.98091,0.110133
736,-2.04445,0.0971869
738,-1.96855,0.126586
740,-1.89303,0.132976
742,-1.83459,0.148073
744,-1.761,0.182452
746,-1.90252,0.16219
748,-1.90252,0.16219
750,-1.8404,0.16549
752,-1.90948,0.148802
754,-1.79337,0.164878
756,-1.93848,0.155674
758,-1.8828,0.153508
760,-1.83912,0.138727
762,-1.87793,0.160137
764,-1.89506,0.157842
766,-1.88892,0.153643
768,-1.96042,0.14875
770,-1.8142,0.156212
772,-1.89663,0.16137
774,-1.70008,0.192071
776,-1.70008,0.192071
778,-1.83125,0.172812
780,-1.83125,0.172812
782,-1.90796,0.14421
784,-1.86736,0.165474
786,-1.93805,0.163229
788,-1.92001,0.133013
790,-2.01318,0.11889
792,-1.99477,0.113215
794,-2.05143,0.0893812
796,-2.03717,0.0833557
798,-2.04237,0.0856847
800,-2.00645,0.0998878
802,-2.02459,0.0939187
804,-2.02459,0.0939187
806,-1.95907,0.114887
808,-1.99351,0.0941581
810,-2.01442,0.0845261
812,-2.07852,0.102902
814,-2.09484,0.088999
816,-1.98872,0.0981492
818,-2.0811,0.0938521
820,-1.91702,0.112683
822,-1.89131,0.131824
824,-1.85489,0.158423
826,-1.88562,0.163185
828,-1.98409,0.122996
830,-2.06475,0.12276
832,-1.9011,0.142864
834,-1.94762,0.125338
836,-1.88474,0.130411
838,-1.81745,0.138239
840,-1.97409,0.115333
842,-1.96189,0.141477
844,-1.91521,0.142057
846,-1.86216,0.146261
848,-1.87309,0.130204
850,-1.87309,0.130204
852,-1.92284,0.140124
854,-1.98786,0.132393
856,-1.99872,0.146063
858,-1.86535,0.112574
860,-2.01131,0.111264
862,-2.07895,0.104361
864,-2.07895,0.104361
866,-2.07895,0.104361
868,-2.00329,0.115325
870,-1.96736,0.125834
872,-1.98633,0.117019
874,-1.90631,0.119502
876,-1.98067,0.0871393
878,-2.0103,0.0942526
880,-1.8849,0.110363
882,-1.89574,0.103804
884,-1.94331,0.108838
886,-1.96222,0.116811
888,-2.02369,0.142946
890,-1.95666,0.120609
892,-1.95932,0.111505
894,-2.06888,0.0922415
896,-1.99217,0.102386
898,-2.03776,0.111792
900,-2.03188,0.0962053
902,-1.98193,0.0983148
904,-2.0075,0.0950458
906,-2.02235,0.10309
908,-2.07309,0.0949894
910,-2.06924,0.101014
912,-2.07312,0.101309
914,-1.95414,0.0995455
916,-2.05959,0.102454
918,-2.02602,0.112001
920,-2.02602,0.112001
922,-1.97078,0.114032
924,-2.04064,0.111873
926,-1.98626,0.0934472
928,-2.06667,0.0995104
930,-1.98731,0.104066
932,-2.04744,0.102528
934,-2.00609,0.108541
936,-2.00609,0.108541
938,-2.04154,0.0918057
940,-1.9563,0.126909
942,-2.02754,0.126029
944,-2.02754,0.126029
946,-2.03606,0.121971
948,-1.99506,0.119935
950,-1.98978,0.11044
952,-1.98978,0.11044
954,-1.96749,0.124946
956,-2.00099,0.0907478
958,-1.97449,0.118903
960,-1.97601,0.104192
962,-2.05618,0.11064
964,-1.91608,0.12713
966,-1.9503,0.1354
968,-2.11159,0.122962
970,-2.03902,0.112233
972,-2.06201,0.118827
974,-2.02015,0.113715
976,-1.97633,0.150688
978,-1.88701,0.14007
980,-1.9794,0.154031
982,-1.95557,0.156454
984,-1.91653,0.113485
986,-1.88793,0.116749
988,-1.99891,0.109922
990,-2.0028,0.10275
992,-2.03556,0.107118
994,-2.12922,0.102675
996,-2.02425,0.124454
998,-1.98042,0.151335
1000,-1.98042,0.151335
1002,-2.07447,0.117813
1004,-2.01422,0.123113
1006,-2.13185,0.116936
1008,-2.07017,0.0967117
1010,-2.09887,0.105751
1012,-2.09887,0.105751
1014,-2.02159,0.117856
1016,-2.07791,0.117944
1018,-2.04389,0.0803641
1020,-2.02772,0.127815
1022,-1.94823,0.127093
1024,-2.03657,0.124043
1026,-1.97062,0.104319
1028,-1.96505,0.101167
1030,-1.98942,0.0868513
1032,-1.92629,0.100874
1034,-2.0731,0.101248
1036,-1.98129,0.119853
1038,-2.00667,0.11848
1040,-2.12634,0.104495
1042,-2.12634,0.104495
1044,-2.05381,0.10646
1046,-1.97321,0.0939709
1048,-1.97568,0.126094
1050,-2.02355,0.123998
1052,-2.11056,0.0884771
1054,-1.98691,0.0968973
1056,-2.02529,0.129978
1058,-2.04109,0.106992
1060,-1.97049,0.10187
1062,-1.99888,0.106725
1064,-2.05603,0.114814
1066,-2.01834,0.123449
1068,-2.09052,0.097454
1070,-2.08329,0.088379
1072,-2.03968,0.0951717
1074,-2.04038,0.110159
1076,-2.04038,0.110159
1078,-2.02113,0.123126
1080,-2.05113,0.098445
1082,-1.99319,0.0956519
1084,-1.92536,0.112627
1086,-1.97318,0.110749
1088,-2.11171,0.105988
1090,-2.09416,0.100991
1092,-1.9947,0.0797963
1094,-1.98221,0.0925808
1096,-2.03065,0.0845665
1098,-1.91526,0.114964
1100,-2.06381,0.0924787
1102,-1.9371,0.101918
1104,-1.95974,0.10472
1106,-2.01867,0.137563
1108,-2.01867,0.137563
1110,-2.01867,0.137563
1112,-1.98725,0.115654
1114,-2.01797,0.0993839
1116,-1.9811,0.0919944
1118,-2.01688,0.108336
1120,-1.96311,0.0903961
1122,-2.01697,0.0929582
1124,-1.94441,0.102288
1126,-1.97867,0.122437
1128,-1.79156,0.147319
1130,-2.02388,0.124148
1132,-1.9667,0.130144
1134,-1.9667,0.130144
1136,-1.92938,0.138687
1138,-1.98359,0.123484
1140,-1.93217,0.162776
1142,-1.88818,0.153069
1144,-1.91389,0.16574
1146,-1.87905,0.150803
1148,-1.81348,0.161442
1150,-1.84928,0.15407
1152,-1.96859,0.127241
1154,-1.99385,0.12972
1156,-1.97037,0.141614
1158,-1.9405,0.157919
1160,-1.91749,0.134358
1162,-1.90283,0.135606
1164,-1.96802,0.115324
1166,-2.02494,0.104814
1168,-2.01579,0.106
1170,-2.05757,0.097006
1172,-2.08368,0.103692
1174,-2.00924,0.107029
1176,-2.0081,0.124408
1178,-1.9956,0.105508
1180,-2.0344,0.114143
1182,-1.90636,0.11754
1184,-2.0502,0.113695
1186,-2.04225,0.120977
1188,-2.04225,0.120977
1190,-2.04225,0.120977
1192,-1.90876,0.126754
1194,-1.90876,0.126754
1196,-1.943,0.13127
1198,-2.00616,0.111061
1200,-1.95137,0.101958
1202,-1.90778,0.121726
1204,-1.90857,0.109969
1206,-2.00326,0.122039
1208,-1.99252,0.109382
1210,-1.95841,0.12167
1212,-1.94314,0.0992093
1214,-2.03267,0.116672
1216,-1.93995,0.112561
1218,-2.03987,0.104035
1220,-2.03498,0.1016
1222,-1.94138,0.118048
1224,-1.98401,0.109216
1226,-1.98401,0.109216
1228,-2.04632,0.119882
1230,-1.91743,0.124
1232,-1.9748,0.125918
1234,-2.05192,0.124625
1236,-1.89877,0.129527
1238,-1.97987,0.123345
1240,-2.02843,0.107756
1242,-2.07511,0.116905
1244,-2.00993,0.109094
1246,-1.89213,0.128884
1248,-1.95868,0.108346
1250,-1.97483,0.123506
1252,-1.97344,0.135916
1254,-1.97344,0.135916
1256,-2.04847,0.0948285
1258,-2.00565,0.106027
1260,-2.08938,0.104674
1262,-2.07615,0.0819192
1264,-2.12139,0.0853479
1266,-2.00801,0.0954868
1268,-2.1049,0.103403
1270,-2.04225,0.0922017
1272,-2.00202,0.0976299
1274,-2.04683,0.119704
1276,-1.96734,0.125212
1278,-2.02869,0.133379
1280,-1.94838,0.111704
1282,-2.04778,0.0979178
1284,-2.04485,0.0943851
1286,-2.02519,0.0829101
1288,-1.98464,0.107609
1290,-2.01857,0.0990665
1292,-2.08524,0.0891713
1294,-2.00534,0.0871603
1296,-2.01549,0.102289
1298,-2.08709,0.103345
1300,-2.03384,0.0988118
1302,-2.102,0.105684
1304,-1.94409,0.0918664
1306,-2.04036,0.0872677
1308,-2.06367,0.116287
1310,-1.99991,0.13373
1312,-1.99991,0.13373
1314,-1.91296,0.151918
1316,-1.91264,0.140625
1318,-2.07697,0.127322
1320,-2.07697,0.127322
1322,-2.07697,0.127322
1324,-2.009,0.0790998
1326,-2.009,0.0790998
1328,-2.00586,0.0974302
1330,-2.11156,0.0903787
1332,-2.05293,0.104813
1334,-2.00339,0.0962515
1336,-2.03523,0.12796
1338,-2.02926,0.110113
1340,-2.02926,0.110113
1342,-1.91231,0.100854
1344,-2.07157,0.091953
1346,-2.08165,0.100581
1348,-2.01035,0.107358
1350,-2.03072,0.111235
1352,-1.92538,0.117704
1354,-1.91805,0.130429
1356,-1.95333,0.13054
1358,-1.95187,0.126665
1360,-1.98519,0.136879
1362,-2.0481,0.133019
1364,-2.04588,0.101083
1366,-2.03419,0.110068
1368,-2.03419,0.110068
1370,-2.04396,0.108444
1372,-1.98174,0.0954467
1374,-1.92399,0.111399
1376,-2.02102,0.124461
1378,-1.99018,0.131529
1380,-2.03992,0.109845
1382,-1.96967,0.108584
1384,-2.0724,0.114576
1386,-1.98546,0.117152
1388,-1.93608,0.0967896
1390,-2.0614,0.135337
1392,-1.97158,0.101932
1394,-1.98617,0.141828
1396,-2.03758,0.120536
1398,-2.04639,0.142964
1400,-2.01527,0.122276
1402,-2.02322,0.120115
1404,-2.02322,0.120115
1406,-2.04612,0.107426
1408,-2.002,0.106597
1410,-2.02507,0.112201
1412,-1.98451,0.11122
1414,-1.9974,0.0978099
1416,-1.95364,0.0932602
1418,-2.1227,0.100035
1420,-2.04827,0.103822
1422,-2.18108,0.102831
1424,-2.04716,0.100507
1426,-2.05136,0.108872
1428,-2.05136,0.108872
1430,-2.05136,0.108872
1432,-2.02624,0.0910021
1434,-1.98595,0.0947259
1436,-1.92328,0.111125
1438,-1.93919,0.144185
1440,-1.90758,0.139542
1442,-1.90384,0.148805
1444,-1.98443,0.139212
1446,-1.94273,0.140554
1448,-1.87701,0.154209
1450,-1.93031,0.150248
1452,-1.93031,0.150248
1454,-1.96812,0.167996
1456,-1.878,0.179645
1458,-1.91405,0.147713
1460,-1.88671,0.153592
1462,-1.86115,0.155494
1464,-1.88701,0.145961
1466,-1.95861,0.14072
1468,-1.91246,0.178617
1470,-1.90362,0.151488
1472,-1.84139,0.174834
1474,-1.70354,0.198196
1476,-1.77676,0.194816
1478,-1.79251,0.1768
1480,-1.75003,0.234196
1482,-1.62141,0.238121
1484,-1.64161,0.220764
1486,-1.72873,0.200624
1488,-1.64703,0.217753
1490,-1.61193,0.231029
1492,-1.59374,0.236463
1494,-1.568,0.230748
1496,-1.69074,0.238594
1498,-1.72076,0.225509
1500,-1.72076,0.225509
1502,-1.6035,0.227243
1504,-1.64875,0.21851
