MDTU,min_width,max_width
1216,1.43902,0.493151
1218,1.43902,0.493151
1220,1.42532,0.492564
1222,1.42532,0.492564
1224,1.42532,0.492564
1226,1.42532,0.492564
1228,1.3976,0.488243
1230,1.3976,0.488243
1232,1.46883,0.480191
1234,1.51682,0.491686
1236,1.46444,0.498554
1238,1.43915,0.485949
1240,1.40029,0.487293
1242,1.41077,0.474544
1244,1.4621,0.495698
1246,1.4621,0.495698
1248,1.45519,0.495624
1250,1.44496,0.508038
1252,1.4182,0.481869
1254,1.43216,0.497473
1256,1.4808,0.49186
1258,1.49877,0.512939
1260,1.45178,0.524514
1262,1.47304,0.527515
1264,1.48248,0.515266
1266,1.48248,0.515266
1268,1.48248,0.515266
1270,1.41179,0.510582
1272,1.4809,0.522567
1274,1.47053,0.512753
1276,1.44593,0.527899
1278,1.44593,0.527899
1280,1.53361,0.548443
1282,1.53361,0.548443
1284,1.47078,0.547964
1286,1.47078,0.547964
1288,1.47078,0.547964
1290,1.5413,0.513332
1292,1.5413,0.513332
1294,1.5413,0.513332
1296,1.47382,0.516261
1298,1.49268,0.540781
1300,1.48207,0.522627
1302,1.53173,0.53997
1304,1.55236,0.570746
1306,1.59113,0.575557
1308,1.55212,0.585893
1310,1.55212,0.585893
1312,1.63131,0.550422
1314,1.63131,0.550422
1316,1.54879,0.53451
1318,1.55319,0.556908
1320,1.55319,0.556908
1322,1.55319,0.556908
1324,1.55319,0.556908
1326,1.51616,0.564475
1328,1.54263,0.578198
1330,1.59378,0.564732
1332,1.51869,0.554165
1334,1.53846,0.563947
1336,1.57975,0.548738
1338,1.49071,0.566599
1340,1.49071,0.566599
1342,1.49071,0.566599
1344,1.49071,0.566599
1346,1.57517,0.568211
1348,1.5654,0.575133
1350,1.5892,0.58026
1352,1.63034,0.592085
1354,1.59683,0.604108
1356,1.61798,0.595976
1358,1.58131,0.607106
1360,1.58131,0.607106
1362,1.6831,0.594014
1364,1.6831,0.594014
1366,1.6831,0.594014
1368,1.6831,0.594014
1370,1.64821,0.600562
1372,1.64821,0.600562
1374,1.64821,0.600562
1376,1.64821,0.600562
1378,1.57673,0.596377
1380,1.65799,0.59573
1382,1.54513,0.613806
1384,1.59603,0.620428
1386,1.66269,0.6079
1388,1.63514,0.628679
1390,1.63514,0.628679
1392,1.63956,0.63793
1394,1.63569,0.645795
1396,1.61603,0.630219
1398,1.57918,0.620592
1400,1.58527,0.603857
1402,1.63965,0.613866
1404,1.638,0.605848
1406,1.58889,0.591388
1408,1.60809,0.60269
1410,1.61969,0.615166
1412,1.63019,0.623455
1414,1.63888,0.606852
1416,1.64752,0.61494
1418,1.6046,0.610704
1420,1.72962,0.601299
1422,1.59867,0.626896
1424,1.62721,0.608699
1426,1.6462,0.616234
1428,1.59752,0.630243
1430,1.62106,0.633909
1432,1.64253,0.6263
1434,1.6445,0.623632
1436,1.63727,0.626079
1438,1.64593,0.635773
1440,1.60982,0.626364
1442,1.65189,0.620982
1444,1.65189,0.620982
1446,1.68399,0.616345
1448,1.65629,0.621854
1450,1.65329,0.613224
1452,1.65329,0.613224
1454,1.65285,0.619328
1456,1.64205,0.609647
1458,1.59948,0.612364
1460,1.58287,0.636084
1462,1.67505,0.643134
1464,1.67451,0.643577
1466,1.65407,0.645801
1468,1.69116,0.649329
1470,1.73697,0.651481
1472,1.68048,0.65596
1474,1.69178,0.644913
1476,1.69178,0.644913
1478,1.70306,0.64584
1480,1.69179,0.652405
1482,1.68277,0.662002
1484,1.71483,0.644587
1486,1.64996,0.660941
1488,1.71349,0.668258
1490,1.70848,0.678628
1492,1.70224,0.68052
1494,1.79774,0.681977
1496,1.69679,0.673128
