t,|deltaS|
693,0.517
694,0.03229
695,0.5676
696,0.4484
697,0.1332
698,0.107
699,1.146
700,0.1712
701,1.429
702,1.212
703,0.06966
704,0.1802
705,0.3568
706,0.3691
707,1.083
708,1.34
709,0.01553
710,1.422
711,0.03251
712,0.13
713,0.8627
714,0.3948
715,0.04023
716,0.423
717,0.3324
718,0.1905
719,0.587
720,0.8297
721,0.2156
722,0.5793
723,0.6023
724,0.7093
725,0.7019
726,1.331
727,0.8553
728,1.22
729,0.1622
730,0.0526
731,0.01274
732,0.3799
733,0.03457
734,0.2635
735,0.1363
736,0.4257
737,0.02686
738,0.5653
739,0.6234
740,0.06409
741,0.5125
742,0.1762
743,0.7704
744,0.08706
745,0.6186
746,0.7454
747,0.6494
748,0.7499
749,0.6797
750,0.1291
751,1.042
752,1.038
753,0.5071
754,0.5899
755,0.4655
756,0.01896
757,0.7466
758,0.001832
759,0.197
760,0.8945
761,0.384
762,0.7145
763,0.5741
764,0.5136
765,0.7561
766,0.6102
767,1.467
768,1.711
769,0.2957
770,1.478
771,0.1604
772,0.4097
773,0.6001
774,0.9977
775,0.7689
776,1.158
777,0.4548
778,0.9598
779,0.4552
780,0.02631
781,0.2913
782,0.1702
783,1.134
784,0.6474
785,0.2308
786,1.072
787,1.008
788,0.3738
789,0.03109
790,0.6418
791,0.3876
792,0.535
793,0.3998
794,0.8651
795,0.5077
796,0.02955
797,0.08223
798,1.083
799,0.3533
800,0.2897
801,1.356
802,1.22
803,0.4588
804,0.06597
805,0.5283
806,0.1801
807,0.3372
808,0.1672
809,0.9879
810,1.532
811,1.272
812,0.7165
813,0.6336
814,0.7629
815,0.9088
816,0.2426
817,0.315
818,0.4454
819,0.8407
820,0.0006363
821,0.198
822,0.3203
823,0.5601
824,0.9043
825,0.8674
826,0.6045
827,0.5447
828,0.6504
829,0.5905
830,0.2213
831,0.8677
832,0.7481
833,0.4564
834,1.206
835,0.146
836,0.6538
837,0.002613
838,1.419
839,0.454
840,0.3686
841,0.1597
842,0.3741
843,0.2232
844,0.09922
845,0.5018
846,1.349
847,0.8783
848,0.3749
849,0.624
850,0.08329
851,1.012
852,1.046
853,0.4364
854,0.05319
855,1.101
856,1.835
857,0.9268
858,0.5234
859,0.233
860,0.694
861,0.6243
862,1.755
863,1.571
864,0.2272
865,1.122
866,0.8457
867,0.6518
868,0.5373
869,0.7751
870,0.4749
871,1.127
872,1.168
873,1.576
874,1.126
875,1.276
876,1.552
877,0.7271
878,0.1346
879,0.1609
880,0.8618
881,0.6761
882,0.8453
883,1.147
884,1.756
885,0.9318
886,0.4822
887,0.4071
888,0.1185
889,0.588
890,0.1216
891,0.3565
892,0.6383
893,0.2282
894,0.7319
895,1.389
896,1.349
897,0.758
898,1.117
899,1.209
900,1.361
901,1.029
902,0.05686
903,0.2771
904,0.06577
905,0.105
