t,|deltaS|
356,0.9696
357,0.1212
358,0.9848
359,0.487
360,0.4023
361,0.6342
362,0.3043
363,1.292
364,0.08886
365,0.4198
366,0.5718
367,0.2842
368,0.517
369,0.3121
370,0.4835
371,0.6331
372,0.186
373,0.252
374,0.1826
375,0.5808
376,0.8795
377,0.1704
378,0.72
379,0.08428
380,0.1382
381,0.4286
382,0.1006
383,0.5587
384,0.7845
385,0.373
386,0.001882
387,0.05201
388,1.115
389,0.2747
390,0.07732
391,0.4336
392,0.4837
393,0.1919
394,0.4698
395,0.6686
396,0.3171
397,0.1036
398,0.03382
399,0.611
400,1.242
401,0.316
402,0.3724
403,0.5251
404,0.06928
405,0.562
406,0.4137
407,0.1335
408,0.2198
409,0.4159
410,0.06131
411,0.3099
412,0.09257
413,0.08102
414,0.7415
415,0.5773
416,0.6667
417,0.6743
418,0.09513
419,0.1447
420,0.1315
421,0.2246
422,0.3681
423,0.8734
424,0.06901
425,0.5439
426,0.4478
427,0.1393
428,0.5889
429,0.1698
430,0.1528
431,0.05828
432,0.2624
433,0.7138
434,0.05045
435,0.8645
436,0.2833
437,0.4586
438,0.9265
439,0.5908
440,0.504
441,0.3288
442,0.8431
443,0.2451
444,0.1888
445,0.8029
446,0.7892
447,0.7483
448,0.05634
449,0.1674
450,0.2099
451,0.831
452,0.1376
453,0.1095
454,0.4766
455,0.2643
456,0.07589
457,0.187
458,0.0649
459,0.2622
460,0.2086
461,0.5721
462,0.3805
463,0.8404
464,0.09436
465,0.4554
466,0.5544
467,0.8742
468,0.0198
469,0.3803
470,0.3483
471,0.4539
472,0.05043
473,0.5304
474,0.05916
475,0.02061
476,0.432
477,0.9416
