MDTU,S_B
1264,0.547763
1266,0.547763
1268,0.569684
1270,0.549329
1272,0.556953
1274,0.585242
1276,0.565464
1278,0.525004
1280,0.56833
1282,0.531628
1284,0.531628
1286,0.539904
1288,0.538555
1290,0.526448
1292,0.526448
1294,0.526448
1296,0.513132
1298,0.556971
1300,0.539705
1302,0.526774
1304,0.541952
1306,0.545786
1308,0.549494
1310,0.549494
1312,0.559362
1314,0.559362
1316,0.56206
1318,0.534359
1320,0.529792
1322,0.516409
1324,0.538637
1326,0.538637
1328,0.543106
1330,0.516658
1332,0.528739
1334,0.528739
1336,0.555089
1338,0.551096
1340,0.595072
1342,0.595072
1344,0.595072
1346,0.589217
1348,0.558254
1350,0.552036
1352,0.52325
1354,0.516076
1356,0.54041
1358,0.570507
1360,0.53405
1362,0.509352
1364,0.530159
1366,0.521378
1368,0.521378
1370,0.549396
1372,0.549396
1374,0.549396
1376,0.566685
1378,0.555279
1380,0.533028
1382,0.548306
1384,0.540381
1386,0.553409
1388,0.530202
1390,0.541531
1392,0.523268
1394,0.532346
1396,0.572281
1398,0.581192
1400,0.598588
1402,0.533733
1404,0.533733
1406,0.535743
1408,0.540334
1410,0.531552
1412,0.527205
1414,0.527361
1416,0.537926
1418,0.537926
1420,0.540276
1422,0.540276
1424,0.553828
1426,0.544462
1428,0.567118
1430,0.567118
1432,0.532833
1434,0.543698
1436,0.508401
1438,0.521149
1440,0.534182
1442,0.564302
1444,0.564302
1446,0.546916
1448,0.555688
1450,0.516943
1452,0.540564
1454,0.554937
1456,0.543469
1458,0.527482
1460,0.532995
1462,0.537567
1464,0.554884
1466,0.552332
1468,0.552332
1470,0.527309
1472,0.535761
1474,0.535761
1476,0.571487
1478,0.536212
1480,0.545291
1482,0.562537
1484,0.508824
1486,0.539201
1488,0.555796
1490,0.527005
1492,0.539867
1494,0.491439
1496,0.522814
1498,0.52017
1500,0.545302
1502,0.541961
1504,0.546619
1506,0.543289
1508,0.548418
1510,0.544343
1512,0.558065
1514,0.546251
1516,0.574762
1518,0.574762
1520,0.574762
1522,0.574762
1524,0.574762
1526,0.568075
1528,0.555427
1530,0.563207
1532,0.569145
1534,0.556628
1536,0.561373
1538,0.565133
1540,0.533357
1542,0.535259
1544,0.541477
1546,0.549822
1548,0.572151
1550,0.558585
1552,0.577638
1554,0.571822
1556,0.571822
1558,0.571822
1560,0.544178
1562,0.556273
1564,0.537614
1566,0.534366
1568,0.536087
1570,0.516787
1572,0.541152
1574,0.557691
1576,0.521178
1578,0.535803
1580,0.544661
1582,0.528045
1584,0.545528
1586,0.542275
1588,0.559472
1590,0.539732
1592,0.539732
1594,0.539732
1596,0.539732
1598,0.539732
1600,0.555805
1602,0.536732
1604,0.557568
1606,0.557568
1608,0.551247
1610,0.572854
1612,0.584376
1614,0.548713
1616,0.525838
1618,0.567821
1620,0.553495
1622,0.553495
1624,0.551617
1626,0.518653
1628,0.518653
1630,0.533879
1632,0.564576
1634,0.558015
1636,0.595733
1638,0.562005
1640,0.526193
1642,0.538678
1644,0.538678
1646,0.514687
1648,0.522006
1650,0.538714
1652,0.561712
1654,0.539724
1656,0.541372
1658,0.551943
1660,0.52147
1662,0.516647
1664,0.504583
1666,0.504583
1668,0.52962
1670,0.55468
1672,0.55468
1674,0.55468
1676,0.543401
1678,0.570045
1680,0.52496
1682,0.52496
1684,0.52496
1686,0.544301
1688,0.556699
1690,0.515167
1692,0.534875
1694,0.510447
1696,0.54765
1698,0.536426
1700,0.539321
1702,0.499874
1704,0.545463
1706,0.501827
1708,0.501827
1710,0.518333
1712,0.560331
1714,0.539006
1716,0.575319
1718,0.546575
1720,0.500868
1722,0.53735
1724,0.53735
1726,0.56056
1728,0.56056
1730,0.543296
1732,0.535605
1734,0.539851
1736,0.497525
1738,0.52289
1740,0.544669
1742,0.566743
1744,0.533997
1746,0.535843
1748,0.535843
1750,0.513052
1752,0.526156
1754,0.547627
1756,0.547276
1758,0.532631
1760,0.534685
1762,0.544688
1764,0.575785
1766,0.535815
1768,0.534361
1770,0.565757
1772,0.565757
1774,0.565757
1776,0.565757
1778,0.565757
1780,0.563014
1782,0.554703
1784,0.556487
1786,0.528224
1788,0.541782
1790,0.5557
1792,0.55644
1794,0.532748
1796,0.554769
1798,0.540491
1800,0.53676
1802,0.546048
1804,0.52684
1806,0.548913
1808,0.546839
1810,0.536744
1812,0.524813
1814,0.529009
1816,0.553118
1818,0.575277
1820,0.551164
1822,0.545257
1824,0.545257
1826,0.545257
1828,0.532769
1830,0.512277
1832,0.537645
