MDTU,min_min,min_max,max_min,max_max
356,-4.9717,0.668452,-0.297795,1.16284
358,-4.35772,0.501949,-0.494516,1.10697
360,-5.00293,0.623398,-0.318674,1.1725
362,-6.38134,0.551148,-0.409693,1.19768
364,-3.68432,0.526327,-0.329094,1.16094
366,-4.33744,0.609294,-0.296872,1.17005
368,-5.39538,0.659866,-0.381036,1.20221
370,-5.39538,0.659866,-0.381036,1.20221
372,-5.39538,0.659866,-0.381036,1.20221
374,-4.91753,0.676156,-0.30508,1.1823
376,-4.91753,0.676156,-0.30508,1.1823
378,-4.8321,0.687944,-0.434373,1.24485
380,-4.60598,0.742043,-0.32689,1.23658
382,-4.60598,0.742043,-0.32689,1.23658
384,-3.83831,0.748392,-0.355684,1.28866
386,-4.12291,0.723109,-0.240416,1.22883
388,-4.15797,0.840856,-0.585138,1.23681
390,-4.30758,0.659065,-0.305697,1.22397
392,-4.30758,0.659065,-0.305697,1.22397
394,-3.76757,0.677787,-0.37809,1.18647
396,-4.09028,0.669091,-0.344712,1.23362
398,-3.7334,0.781371,-0.398122,1.17423
400,-5.3762,0.747177,-0.321505,1.16734
402,-5.3762,0.747177,-0.321505,1.16734
404,-4.34137,0.694197,-0.284657,1.18712
406,-4.61778,0.768377,-0.438863,1.19047
408,-4.32671,0.800723,-0.448374,1.23706
410,-4.32671,0.800723,-0.448374,1.23706
412,-3.74116,0.821365,-0.255773,1.24544
414,-4.63237,0.820946,-0.409941,1.25518
416,-3.99359,0.77001,-0.477716,1.24372
418,-4.60788,0.956118,-0.444148,1.37558
420,-3.82114,0.774334,-0.699817,1.2542
422,-3.82114,0.774334,-0.699817,1.2542
424,-4.50346,0.867342,-0.286207,1.26448
426,-5.3786,0.857494,-0.352376,1.37479
428,-4.64513,0.81565,-0.354238,1.41367
430,-4.64513,0.81565,-0.354238,1.41367
432,-4.14369,0.841672,-0.278024,1.21954
434,-4.47208,0.820932,-0.285173,1.33329
436,-4.08693,0.72083,-0.41068,1.32722
438,-3.62211,0.772239,-0.428623,1.24814
