MDTU,ssplaq,stplaq
894,0.966202,0.592236
896,0.874531,0.452001
898,1.11111,0.64545
900,1.09538,0.742093
902,1.09395,0.727267
904,1.07015,0.772471
906,1.07015,0.772471
908,1.07015,0.772471
910,1.07015,0.772471
912,1.24407,0.842013
914,1.24407,0.842013
916,0.944298,0.615244
918,0.849653,0.401709
920,0.849653,0.401709
922,0.713197,0.327011
924,1.04319,0.40325
926,1.04319,0.40325
928,1.04319,0.40325
930,1.04319,0.40325
932,1.13228,0.661429
934,0.973604,0.659192
936,1.03385,0.739921
938,1.55998,0.649773
940,1.46879,0.691359
942,1.46879,0.691359
944,1.50774,0.871912
946,1.74719,0.911496
948,1.74719,0.911496
950,2.44091,0.743906
952,1.74403,0.667965
954,1.74403,0.667965
956,1.69275,0.737068
958,1.3138,0.671754
960,1.23509,0.494388
962,0.95245,0.530909
964,1.10745,0.54644
966,1.70099,0.588455
968,1.42629,0.713283
970,0.882972,0.434933
972,1.15449,0.415156
974,1.09991,0.651357
976,1.08397,0.702764
978,1.65039,0.718589
980,1.29463,0.660924
982,1.4031,0.54596
984,1.07289,0.507214
986,1.2887,0.460999
988,1.09666,0.467648
990,1.08791,0.426186
992,0.815055,0.444042
994,0.977604,0.529354
996,1.36851,0.579165
998,1.2131,0.403211
1000,1.2131,0.403211
1002,1.59972,0.563126
1004,0.838188,0.568043
1006,1.43449,0.696004
1008,1.26109,0.5759
1010,0.973756,0.376696
1012,0.970713,0.464881
1014,0.85178,0.487487
1016,0.85178,0.487487
1018,1.19668,0.537845
1020,1.26697,0.431155
1022,1.06325,0.395178
1024,1.34743,0.531336
1026,1.11487,0.506765
1028,1.07509,0.405636
1030,0.882661,0.333084
1032,0.81192,0.431899
1034,0.81192,0.431899
1036,0.967777,0.463312
1038,0.967777,0.463312
1040,0.967777,0.463312
1042,0.967777,0.463312
1044,0.967777,0.463312
1046,0.822424,0.336074
1048,0.822424,0.336074
1050,0.643806,0.261864
1052,0.505019,0.271114
1054,0.557447,0.290672
1056,0.314884,0.250629
1058,0.314884,0.250629
1060,0.199193,0.110483
1062,0.114414,0.0633381
1064,0.0983238,0.0667106
1066,0.0983238,0.0667106
1068,0.104629,0.0509975
1070,0.130622,0.0738201
1072,0.237934,0.11256
1074,0.237934,0.11256
1076,0.255353,0.146275
1078,0.229685,0.111907
1080,0.16394,0.0638521
1082,0.16394,0.0638521
1084,0.16394,0.0638521
1086,0.256418,0.130193
1088,0.41344,0.220139
1090,0.398962,0.202677
1092,0.31123,0.149832
1094,0.403477,0.265257
1096,0.403477,0.265257
1098,0.53924,0.278851
1100,0.684364,0.264995
1102,0.583141,0.227443
1104,0.583141,0.227443
1106,0.583141,0.227443
1108,0.583141,0.227443
1110,0.698686,0.309215
1112,0.698686,0.309215
1114,0.698686,0.309215
1116,0.698686,0.309215
1118,1.20665,0.381824
1120,0.833649,0.446543
1122,1.0824,0.55041
1124,0.718321,0.316714
1126,0.664715,0.308877
1128,0.664715,0.308877
1130,0.664715,0.308877
1132,1.20742,0.386417
1134,0.946692,0.517903
1136,0.840964,0.312979
1138,1.01883,0.310963
1140,1.24402,0.598561
1142,1.06769,0.455121
1144,0.862742,0.553832
1146,0.535149,0.307669
1148,0.797905,0.338598
1150,0.855791,0.351634
1152,0.738641,0.319848
1154,0.967111,0.482768
1156,1.22161,0.60307
1158,0.933002,0.334983
1160,0.933002,0.334983
1162,0.933002,0.334983
1164,1.0064,0.24969
1166,0.62196,0.338139
1168,0.484762,0.261595
1170,0.323137,0.217203
1172,0.661946,0.26376
1174,0.900382,0.350168
1176,1.10417,0.307526
1178,0.866574,0.386558
1180,0.698403,0.413954
1182,0.745321,0.352388
1184,0.745321,0.352388
1186,0.513597,0.250347
1188,0.697805,0.264191
1190,0.662878,0.296272
1192,0.852498,0.378836
1194,0.809546,0.429763
1196,1.06169,0.525715
1198,0.787285,0.589045
1200,0.798849,0.440043
1202,0.556365,0.351691
1204,0.546164,0.304967
1206,0.546164,0.304967
1208,0.582638,0.351102
1210,0.681553,0.334235
1212,0.833457,0.288405
1214,0.628287,0.294206
1216,0.628287,0.294206
1218,0.745946,0.470831
1220,0.821971,0.42086
1222,1.03611,0.742853
1224,0.837754,0.454199
1226,0.416574,0.380721
1228,0.610294,0.493424
1230,0.624429,0.433836
1232,0.792646,0.333588
1234,0.914257,0.569733
1236,0.958136,0.516362
1238,0.736433,0.414361
1240,1.07166,0.504417
1242,1.19209,0.644466
1244,1.58082,0.787827
1246,1.58082,0.787827
1248,1.58082,0.787827
1250,1.26368,0.859799
1252,1.37992,0.753545
1254,1.64344,0.835925
1256,2.17424,1.20887
1258,1.82988,0.948873
1260,2.52876,0.837786
1262,2.52876,0.837786
1264,2.04919,1.05836
1266,1.88488,0.753563
1268,2.53183,0.967443
1270,2.02033,0.755656
1272,2.00279,0.881243
1274,2.31696,1.03891
1276,2.11936,0.776891
1278,1.95681,0.755608
1280,1.71953,0.876122
1282,1.9758,0.900058
1284,1.5858,0.671163
1286,1.46867,0.766231
1288,2.22214,0.817961
1290,1.64781,0.815502
1292,1.4382,1.03707
1294,1.4382,1.03707
1296,1.4382,1.03707
1298,1.67004,1.09394
1300,1.67004,1.09394
1302,1.99845,1.00359
1304,2.16786,1.06749
1306,2.16786,1.06749
1308,1.80682,1.33227
1310,2.4125,1.49295
1312,2.4125,1.49295
1314,2.4125,1.49295
1316,2.4125,1.49295
1318,2.4125,1.49295
1320,2.4125,1.49295
1322,2.34555,1.56746
1324,2.46542,1.63612
1326,2.46542,1.63612
1328,2.22064,1.7422
1330,1.86344,2.2111
1332,2.08189,1.65268
1334,2.17694,1.52895
1336,2.86887,1.48941
1338,2.76983,1.17838
1340,2.28918,1.25406
1342,2.27114,1.13927
1344,2.45982,1.34545
1346,2.5511,1.44859
1348,3.41781,1.39085
1350,3.20107,1.52956
1352,2.6177,1.54598
1354,2.6177,1.54598
1356,2.86831,1.67326
1358,2.64342,1.49044
1360,4.89799,1.66441
1362,4.89799,1.66441
1364,2.51979,1.28179
1366,2.87741,0.786444
1368,2.81919,0.914871
1370,2.15426,1.06286
1372,2.15426,1.06286
1374,2.15426,1.06286
1376,3.01084,1.36497
1378,3.70179,1.37507
1380,3.02233,1.25847
1382,2.87251,1.01759
1384,3.20735,1.21188
1386,3.38268,1.46751
1388,2.72448,1.4056
1390,2.9144,1.24172
1392,1.74844,0.931991
1394,1.93506,0.76361
1396,1.27814,0.512544
1398,1.6444,0.50158
1400,1.20459,0.646506
1402,0.929457,0.492347
1404,1.12483,0.602231
1406,1.40649,0.733223
1408,1.4958,0.532114
1410,1.4958,0.532114
1412,1.39556,0.718451
1414,1.25445,0.9051
1416,1.57795,0.786951
1418,1.56914,0.888273
1420,1.5741,0.58671
1422,1.5741,0.58671
1424,1.37855,0.91683
1426,1.50235,1.04739
1428,2.77342,0.979282
1430,2.77342,0.979282
1432,2.84106,1.09642
1434,2.9808,1.52042
1436,3.12438,1.50313
1438,3.12438,1.50313
1440,3.50121,1.17407
1442,2.8974,1.35187
1444,2.11518,1.13189
1446,2.48881,0.93017
1448,2.87094,1.13254
1450,2.67004,1.06758
1452,2.01387,1.19997
1454,2.79178,1.81987
1456,3.1441,1.73239
1458,3.1441,1.73239
1460,3.27158,1.64551
1462,3.9116,2.07992
1464,3.9116,2.07992
1466,4.3894,1.61092
1468,4.40164,1.96758
1470,3.61986,2.16294
1472,4.53307,3.02408
1474,4.39617,2.83603
1476,4.39617,2.83603
1478,5.73626,2.73177
1480,5.73626,2.73177
1482,5.73626,2.73177
1484,5.98538,2.37218
1486,5.09581,2.64067
1488,5.09581,2.64067
1490,5.03357,2.99945
1492,4.46285,3.05629
1494,4.7841,2.46566
1496,4.52674,2.49509
1498,4.52674,2.49509
1500,5.01065,2.41023
1502,4.93912,2.58824
1504,5.42012,2.22203
1506,6.52099,2.58831
1508,6.55906,3.0371
1510,7.12576,3.43352
1512,6.36306,3.67306
1514,6.62743,3.23991
1516,6.20979,2.78508
1518,6.85644,2.87347
1520,6.64279,3.25153
1522,8.50061,3.56526
1524,8.50061,3.56526
1526,8.50061,3.56526
1528,7.1653,2.64508
1530,6.67953,3.55237
1532,5.70994,2.46858
1534,6.56708,3.43552
1536,8.03994,4.08565
1538,7.11433,4.54364
1540,5.73336,4.20619
1542,5.13811,4.10974
1544,5.69906,2.79256
1546,9.05359,3.78589
1548,7.73993,3.66833
1550,7.03837,3.61373
1552,7.67093,3.32725
1554,7.27986,3.63721
1556,7.57301,3.43289
1558,6.40872,3.6668
1560,6.83345,3.36886
1562,4.78558,2.67107
1564,5.14906,2.49921
1566,5.16492,2.15191
1568,5.45946,2.48356
1570,6.66186,3.12213
1572,4.8549,2.61931
1574,4.86503,3.25653
1576,3.80015,2.61338
1578,3.80015,2.61338
1580,4.52906,3.04556
1582,4.52906,3.04556
1584,4.52906,3.04556
1586,6.72695,3.09469
1588,6.40167,3.44104
1590,5.51671,2.82613
