MDTU,min_ave,max_ave
774,-1.35931,-0.33111
776,-1.1788,-0.270046
778,-1.1788,-0.270046
780,-1.25119,-0.350348
782,-1.07007,-0.226677
784,-1.15644,-0.194316
786,-1.15644,-0.194316
788,-1.10079,-0.18663
790,-1.10079,-0.18663
792,-1.10079,-0.18663
794,-1.13149,-0.176131
796,-1.10723,-0.15459
798,-1.15581,-0.251104
800,-1.2187,-0.232861
802,-1.2187,-0.232861
804,-1.01817,-0.251932
806,-1.21196,-0.184463
808,-1.09207,-0.213117
810,-1.12744,-0.212575
812,-1.16265,-0.21869
814,-1.1457,-0.189978
816,-1.16547,-0.166041
818,-0.97379,-0.136626
820,-0.95342,-0.148847
822,-1.01497,-0.0512877
824,-0.969911,-0.0738198
826,-1.06548,-0.137665
828,-1.06548,-0.137665
830,-1.13775,-0.207108
832,-1.07904,-0.127599
834,-0.896061,-0.130741
836,-0.95173,-0.129008
838,-1.09734,-0.111759
840,-1.10619,-0.139042
842,-0.887025,-0.0821709
844,-0.972122,-0.0884761
846,-0.966543,-0.224952
848,-1.09507,-0.166884
850,-0.960031,-0.160784
852,-1.17614,-0.119144
854,-0.949411,-0.165797
856,-1.06449,-0.193724
858,-1.05052,-0.129361
860,-1.28635,-0.14579
862,-1.0128,-0.145771
864,-1.17322,-0.145165
866,-1.20323,-0.202845
868,-1.10447,-0.216215
870,-1.01892,-0.136319
872,-1.03203,-0.122421
874,-1.15882,-0.13286
876,-0.947649,-0.106252
878,-1.12385,-0.10637
880,-1.12385,-0.10637
882,-1.12385,-0.10637
884,-1.12385,-0.10637
886,-1.12385,-0.10637
888,-1.12385,-0.10637
890,-1.01431,-0.0514417
892,-1.00337,-0.132402
894,-1.00337,-0.132402
896,-0.997941,-0.213445
898,-1.06418,-0.131181
900,-1.114,-0.11721
902,-1.00389,-0.145814
904,-1.05829,-0.136566
906,-1.05829,-0.136566
908,-1.05829,-0.136566
910,-1.05829,-0.136566
912,-0.853125,-0.0986579
914,-0.853125,-0.0986579
916,-1.08595,-0.163971
918,-1.20532,-0.20631
920,-1.20532,-0.20631
922,-1.20143,-0.239519
924,-1.00182,-0.213868
926,-1.00182,-0.213868
928,-1.00182,-0.213868
930,-1.00182,-0.213868
932,-1.10852,-0.122872
934,-1.05904,-0.139759
936,-1.02852,-0.137539
938,-1.06596,-0.0941807
940,-1.11646,-0.0755224
942,-1.11646,-0.0755224
944,-0.913781,-0.0938505
946,-1.05306,-0.0482658
948,-1.05306,-0.0482658
950,-1.12824,-0.0380816
952,-0.951239,-0.0681707
954,-0.951239,-0.0681707
956,-0.858596,-0.0624884
958,-0.888671,-0.11159
960,-1.0464,-0.138968
962,-1.02941,-0.184925
964,-1.08395,-0.140396
966,-0.941122,-0.12202
968,-1.05996,-0.116712
970,-1.10401,-0.176042
972,-1.05306,-0.175108
974,-1.12021,-0.111543
976,-1.09223,-0.110746
978,-0.971749,-0.032399
980,-1.14343,-0.0976524
982,-1.04664,-0.131582
984,-1.14116,-0.159554
986,-1.07307,-0.193571
988,-1.0716,-0.187385
990,-1.0723,-0.165215
992,-1.1128,-0.166394
994,-1.02473,-0.14719
996,-0.992955,-0.114651
998,-1.20094,-0.149134
1000,-1.20094,-0.149134
1002,-0.975414,-0.0981908
1004,-0.96595,-0.212152
1006,-0.940338,-0.103837
1008,-0.976376,-0.118211
1010,-1.01838,-0.198318
1012,-1.1534,-0.170243
1014,-1.07096,-0.169651
1016,-1.07096,-0.169651
1018,-1.04023,-0.112959
1020,-1.10825,-0.193955
1022,-1.11709,-0.194138
1024,-1.12612,-0.132469
1026,-1.04622,-0.141044
1028,-1.1704,-0.170317
1030,-1.14386,-0.200345
1032,-0.933627,-0.16852
1034,-0.933627,-0.16852
1036,-1.10556,-0.170615
1038,-1.10556,-0.170615
1040,-1.10556,-0.170615
1042,-1.10556,-0.170615
1044,-1.10556,-0.170615
1046,-1.21483,-0.221288
1048,-1.21483,-0.221288
1050,-1.21337,-0.236369
1052,-1.25044,-0.275656
1054,-1.17461,-0.226852
1056,-1.24518,-0.291296
1058,-1.24518,-0.291296
1060,-1.34334,-0.39669
1062,-1.37656,-0.497311
1064,-1.63239,-0.445416
1066,-1.63239,-0.445416
1068,-1.5604,-0.451572
1070,-1.39446,-0.372764
1072,-1.24294,-0.344092
1074,-1.24294,-0.344092
1076,-1.11346,-0.30397
1078,-1.30692,-0.348533
1080,-1.57795,-0.453332
1082,-1.57795,-0.453332
1084,-1.57795,-0.453332
1086,-1.34926,-0.344122
1088,-1.23037,-0.238757
1090,-1.10516,-0.274361
1092,-1.15894,-0.3593
1094,-1.20918,-0.28402
1096,-1.20918,-0.28402
1098,-1.11662,-0.282935
1100,-1.16924,-0.271963
1102,-1.13613,-0.288474
1104,-1.13613,-0.288474
1106,-1.13613,-0.288474
1108,-1.13613,-0.288474
1110,-1.1456,-0.224721
1112,-1.1456,-0.224721
1114,-1.1456,-0.224721
1116,-1.1456,-0.224721
1118,-1.12651,-0.165845
1120,-0.944398,-0.178118
1122,-0.994407,-0.131909
1124,-1.17131,-0.22701
1126,-1.27895,-0.242605
1128,-1.27895,-0.242605
1130,-1.27895,-0.242605
1132,-1.24329,-0.2091
1134,-1.10462,-0.183378
1136,-1.17119,-0.274381
1138,-1.1503,-0.221731
1140,-1.00502,-0.127569
1142,-0.985482,-0.159755
1144,-1.01071,-0.146631
1146,-1.0633,-0.243912
1148,-1.18066,-0.224027
1150,-1.0478,-0.207641
1152,-1.19604,-0.205518
1154,-1.08785,-0.120635
1156,-0.909215,-0.0709828
1158,-1.09204,-0.151753
1160,-1.09204,-0.151753
1162,-1.09204,-0.151753
1164,-1.16725,-0.14343
