MDTU,|Tr(L)|,ReTr(L),ImTr(L)
466,0.30329,-0.213178,0.21573
468,0.30939,-0.162509,-0.263274
470,0.204099,-0.144573,0.144066
472,0.239636,-0.037136,0.236741
474,0.237888,0.219328,0.092119
476,0.320212,0.319209,0.0253173
478,0.235447,0.009943,0.235237
480,0.235447,0.009943,0.235237
482,0.279212,0.219687,-0.172329
484,0.256027,-0.254609,0.0269042
486,0.19216,-0.0705225,-0.178752
488,0.0571107,-0.0457781,0.0341468
490,0.035457,-0.0285281,-0.0210557
492,0.145629,0.143549,-0.0245244
494,0.165391,-0.129777,0.102527
496,0.222875,0.199045,-0.10027
498,0.350436,-0.135085,0.323353
500,0.0813724,0.0139254,0.080172
502,0.311518,-0.168959,0.261718
504,0.311518,-0.168959,0.261718
506,0.178056,0.177953,0.00604555
508,0.257827,0.195031,-0.168634
510,0.368001,0.0712465,-0.361038
512,0.238577,-0.138549,0.194224
514,0.238577,-0.138549,0.194224
516,0.238577,-0.138549,0.194224
518,0.39962,0.099077,-0.387143
520,0.39962,0.099077,-0.387143
522,0.0631999,-0.0478888,-0.0412418
524,0.298993,0.264599,-0.139226
526,0.119118,0.052666,0.106843
528,0.357847,0.31055,-0.1778
530,0.357847,0.31055,-0.1778
532,0.076511,0.0760855,0.0080582
534,0.076511,0.0760855,0.0080582
536,0.304396,-0.141167,0.269683
538,0.180754,-0.0381873,0.176675
540,0.180754,-0.0381873,0.176675
542,0.22444,-0.0407825,-0.220704
544,0.336471,0.0646145,-0.330209
546,0.454204,0.393271,-0.227242
548,0.56845,0.564285,-0.0686895
550,0.0455692,-0.045525,-0.00200864
552,0.17324,-0.133601,0.110285
554,0.139669,-0.0601125,-0.126071
556,0.257347,0.144953,0.212641
558,0.324157,-0.307432,-0.102779
560,0.403254,-0.0151419,-0.40297
562,0.403254,-0.0151419,-0.40297
564,0.180208,0.177319,0.0321349
566,0.0992384,0.097689,0.0174677
568,0.0840019,-0.0150376,-0.082645
570,0.168603,-0.0838245,-0.146289
572,0.301109,0.240345,-0.181386
574,0.228395,0.147259,-0.174583
576,0.228395,0.147259,-0.174583
578,0.286415,0.231165,0.169103
580,0.286415,0.231165,0.169103
582,0.299809,-0.138676,0.265809
584,0.121239,0.0502315,-0.110343
586,0.0755419,0.034336,0.0672875
588,0.116467,-0.107376,-0.0451105
590,0.294631,-0.0263968,0.293446
592,0.37124,-0.369941,-0.0310253
594,0.37124,-0.369941,-0.0310253
596,0.105345,-0.066865,0.0814045
598,0.152314,-0.047753,0.144634
600,0.268197,0.265149,-0.0403226
602,0.266367,-0.198115,0.178049
604,0.0614345,-0.033474,-0.051514
606,0.31772,0.305376,-0.0877025
608,0.316589,-0.259479,-0.181381
610,0.205744,0.0407815,0.201662
