MDTU,|Tr(Lx)|
1324,0.00273333
1326,0.00273333
1328,0.00342442
1330,0.00181058
1332,0.00517479
1334,0.00238275
1336,0.00331077
1338,0.0123482
1340,0.00908296
1342,0.00102383
1344,0.00213011
1346,0.00364054
1348,0.00306552
1350,0.00281126
1352,0.00996156
1354,0.00996156
1356,0.0042445
1358,0.00507158
1360,0.00440436
1362,0.00440436
1364,0.00131914
1366,0.00414014
1368,0.00348022
1370,0.00809146
1372,0.00809146
1374,0.00809146
1376,0.00535468
1378,0.00644686
1380,0.008118
1382,0.00857671
1384,0.00694486
1386,0.00824867
1388,0.00777001
1390,0.0044103
1392,0.00455071
1394,0.0043101
1396,0.00313539
1398,0.00213923
1400,0.0035425
1402,0.00106753
1404,0.000522491
1406,0.00614854
1408,0.0019425
1410,0.0019425
1412,0.00228997
1414,0.00129211
1416,0.00156256
1418,0.0096599
1420,0.000761934
1422,0.000761934
1424,0.00206981
1426,0.00355486
1428,0.00810718
1430,0.00810718
1432,0.00998381
1434,0.0113963
1436,0.00806664
1438,0.00806664
1440,0.0227121
1442,0.00604012
1444,0.00251991
1446,0.0058589
1448,0.0020517
1450,0.0026511
1452,0.00164521
1454,0.00481026
1456,0.00217872
1458,0.00217872
1460,0.000910843
1462,0.00342682
1464,0.00342682
1466,0.00954639
1468,0.00768575
1470,0.00339844
1472,0.00617317
1474,0.00480203
1476,0.00480203
1478,0.00736474
1480,0.00736474
1482,0.00736474
1484,0.000812481
1486,0.00129676
1488,0.00129676
1490,0.00244215
1492,0.00230767
1494,0.00119201
1496,0.00211726
1498,0.00211726
1500,0.00486979
1502,0.00354471
1504,0.00329335
1506,0.0115638
1508,0.00551465
1510,0.00547697
1512,0.00539527
1514,0.00313899
1516,0.00319584
1518,0.00402314
1520,0.00266075
1522,0.00261187
1524,0.00261187
1526,0.00261187
1528,0.00240705
1530,0.00238508
1532,0.000921062
1534,0.00550395
1536,0.0148628
1538,0.00515843
1540,0.00355285
1542,0.00294986
1544,0.00214024
1546,0.0174427
1548,0.00217823
1550,0.00731698
1552,0.000766905
1554,0.00345851
1556,0.00684522
1558,0.00587102
1560,0.00252141
1562,0.00190874
1564,0.00239812
1566,0.00239919
1568,0.00144502
1570,0.00214079
1572,0.00205422
1574,0.00361983
1576,0.00161061
1578,0.00161061
1580,0.0015731
1582,0.0015731
1584,0.0015731
1586,0.00377465
1588,0.00292113
1590,0.00067852
1592,0.00547687
1594,0.00243791
1596,0.00658394
1598,0.00658394
1600,0.00080341
1602,0.0049364
1604,0.00522534
1606,0.00942981
1608,0.013901
1610,0.00407002
1612,0.000678853
1614,0.00430009
1616,0.00430009
1618,0.00430009
1620,0.00430009
1622,0.0033848
1624,0.00328761
1626,0.0142569
1628,0.00174414
1630,0.00180241
1632,0.0031728
1634,0.00582837
1636,0.00381825
1638,0.00209495
1640,0.000436116
1642,0.00279626
1644,0.00347857
1646,0.00347857
1648,0.00347857
1650,0.00746276
1652,0.00234833
1654,0.00234833
1656,0.00234833
1658,0.0117118
1660,0.00664421
1662,0.00129364
1664,0.00156029
1666,0.00406937
1668,0.00191378
1670,0.00191378
1672,0.00067391
1674,0.00411325
1676,0.00411325
1678,0.00411325
1680,0.00411325
1682,0.00411325
1684,0.00411325
1686,0.00411325
1688,0.00411325
1690,0.00411325
1692,0.00411325
1694,0.00411325
1696,0.00411325
1698,0.00411325
1700,0.00411325
1702,0.0102951
1704,0.00997926
1706,0.00475016
1708,0.00209269
1710,0.00601108
1712,0.000985236
1714,0.00332949
1716,0.00332949
1718,0.0066557
1720,0.00178865
1722,0.00283279
1724,0.00144027
1726,0.00437587
1728,0.00437587
1730,0.00437587
1732,0.00437587
1734,0.0105097
1736,0.0011491
1738,0.00299079
1740,0.00226898
1742,0.00500065
1744,0.0131862
1746,0.00423356
1748,0.00522754
1750,0.0024903
1752,0.00711906
1754,0.00711906
1756,0.00711906
1758,0.00686735
1760,0.00499975
1762,0.00662475
1764,0.00108627
1766,0.00108627
1768,0.00108627
1770,0.000245079
1772,0.0114543
1774,0.00938069
1776,0.0140279
1778,0.00675937
1780,0.00730278
1782,0.00412511
1784,0.00412511
1786,0.00412511
1788,0.00415589
1790,0.00387649
1792,0.0108865
1794,0.00282146
1796,0.00624725
1798,0.00822801
1800,0.00633313
1802,0.00330169
1804,0.00769801
1806,0.00229725
1808,0.00339929
1810,0.00538585
1812,0.00276515
1814,0.0060177
1816,0.00171983
1818,0.00187573
1820,0.00463701
1822,0.00463701
1824,0.00211124
1826,0.00443292
1828,0.000688696
1830,0.0044373
1832,0.00925682
