t,G,F1,F2,F3
921,0.6204,0,null,null
922,0.568,0,null,null
923,0.5953,0,null,null
924,0.6344,0,null,null
925,0.6153,0,null,null
926,0.6101,0,null,null
927,0.608,0,null,null
928,0.6236,0,null,null
929,0.5763,0,null,null
930,0.5891,0,null,null
931,0.5834,0,null,null
932,0.6187,0,null,null
933,0.6122,0,null,null
934,0.5976,0,null,null
935,0.6744,0,null,null
936,0.6392,0,null,null
937,0.6128,0,null,null
938,0.595,0,null,null
939,0.6303,0,null,null
940,0.6262,0,null,null
941,0.6023,0,null,null
942,0.6476,0,null,null
943,0.6298,0,null,null
944,0.6397,0,null,null
945,0.6648,0,null,null
946,0.6975,0,null,null
947,0.6477,0,null,null
948,0.614,0,null,null
949,0.659,0,null,null
950,0.6466,0,null,null
951,0.6124,0,null,null
952,0.6365,0,null,null
953,0.5969,0,null,null
954,0.6217,0,null,null
955,0.6753,0,null,null
956,0.636,0,null,null
957,0.6388,0,null,null
958,0.6166,0,null,null
959,0.6242,0,null,null
960,0.642,0,null,null
961,0.6695,0,null,null
962,0.6435,0,null,null
963,0.6607,0,null,null
964,0.6721,0,null,null
965,0.6648,0,null,null
966,0.6264,0,null,null
967,0.6377,0,null,null
968,0.6357,0,null,null
969,0.634,0,null,null
970,0.6233,0,null,null
971,0.6415,0,null,null
972,0.6777,0,null,null
973,0.6673,0,null,null
974,0.6448,0,null,null
975,0.6504,0,null,null
976,0.6282,0,null,null
977,0.5745,0,null,null
978,0.593,0,null,null
979,0.6184,0,null,null
980,0.5983,0,null,null
981,0.6056,0,null,null
982,0.5702,0,null,null
983,0.5754,0,null,null
984,0.5738,0,null,null
985,0.5841,0,null,null
986,0.6167,0,null,null
987,0.603,0,null,null
988,0.6059,0,null,null
989,0.6445,0,null,null
990,0.616,0,null,null
991,0.5993,0,null,null
992,0.6131,0,null,null
993,0.6295,0,null,null
994,0.648,0,null,null
995,0.6261,0,null,null
996,0.6678,0,null,null
997,0.6477,0,null,null
998,0.6164,0,null,null
999,0.6237,0,null,null
1000,0.6182,0,null,null
