MDTU,min_min,min_max,max_min,max_max
840,-3.7058,1.16397,-1.20925,1.38262
842,-3.01425,1.21568,-1.36537,1.34286
844,-3.07798,1.21903,-1.31631,1.26878
846,-4.00315,0.975571,-1.52036,1.10595
848,-3.76525,0.962132,-1.35301,1.15249
850,-3.24863,0.9018,-1.34988,1.08266
852,-3.39957,0.881694,-1.19046,1.15841
854,-3.17624,1.04615,-1.14901,1.25008
856,-3.39502,0.989738,-1.26528,1.21716
858,-3.60019,1.07851,-1.4506,1.20332
860,-5.0247,1.07485,-1.26176,1.23355
862,-3.91933,1.00619,-1.8946,1.21484
864,-3.80289,1.11493,-1.51468,1.33426
866,-3.26771,1.10854,-1.72116,1.30627
868,-4.07537,1.10963,-1.52028,1.29339
870,-3.29043,1.09411,-1.15955,1.37509
872,-5.22171,1.22141,-1.49233,1.29657
874,-5.43606,1.16566,-1.13205,1.24721
876,-3.60923,1.06138,-1.23324,1.27113
878,-3.70193,1.10567,-1.68335,1.30229
880,-3.70193,1.10567,-1.68335,1.30229
882,-3.70193,1.10567,-1.68335,1.30229
884,-3.70193,1.10567,-1.68335,1.30229
886,-3.70193,1.10567,-1.68335,1.30229
888,-3.70193,1.10567,-1.68335,1.30229
890,-2.96669,1.13288,-1.3914,1.27728
892,-3.3409,1.0667,-1.57692,1.26923
894,-3.3409,1.0667,-1.57692,1.26923
896,-2.96564,1.06963,-1.93478,1.25042
898,-3.92915,1.14294,-1.52743,1.30224
900,-4.34718,1.21124,-1.78536,1.33309
902,-3.55763,1.18053,-1.37956,1.39045
904,-4.44534,1.2147,-1.65653,1.34858
906,-4.44534,1.2147,-1.65653,1.34858
908,-4.44534,1.2147,-1.65653,1.34858
910,-4.44534,1.2147,-1.65653,1.34858
912,-3.72068,1.22432,-1.7756,1.43404
914,-3.72068,1.22432,-1.7756,1.43404
916,-3.92636,1.16762,-1.63556,1.46066
918,-4.58466,1.01634,-1.51994,1.39289
920,-4.58466,1.01634,-1.51994,1.39289
922,-3.37854,1.2733,-1.76153,1.43632
924,-4.22754,1.16332,-1.59192,1.33701
926,-4.22754,1.16332,-1.59192,1.33701
928,-4.22754,1.16332,-1.59192,1.33701
930,-4.22754,1.16332,-1.59192,1.33701
932,-3.7677,1.16751,-1.34583,1.31499
934,-3.23866,1.23935,-1.84248,1.44162
936,-3.56876,1.18381,-1.68853,1.30862
938,-4.14958,1.36521,-1.3791,1.46072
940,-3.68187,1.22896,-1.22715,1.36844
942,-3.68187,1.22896,-1.22715,1.36844
944,-2.84365,1.348,-1.78456,1.4958
946,-4.25359,1.35254,-1.35972,1.45892
948,-4.25359,1.35254,-1.35972,1.45892
950,-4.291,1.45726,-1.58328,1.52047
952,-3.5536,1.18711,-1.28976,1.3425
954,-3.5536,1.18711,-1.28976,1.3425
956,-3.38682,1.20365,-1.17216,1.3078
958,-3.05944,1.17218,-1.48904,1.32703
960,-4.14244,1.17608,-1.37194,1.22809
962,-3.35677,1.14179,-1.66855,1.30475
964,-3.58625,1.09911,-1.90984,1.29705
966,-3.59528,1.21192,-1.79168,1.32716
968,-3.41194,1.21941,-2.24525,1.30926
970,-3.24371,1.14538,-1.46908,1.20776
972,-3.5058,1.06641,-1.39464,1.23811
974,-4.75037,1.10549,-1.28063,1.27032
976,-5.3343,1.23506,-1.5951,1.35987
978,-4.00975,1.11579,-1.16231,1.38339
980,-3.87666,1.15278,-1.45938,1.28251
982,-3.11656,1.19114,-1.76133,1.33293
984,-4.8851,1.23112,-1.40113,1.38796
986,-3.55906,1.2399,-1.58728,1.32656
988,-3.28081,1.15222,-1.44818,1.35777
990,-4.02686,1.01827,-1.31993,1.24696
992,-3.87713,1.10523,-1.23192,1.36258
994,-2.92459,1.07972,-1.21425,1.36756
996,-3.95012,1.15907,-1.68869,1.33639
998,-3.25979,1.08389,-1.52102,1.34161
1000,-3.25979,1.08389,-1.52102,1.34161
1002,-3.58915,1.23142,-1.28306,1.34358
1004,-4.10384,1.23528,-2.06762,1.27477
1006,-3.39709,1.18886,-1.56425,1.36737
1008,-3.7181,1.07527,-1.21791,1.34305
1010,-3.82537,0.966269,-1.75277,1.14767
1012,-4.03707,0.950869,-1.43595,1.18993
1014,-3.82016,1.0094,-1.28881,1.13349
1016,-3.82016,1.0094,-1.28881,1.13349
1018,-3.644,1.03809,-1.12851,1.24977
1020,-3.63806,1.12937,-1.81586,1.266
1022,-5.55103,1.07283,-1.61757,1.25503
1024,-4.02233,1.32206,-1.45577,1.36414
1026,-3.62105,0.997946,-1.51541,1.31552
1028,-4.08351,1.03618,-2.37844,1.22223
1030,-3.32224,0.943794,-1.66923,1.24045
1032,-3.4677,0.929202,-1.5059,1.09075
1034,-3.4677,0.929202,-1.5059,1.09075
1036,-4.1066,0.977866,-1.30437,1.21082
1038,-4.1066,0.977866,-1.30437,1.21082
1040,-4.1066,0.977866,-1.30437,1.21082
1042,-4.1066,0.977866,-1.30437,1.21082
1044,-4.1066,0.977866,-1.30437,1.21082
1046,-7.46147,0.987563,-1.80388,1.27921
1048,-7.46147,0.987563,-1.80388,1.27921
1050,-3.56873,0.860507,-1.47762,1.1072
1052,-3.09632,0.827953,-1.57775,1.11181
1054,-3.58562,0.744276,-1.52354,0.955878
1056,-3.00708,0.82544,-1.45982,1.03267
1058,-3.00708,0.82544,-1.45982,1.03267
1060,-3.70959,0.645562,-1.37607,0.778712
1062,-3.63779,0.208175,-1.35228,0.55878
1064,-3.75577,0.444831,-1.50768,0.667794
1066,-3.75577,0.444831,-1.50768,0.667794
1068,-5.4081,0.183684,-1.27856,0.410161
1070,-2.8636,0.25026,-1.28535,0.795064
1072,-4.36547,0.420231,-1.42001,0.781118
1074,-4.36547,0.420231,-1.42001,0.781118
1076,-3.56532,0.371816,-1.31304,0.684614
1078,-3.47766,0.196385,-1.6025,0.76092
1080,-4.23681,0.219728,-1.54979,0.510045
1082,-4.23681,0.219728,-1.54979,0.510045
1084,-4.23681,0.219728,-1.54979,0.510045
1086,-4.68252,0.637154,-1.18059,0.770626
1088,-3.21493,0.666941,-1.78068,0.768999
1090,-3.11386,0.56452,-1.33172,0.832438
1092,-3.37968,0.508609,-1.68036,0.751234
1094,-3.3297,0.707653,-1.50071,0.967177
1096,-3.3297,0.707653,-1.50071,0.967177
1098,-2.97695,0.821326,-1.90978,1.05486
