MDTU,|Tr(L)|,ReTr(L),ImTr(L)
422,0.0690975,0.0690305,0.0030424
424,0.0766233,-0.0374147,-0.0668675
426,0.0520473,-0.0312515,0.0416205
428,0.149243,0.140561,0.0501625
430,0.149243,0.140561,0.0501625
432,0.0850188,-0.084764,-0.00657745
434,0.0765827,-0.0139993,-0.0752923
436,0.0765827,-0.0139993,-0.0752923
438,0.0304635,-0.006726,-0.0297117
440,0.0483916,0.0419625,0.0241019
442,0.0164716,0.0101305,0.0129879
444,0.0425762,-0.037336,-0.0204635
446,0.0537711,-0.0445118,0.0301667
448,0.0391849,-0.0239753,0.0309943
450,0.0654686,0.028122,0.059121
452,0.114023,0.0053526,-0.113898
454,0.114023,0.0053526,-0.113898
456,0.0602765,0.0386587,-0.0462468
458,0.116427,-0.000124699,0.116427
460,0.114595,-0.0621608,0.0962703
462,0.107349,-0.048403,-0.0958175
464,0.0873546,0.087351,-0.000795407
466,0.121141,-0.119347,-0.0207691
468,0.18686,0.170689,0.0760388
470,0.0736402,-0.0724095,0.0134069
472,0.0436839,0.0427765,0.00885757
474,0.147854,-0.138786,-0.0509815
476,0.0684188,0.0204663,0.065286
478,0.0452833,-0.00152691,0.0452575
480,0.0462154,-0.0196503,-0.0418297
482,0.0720875,0.0720713,0.00153257
484,0.110395,-0.000863267,0.110392
486,0.0708809,0.0445057,-0.0551665
488,0.0505428,0.0487155,0.0134675
490,0.119359,0.113075,-0.0382197
492,0.0465838,0.040213,-0.0235153
494,0.0297431,-0.0117687,-0.0273157
496,0.0401205,0.0207346,0.0343473
498,0.0348944,-0.0313455,-0.0153323
500,0.0749211,-0.0740617,-0.011315
502,0.114243,-0.111652,-0.0241974
504,0.0651157,-0.0404827,-0.051002
506,0.0297887,0.0206257,0.0214929
508,0.20117,-0.0409677,-0.196955
510,0.109748,-0.0737218,-0.0813005
512,0.101047,0.0884125,0.048926
514,0.142273,-0.100443,0.100761
516,0.0335305,0.0132237,0.0308127
518,0.0335305,0.0132237,0.0308127
520,0.0561693,-0.04318,0.0359232
522,0.0561693,-0.04318,0.0359232
524,0.159964,-0.0817787,0.13748
526,0.0577066,0.0090121,0.0569985
528,0.0577066,0.0090121,0.0569985
530,0.0577066,0.0090121,0.0569985
532,0.112408,-0.0728503,0.0856062
534,0.0313308,-0.0244679,-0.0195689
536,0.0225082,0.0221254,-0.00413348
538,0.0409967,-0.0383928,-0.014378
540,0.0711896,0.0462755,-0.0540975
542,0.0992239,0.0180083,0.097576
544,0.119464,0.0211224,-0.117582
546,0.130972,0.126666,-0.0333058
548,0.130972,0.126666,-0.0333058
550,0.0713641,-0.0713503,-0.00140628
552,0.0794177,-0.076318,-0.0219711
554,0.0597541,0.0246495,-0.054433
556,0.0779583,0.0717605,0.030462
558,0.13114,-0.120664,-0.051361
560,0.13114,-0.120664,-0.051361
562,0.108465,0.0652805,0.086621
564,0.0718811,-0.0380677,-0.0609732
566,0.0718811,-0.0380677,-0.0609732
568,0.0984172,0.09718,-0.0155561
570,0.223742,-0.22364,0.00675813
572,0.0462322,-0.0194116,-0.0419595
574,0.0699841,0.0643133,0.0275967
576,0.140221,0.0595658,-0.126941
578,0.116113,-0.00753498,0.115868
580,0.0366538,-0.0337445,-0.0143113
