MDTU,energy
616,0.341913
618,0.342202
620,0.363811
622,0.345328
624,0.367474
626,0.340763
628,0.334596
630,0.347072
632,0.345733
634,0.304666
636,0.337809
638,0.324481
640,0.315977
642,0.315977
644,0.338976
646,0.3456
648,0.33052
650,0.368712
652,0.347025
654,0.365629
656,0.352036
658,0.360938
660,0.339005
662,0.312887
664,0.365275
666,0.346015
668,0.337785
670,0.317309
672,0.331984
674,0.3166
676,0.354233
678,0.347607
680,0.342739
682,0.321201
684,0.321201
686,0.354547
688,0.37233
690,0.346783
692,0.344554
694,0.342717
696,0.352659
698,0.354494
700,0.34425
702,0.348368
704,0.327658
706,0.334696
708,0.345124
710,0.357176
712,0.341457
714,0.335993
716,0.342773
718,0.353359
720,0.357108
722,0.355178
724,0.337848
726,0.346361
728,0.329117
730,0.3387
732,0.348788
734,0.348581
736,0.358943
738,0.358943
740,0.342064
742,0.334775
744,0.33165
746,0.34293
748,0.32446
750,0.336502
752,0.336502
754,0.34379
756,0.336804
758,0.342086
760,0.350046
762,0.3654
764,0.359478
766,0.35506
768,0.363553
770,0.342927
772,0.342552
774,0.347991
776,0.337625
778,0.315772
780,0.315772
782,0.34238
784,0.353759
786,0.336896
788,0.364207
790,0.357287
792,0.358304
794,0.345306
796,0.340599
798,0.336802
800,0.334748
802,0.330957
804,0.326824
806,0.310312
808,0.345698
810,0.351151
812,0.333839
814,0.3409
816,0.353811
818,0.354064
820,0.343892
822,0.356971
824,0.352928
826,0.35428
828,0.354137
830,0.332073
832,0.320735
834,0.342957
836,0.351141
838,0.333476
840,0.354912
842,0.339691
844,0.337651
846,0.357233
848,0.353174
850,0.324961
852,0.35653
854,0.35542
856,0.351541
858,0.361062
860,0.371882
862,0.358887
864,0.364496
866,0.332662
868,0.353342
870,0.332095
872,0.332095
874,0.331153
876,0.350986
878,0.328061
880,0.319257
882,0.35312
884,0.376925
886,0.382457
888,0.380929
890,0.343981
892,0.343981
894,0.350914
896,0.334043
898,0.334043
900,0.31278
902,0.359851
904,0.333977
906,0.324342
908,0.353987
910,0.333982
912,0.329764
914,0.357655
916,0.333713
918,0.328978
920,0.32555
922,0.35186
924,0.35186
926,0.34825
928,0.361081
930,0.351717
932,0.343717
934,0.350234
936,0.366988
938,0.341489
940,0.344883
942,0.342741
944,0.342741
946,0.342741
948,0.326611
950,0.352976
952,0.351339
954,0.361295
956,0.36265
958,0.359652
960,0.365476
962,0.364509
964,0.331909
966,0.351957
968,0.341129
970,0.334714
972,0.337772
974,0.322755
976,0.340548
978,0.32535
980,0.334527
982,0.347397
984,0.336927
986,0.326742
988,0.357215
990,0.370083
992,0.337662
994,0.338237
996,0.344523
998,0.339319
1000,0.325269
1002,0.33108
1004,0.329417
1006,0.352718
1008,0.344667
1010,0.338937
1012,0.326303
1014,0.355832
1016,0.352861
1018,0.341414
1020,0.339669
1022,0.356505
1024,0.342969
1026,0.321621
1028,0.321621
1030,0.347761
1032,0.347761
1034,0.347376
1036,0.344812
1038,0.349135
1040,0.355153
1042,0.326243
1044,0.335967
1046,0.325345
1048,0.353056
1050,0.340387
1052,0.368873
1054,0.345123
1056,0.334056
1058,0.351448
1060,0.338895
1062,0.361018
1064,0.35021
1066,0.334223
1068,0.334223
1070,0.342127
1072,0.335684
1074,0.349634
1076,0.349634
1078,0.341969
1080,0.341625
1082,0.348175
1084,0.355101
1086,0.325577
1088,0.325577
1090,0.331699
1092,0.344339
1094,0.349649
1096,0.349649
1098,0.338462
1100,0.346665
1102,0.340388
1104,0.328074
1106,0.35841
1108,0.35841
1110,0.360134
1112,0.336187
1114,0.343505
1116,0.350754
1118,0.346922
1120,0.32749
1122,0.326079
1124,0.354329
1126,0.34082
1128,0.353435
1130,0.355379
1132,0.332134
1134,0.332134
1136,0.353334
1138,0.345346
1140,0.334161
1142,0.328187
1144,0.353005
1146,0.353005
1148,0.332125
1150,0.355483
1152,0.349431
1154,0.351973
1156,0.362066
1158,0.349172
1160,0.359555
1162,0.34873
1164,0.353439
1166,0.342204
1168,0.354743
1170,0.35444
1172,0.314166
1174,0.314166
1176,0.35096
1178,0.351616
1180,0.349422
1182,0.345227
1184,0.355501
1186,0.329806
1188,0.329806
1190,0.329806
1192,0.350885
1194,0.334543
1196,0.329591
1198,0.326572
1200,0.33165
1202,0.310679
1204,0.332727
