t,deltaS
906,0.1776
907,-0.2998
908,-0.06532
909,-0.2492
910,0.0367
911,-0.02287
912,0.02854
913,-0.0463
914,-0.05414
915,-0.02567
916,-0.05668
917,-0.006917
918,-0.2487
919,0.1795
920,0.02156
921,-0.12
922,0.1804
923,0.008311
924,-0.08449
925,-0.05258
926,0.1225
927,-0.3144
928,0.2622
929,-0.151
930,0.01618
931,-0.1584
932,-0.2724
933,-0.02231
934,-0.02464
935,0.2333
936,0.09275
937,0.1873
938,-0.0158
939,0.1388
940,0.03494
941,-0.2123
942,0.05004
943,-0.08412
944,0.01009
945,-0.09809
946,0.03079
947,0.06912
948,-0.4231
949,-0.07283
950,0.2965
951,-0.08176
952,0.2257
953,0.07444
954,-0.2055
955,0.03531
956,-0.1928
957,0.1761
958,-0.07175
959,-0.3099
960,-0.04923
961,0.05462
962,0.08579
963,0.07062
964,-0.1898
965,0.07624
966,0.2508
967,-0.1953
968,-0.006747
969,0.3524
970,-0.232
971,0.00926
972,0.3268
973,-0.02619
974,0.2492
975,-0.3685
976,0.1019
977,-0.06692
978,-0.3002
979,0.1827
980,0.0944
981,-0.06567
982,-0.1653
983,-0.04892
984,0.004085
985,0.1502
986,0.1111
987,0.1134
988,0.1968
989,-0.2744
990,-0.06306
991,0.02276
992,-0.2033
993,0.03261
994,-0.2181
995,-0.03092
996,-0.1285
997,0.1114
998,-0.03767
999,0.01314
1000,0.01145
