MDTU,plaq,Re(det),Im(det),link
502,0.588485,0.00169647,0.00410144,1.04633
504,0.676304,0.00146954,0.00175214,1.05525
506,0.589219,0.00161061,0.00146476,1.03562
508,0.548987,0.00322859,0.00665052,1.07753
510,0.632446,0.00217017,0.00215033,1.05233
512,0.573423,0.00286203,0.00316429,1.06797
514,0.594144,0.0018192,0.00325406,1.09349
516,0.59615,0.00294168,0.00185125,1.03372
518,0.59615,0.00294168,0.00185125,1.03372
520,0.672275,0.00230546,0.00239636,1.06404
522,0.672275,0.00230546,0.00239636,1.06404
524,0.54832,0.00161837,0.00182271,1.05459
526,0.590891,0.00367689,0.00350664,1.14927
528,0.590891,0.00367689,0.00350664,1.14927
530,0.590891,0.00367689,0.00350664,1.14927
532,0.616559,0.00137594,0.00113246,1.08232
534,0.543505,0.00299774,0.00185474,1.08585
536,0.699194,0.00143437,0.0017926,1.06583
538,0.686195,0.00247958,0.00128422,1.0499
540,0.611821,0.00141588,0.00136583,1.04936
542,0.594903,0.000781031,0.00109753,1.04171
544,0.690918,0.0053344,0.00368454,1.06051
546,0.630217,0.000856558,0.00135556,1.05915
548,0.630217,0.000856558,0.00135556,1.05915
550,0.60977,0.00342191,0.00196292,1.04816
552,0.489759,0.00298652,0.00156025,1.01893
554,0.520993,0.00129391,0.000882789,1.01317
556,0.540292,0.00347484,0.00266045,0.991839
558,0.557115,0.0021713,0.00170604,1.02069
560,0.557115,0.0021713,0.00170604,1.02069
562,0.614535,0.00205434,0.00136085,1.06027
564,0.566848,0.00118922,0.00155713,1.06887
566,0.566848,0.00118922,0.00155713,1.06887
568,0.645335,0.000812401,0.0021008,1.05577
570,0.656005,0.000803459,0.000871669,1.02702
572,0.583213,0.00433592,0.00375956,1.02479
574,0.574762,0.00486787,0.00254233,1.01825
576,0.614002,0.000761866,0.000765109,1.01727
578,0.661184,0.00179215,0.00559614,0.999979
580,0.674049,0.00847161,0.00660735,1.02126
582,0.709196,0.00197513,0.00386822,1.03362
584,0.629908,0.002281,0.00354023,1.02775
586,0.605629,0.00755782,0.00541351,1.05528
588,0.521244,0.000968302,0.000973738,1.0193
590,0.475837,0.00148026,0.00249807,1.02241
592,0.506352,0.00120134,0.0011209,1.0266
594,0.480052,0.00193968,0.00161765,1.05258
596,0.57428,0.00172006,0.00229314,1.07377
598,0.850801,0.00289791,0.00204926,1.06692
600,0.850801,0.00289791,0.00204926,1.06692
602,0.650749,0.00163545,0.002144,1.0263
604,0.650749,0.00163545,0.002144,1.0263
606,0.650749,0.00163545,0.002144,1.0263
608,0.698196,0.00148323,0.00278057,1.05564
610,0.563192,0.00163766,0.00121757,1.01088
612,0.651872,0.00321274,0.00329429,1.02928
614,0.752263,0.00203333,0.00202301,1.05257
616,0.613052,0.0018175,0.00220469,1.05292
618,0.644089,0.0014484,0.00134032,1.07305
620,0.498804,0.00284113,0.00299159,1.04398
622,0.620841,0.0013386,0.00209913,1.05185
624,0.514542,0.00717268,0.00836991,1.00749
626,0.744154,0.00188689,0.0019816,1.01193
628,0.634283,0.0097107,0.0170485,1.03288
630,0.855106,0.00307474,0.00360392,1.05057
632,0.534388,0.00265684,0.00215804,1.04068
634,0.714569,0.00897366,0.00444684,1.10405
636,0.681345,0.0018419,0.00264252,1.03787
638,0.74422,0.0051426,0.004512,1.06079
640,0.643571,0.00230488,0.00272157,1.0497
642,0.643571,0.00230488,0.00272157,1.0497
644,0.575835,0.00333874,0.00474405,1.04037
646,0.531517,0.00088627,0.00133289,1.06852
648,0.51106,0.00115575,0.00145985,1.08328
650,0.482725,0.00128212,0.0008521,1.01093
652,0.561537,0.00178294,0.00206695,1.00528
654,0.487424,0.00128821,0.000810809,1.00808
656,0.531385,0.00164586,0.00202602,0.993871
658,0.585036,0.00136075,0.00183341,0.996102
660,0.676496,0.00172729,0.00704117,1.03342
662,0.547415,0.00227655,0.00479703,1.07944
664,0.464646,0.00160692,0.00084102,1.01535
666,0.610113,0.00205079,0.00094394,1.03977
668,0.647366,0.0017473,0.00283504,1.04721
670,0.585761,0.00100528,0.00120001,1.07662
672,0.461448,0.00190874,0.0018786,1.05594
