t,|deltaS|
671,0.0213
672,0.01481
673,0.03665
674,0.009796
675,0.04494
676,0.01218
677,0.04182
678,0.03939
679,0.04251
680,0.008789
681,0.01294
682,0.01846
683,0.06413
684,0.02693
685,0.00555
686,0.06681
687,0.03238
688,0.0715
689,0.03076
690,0.02674
691,0.02217
692,0.0457
693,0.01702
694,0.02283
695,0.0117
696,0.002381
697,0.03505
698,0.02476
699,0.02939
700,0.03072
701,0.06673
702,0.04993
703,0.01781
704,0.005601
705,0.05032
706,0.06751
707,0.006242
708,0.0189
709,0.01708
710,0.008775
711,0.04551
712,0.007325
713,0.03666
714,0.002298
715,0.008753
716,0.01766
717,0.0403
718,0.02966
719,0.03429
720,0.03737
721,0.02542
722,0.028
723,0.02875
724,0.02521
725,0.03285
726,0.00976
727,0.01091
728,0.002887
729,0.04704
730,0.01414
731,0.05821
732,0.04596
733,0.01103
734,0.01662
735,0.01211
736,0.01068
737,0.01604
738,0.03744
739,0.02056
740,0.01954
741,0.009397
742,0.02539
743,0.02726
744,0.02248
745,0.0421
746,0.06785
747,0.03361
748,0.02997
749,0.01422
750,0.03514
751,0.01992
752,0.03433
753,0.0119
754,0.01225
755,0.007658
756,0.0474
757,0.03198
758,0.02019
759,0.02739
760,0.08473
761,0.08407
762,0.06189
763,0.01094
764,0.04113
765,0.02154
766,0.01161
767,0.06658
768,0.01357
769,0.01023
770,0.006936
771,0.02547
772,0.02323
773,0.01175
774,0.05884
775,0.007443
776,0.05612
777,0.01815
778,0.01948
779,0.03304
780,0.04515
781,0.01555
782,0.02984
783,0.04417
784,0.02009
785,0.0003744
786,0.07024
787,0.007993
788,0.04638
789,0.04395
790,0.06056
791,0.002802
792,0.02114
793,0.008372
794,0.009146
795,0.008565
796,0.02368
797,0.005468
798,0.01775
799,0.008288
800,0.04257
801,0.02801
802,0.01138
803,0.005464
804,0.03437
805,0.02767
806,0.02121
807,0.0003813
808,0.0408
809,0.03557
810,0.03294
811,0.02441
812,0.007429
813,0.04596
814,0.0103
815,0.009703
816,0.03227
817,0.007029
818,0.05199
819,0.0319
820,0.05778
821,0.03834
822,0.006814
823,0.05082
824,0.0005252
825,0.03084
826,0.01384
827,0.05857
828,0.0326
829,0.01968
830,0.06764
831,0.05531
832,0.008834
833,0.004558
834,0.01207
835,0.03293
836,0.01065
837,0.001595
838,0.01518
839,0.02228
840,0.06002
841,0.03863
842,0.06774
843,0.005683
844,0.0778
845,0.001191
846,0.008018
847,0.04677
848,0.04404
849,0.07492
850,0.06419
851,0.02277
852,0.02611
853,0.02144
854,0.02948
855,0.02007
856,0.01707
857,0.009253
858,0.0003106
859,0.02779
860,0.03624
861,0.04688
862,0.01743
863,0.01386
864,0.002853
865,0.03987
866,0.01884
867,0.03111
868,0.02118
869,0.03237
870,0.1005
871,0.006061
872,0.02484
873,0.03101
874,0.01666
875,0.03329
876,0.05628
877,0.03374
878,0.005334
879,0.01761
880,0.0007884
881,0.03903
882,0.001856
883,0.07453
884,0.007928
885,0.00555
886,0.001894
887,0.04008
888,0.05501
889,0.004935
890,0.04529
891,0.02821
892,0.01897
893,0.01246
894,0.03165
895,0.0422
896,0.002509
897,0.02811
898,0.03584
899,0.005629
900,0.01019
901,0.02561
902,0.008889
903,0.0126
904,0.01545
905,0.1041
906,0.09381
907,0.02427
908,0.0249
909,0.01463
910,0.01628
911,0.01488
912,0.04143
913,0.02624
914,0.05556
915,0.00493
916,0.03685
917,0.0345
918,0.04745
919,0.01527
920,0.001045
921,0.04742
922,0.05836
923,0.03171
924,0.04097
925,0.05682
926,0.03536
927,0.03022
928,0.009031
929,0.05978
930,0.01657
931,0.01089
932,0.001397
933,0.04946
934,0.04805
935,0.00674
936,0.01183
937,0.01359
938,0.01684
939,0.01691
940,0.04239
941,0.005671
942,0.03172
943,0.00946
944,0.003542
945,0.03808
946,0.01271
947,0.009109
948,0.002029
949,0.004447
950,0.04423
951,0.003976
952,0.03739
953,0.01922
954,0.06682
955,0.0584
956,0.01973
957,0.08214
958,0.06541
959,0.02305
960,0.004794
961,0.02107
962,0.05787
963,0.03225
964,0.008701
965,0.01054
966,0.01876
967,0.0156
968,0.05378
969,0.07299
970,0.02253
971,0.02193
972,0.01526
973,0.01533
974,0.007075
975,0.01527
976,0.06259
977,0.05469
978,0.00032
979,0.003134
980,0.02268
981,0.004997
982,0.02505
983,0.006153
984,0.02822
985,0.04115
986,0.02223
987,0.03626
988,0.04579
989,0.01824
990,0.0533
991,0.02893
992,0.04136
993,0.01906
994,0.03572
995,0.01782
996,0.001038
997,0.002252
998,0.02566
999,0.0325
1000,0.06138
