t,G,F1,F2,F3
549,0.07235,0,null,null
550,0.07404,0,null,null
551,0.07351,0,null,null
552,0.07192,0,null,null
553,0.07208,0,null,null
554,0.07205,0,null,null
555,0.07362,0,null,null
556,0.0729,0,null,null
557,0.07165,0,null,null
558,0.07105,0,null,null
559,0.07277,0,null,null
560,0.07271,0,null,null
561,0.07264,0,null,null
562,0.07119,0,null,null
563,0.07133,0,null,null
564,0.07063,0,null,null
565,0.06948,0,null,null
566,0.06907,0,null,null
567,0.07014,0,null,null
568,0.07214,0,null,null
569,0.07178,0,null,null
570,0.06905,0,null,null
571,0.07188,0,null,null
572,0.07148,0,null,null
573,0.07163,0,null,null
574,0.07387,0,null,null
575,0.07551,0,null,null
576,0.07014,0,null,null
577,0.0721,0,null,null
578,0.07208,0,null,null
579,0.07344,0,null,null
580,0.07433,0,null,null
581,0.06966,0,null,null
582,0.07269,0,null,null
583,0.07481,0,null,null
584,0.07026,0,null,null
585,0.0718,0,null,null
586,0.0717,0,null,null
587,0.07005,0,null,null
588,0.07252,0,null,null
589,0.07186,0,null,null
590,0.07131,0,null,null
591,0.07477,0,null,null
592,0.07321,0,null,null
593,0.07277,0,null,null
594,0.07329,0,null,null
595,0.06979,0,null,null
596,0.07158,0,null,null
597,0.06996,0,null,null
598,0.07162,0,null,null
599,0.07152,0,null,null
600,0.07323,0,null,null
601,0.07051,0,null,null
602,0.06853,0,null,null
603,0.07141,0,null,null
604,0.07174,0,null,null
605,0.07101,0,null,null
606,0.07205,0,null,null
607,0.07166,0,null,null
608,0.07204,0,null,null
609,0.07042,0,null,null
610,0.07078,0,null,null
611,0.07167,0,null,null
612,0.06979,0,null,null
613,0.06736,0,null,null
614,0.06915,0,null,null
615,0.07136,0,null,null
616,0.07069,0,null,null
617,0.07294,0,null,null
618,0.07299,0,null,null
619,0.07398,0,null,null
620,0.07325,0,null,null
621,0.07032,0,null,null
622,0.07154,0,null,null
623,0.07036,0,null,null
624,0.07071,0,null,null
625,0.07195,0,null,null
626,0.07203,0,null,null
627,0.07115,0,null,null
628,0.07203,0,null,null
629,0.07115,0,null,null
